A: 	ja deze vinden ik een beetje lijken hij hebben een uitsteeksel en daar zitten een spijker in 
A: 	best wel groot spijker 
B: 	welk kant op een uitstekel 
A: 	aan de linkerkant 
B: 	o ja en aan de rechterkant een beetje zo'n rond plateau rad ja ok ja dat zijn bij mij L 
A: 	ja 
A: 	ja 
A: 	bij mij negen 
B: 	oken ik moeten klikken 
A: 	hij zitten helemaal op de onderste rij en beetje aan de linker kant 
B: 	o ja bij mij zitten hij niet op de onderste rij nee ja 
A: 	ok nou duidelijk 
B: 	dit zijn dat die een met die spijker en dat rond plateau 
A: 	o ja zijn zeven bij mij 
B: 	ok bij mij M 
B: 	en hij staan beetje nou denken ik op één drie van links staan hij beetje bovenaan 
A: 	maar niet helemaal bovenaan 
B: 	nee maar er kunnen ook niks veel tussen 
B: 	en er zitten zeggen maar 
A: 	er kunnen zeggen maar bovenaan niks veel bij 
B: 	nee maar het zijn niet zeggen maar de helemaal boven maar er kunnen niks veel bij 
A: 	o 
A: 	ok nee dan nee bij mij kunnen er er nog wel wat boven dus dan zijn het niet dezelfde plek 
B: 	o ok 
A: 	dit zijn die spijker 
B: 	o ja dat zijn C 
A: 	vijftien 
A: 	hij staan beetje in het midden maar wel iets naar boven zeggen maar 
B: 	en zeggen maar van Horizontaal 
A: 	ja sorry van horizontaal staan hij iets er boven 
B: 	o dan zijn het denken ik niet op dezelfde plek want bij mij zitten hij er juist onder 
A: 	o ok nee dan zijn het niet dezelfde plek 
B: 	dit zijn de spijker 
A: 	ja bij mij zijn dat één 
B: 	ok bij mij O 
B: 	hij zitten zeggen maar beetje aan de linkerkant zeggen maar de veel links maar niet zeggen maar recht tegen bijna tegen het einde van het scherm 
B: 	maar wel degeen die het veel uitsteken en een beetje zeggen maar zo op het van het midden net een beetje zo 
B: 	er onder maar niet heel veel en hij zitten denken ik op één vier deel van links iets veel dan aan de linkerkant 
A: 	iets veel aan de linkerkant of aan in het midden 
B: 	ja zeggen maar van één vier deel zeggen maar van link zitten hij veel iets veel aan de linkerkant daarvan 
A: 	ja 
A: 	ok en hij hebben zeggen maar als je naar boven hebben hij eigenlijk niks 
B: 	nee alleen zeggen maar wel rechts schuin best wel snel wat 
A: 	ja ja 
A: 	ja ik denken dat hij wel op dezelfde plek zitten ja 
B: 	ok 
A: 	dit zijn de spijker 
B: 	o hier A 
B: 	o 
A: 	drie bij mij sorry 
B: 	o ok 
A: 	hij zitten redelijk naar links maar er past nog wel 
A: 	ruim één tussen zeggen maar tot je bij de linker grens zijn en wel redelijk in het midden voor de rest 
B: 	o dan zijn het denken ik wel dezelfde erboven zitten helemaal niks 
A: 	nee 
B: 	alleen helemaal links boven 
A: 	ja ja 
B: 	ja ja dan zijn het dezelfde 
A: 	ja 
B: 	dit zijn de spijker 
A: 	zijn dertien 
B: 	ok 
B: 	en hij zitten zeggen maar ja hij zitten zeggen maar boven die oor rechts rechts schuin naar boven 
A: 	ja maar dan zitten er nog wel flink afstand 
B: 	o bij mij zo'n klein beetje echt o wachten nee dat zijn overdreven zo'n klein beetje 
A: 	o bij mij wel echt zo 
B: 	o dan zijn het denken ik niet op dezelfde plek 
A: 	nee hij zitten bij helemaal in de echt op de middellijn zeggen maar 
B: 	o nee mijne zitten er wel echt er onder ja 
A: 	ok 
