A: 	ja deze dat vinden ik een raar je hebben zeggen maar drie handvaat soort van 
A: 	hè ? als je het als koffiekopje beschouwen en één ja soort van kegelachtig ding dat er recht bovenin insteekt en dan hebben je die handvatjes 
A: 	die naar boven gaan zijn dezelfde als die de 
B: 	ja ja 
A: 	en dan hebben je een soort van krommink erachter en een vierkantjes die steeds dik worden 
B: 	ja 
A: 	aan aan de zijkant 
B: 	oké dat zijn nummer E 
A: 	en hij staan helemaal rechts en dan echt iets boven het midden 
B: 	helemaal rechts 
A: 	ja helemaal de rechts rij 
B: 	nee dat zijn bij mij niet dus een ander plek 
A: 	oké 
B: 	dit zijn dat ding met die vier arm waarvan die linker en die boven hetzelfde zijn 
B: 	en dan die een met die vierkantjes die steeds groot worden 
A: 	aan de rechterkant en dat 
B: 	rechterkant 
B: 	en links dat buigen armp 
A: 	ja dat zijn elf 
B: 	hij staan als je vanuit het midden kijken en dan net iets Linksboven 
A: 	ja dat zijn bij mij hetzelfde 
A: 	dus dat zijn geel 
A: 	die drie handvaat 
A: 	en bovenop dezelfde als die aan de zijkant zitten 
B: 	ja 
A: 	aan de rechterkant de vierkant die groot worden en het golf linksachter 
B: 	ja 
B: 	dat zijn J 
A: 	ja hij staan ja een soort van op de middellijn en dan wat naar rechts 
B: 	en dan boven en onder staat die 
A: 	best wel best wel in het midden niet helemaal maar ja eigenlijk volgens mij lopen die middellijn er zo'n beetje dwars doorheen ja 
A: 	en dan staan die één of twee tekent naar rechts 
B: 	dat denken het niet maar 
A: 	waar staan die bij jou 
B: 	hij staan zeggen maar wel echt rechts van de middellijn en ook wel echt een rij boven de middellijn 
B: 	denken ik 
A: 	oké dan denken ik dat wij het niet nee dan zijn die niet hetzelfde 
B: 	oké 
A: 	gaan wat te snel joh 
B: 	ja we zitten er goed in 
B: 	dit zijn die met die vier armp waarvan de bovenste en links hetzelfde zijn 
B: 	en dan hebben je rechts die vierkant die groot worden en 
A: 	ja 
A: 	nummer negen 
B: 	en hij staan een beetje rechtsonder maar dan nog twee naar boven en twee naar link denken ik 
A: 	hij staan bij mij boven de middellijn ongeveer dus dat zijn niet hetzelfde dan 
B: 	nee 
A: 	drie handvaat en die een handvat zijn hetzelfde als dat ding erbovenop 
B: 	ja 
B: 	maar vier vier handvaat dan of niet 
A: 	ja nou de bovenste dat vinden ik veel een soort lepeltje 
B: 	ah oké ja 
B: 	ja 
A: 	ja 
B: 	dat zijn B 
A: 	en hij staan bij mij je hebben de rij van vijf 
A: 	en dan hebben we net de veel rechts en dan staan die daar rechtsboven van 
A: 	dus aan de op het helft van de rechterkant en net onder de middellijn 
B: 	ja 
B: 	nee bij mij staan die helemaal rechts 
A: 	oké 
B: 	dus zijn niet hetzelfde 
B: 	dat ding met die drie handvaat en dan de bovenste en de links zijn hetzelfde 
A: 	ja nummer vier 
B: 	en hij staan links bovenaan maar er zijn nog 
A: 	er zijn ruimte maar er staan niks omheen ver 
B: 	ja 
A: 	ja dan staan die op dezelfde plek 
