A: 	ik hopen dat we het goed doen 
B: 	zijn aan de voorkant zitten een cirkel er zitten een soort van 
B: 	aan allebei de kant drie aan elkaar geplakken diaman 
A: 	ja ja ja ja 
A: 	ik weten al 
B: 	oké 
A: 	vijf 
B: 	vanaf het midden staan die naar links 
B: 	maar dan een beetje in het midden dus niet helemaal aan de buitenkant ook niet helemaal aan de binnenkant 
B: 	en dan iets naar onder 
A: 	nee dan staan die niet op dezelfde plek 
B: 	oké 
A: 	nee 
A: 	dit zijn die Pippi Langkous 
A: 	met die die bollet 
B: 	ja 
A: 	die drie ding 
B: 	oké dat zijn J 
A: 	en hij staan helemaal rechts onderin 
B: 	nee bij mij staan die niet helemaal rechts onderin 
B: 	dat zijn geel 
B: 	dit zijn de Pippi Langkous 
A: 	ja elf 
A: 	nice goed 
B: 	en die staan in het midden 
B: 	en dan naar links 
B: 	hij staan best wel misschien een heel klein beetje naar onder 
B: 	en dan een tik naar ja twee tikjes naar links 
A: 	oeh vinden ik moeilijk 
B: 	beetje een vag omschrijving dit van waar die staan 
A: 	ja want hij staan bij mij ook wel midden een beetje naar links 
B: 	nou als je zoals jij zeggen als je dat vak in vier stuk zullen verdelen 
A: 	ja 
B: 	en dan nemen je het vak linksonder dan zitten die wel echt boven 
B: 	in dat vak 
A: 	helemaal rechtsboven in dat vak 
B: 	ja aardig rechtsboven zullen nog een beetje veel naar rechts kunnen 
A: 	ik denken dat het wel hetzelfde zijn 
A: 	ja 
A: 	Pippi Langkous 
B: 	ja dat zijn P 
A: 	het zijn altijd even zoeken 
B: 	ja 
A: 	we zijn nu met lang bezig met zoeken dan hij staan boven 
A: 	en een beetje naar rechts 
B: 	een beetje naar uh ? staat die 
A: 	hij er kunnen nog één boven en er kunnen nog wel 
B: 	nog anderhalf naar de ander kant 
A: 	naar rechts bedoelen je dan 
B: 	ja naar rechts bedoelen ik ja 
A: 	ja anderhalf 
A: 	ja dat zullen ik zeggen 
B: 	dan kloppen het wel dan zijn het rood 
A: 	ja 
B: 	Pippi Langkous 
A: 	ja negen 
B: 	en Pippi Langkous staan best wel in het midden 
B: 	en dan ook best wel omhoog 
A: 	en een tik naar links 
B: 	nee 
A: 	helemaal omhoog 
B: 	niet helemaal ja er er hij het zijn wel het bovenste figuur 
A: 	ja 
A: 	nee dan zijn het niet hetzelfde 
A: 	geel 
A: 	Pippi Langkous 
B: 	en dat zijn L 
A: 	en hij staan stuk omhoog stuk naar links 
B: 	ja 
B: 	dus dat kloppen zijn rood 
A: 	ja 
