A: 	het zijn het degeen met het driehoek bovenop 
A: 	volgens mij zijn dat er maar één 
B: 	ja J 
A: 	ja 
A: 	en bij mij zitten die rechtsonder niet helemaal naar rechts 
A: 	hij zitten wel helemaal onderin 
B: 	ja op twee drie ongeveer 
A: 	ja twee drie en dan helemaal onderin 
B: 	drie vier bedoelen ik maar dat zijn vast hetzelfde 
A: 	ja ongeveer 
B: 	het zijn die met de driehoek erbovenop 
A: 	ja even zoeken 
B: 	en die 
A: 	ja nummer zes 
B: 	die staan bij mij zeggen maar als je dan die splitsing hebben waar we het net over hebben dan zijn het die splitsing 
A: 	ja 
A: 	de splitsing 
A: 	ja 
A: 	dit zijn degeen met de driehoek bovenop 
B: 	ja vinden E 
A: 	en die staan dan hebben je die twee rij van drie 
A: 	de twee rij van drie in het midden 
B: 	nee bij mij zijn het veel naar rechts van die twee rij 
A: 	oké dan zitten ze niet op dezelfde plek 
B: 	het zijn de driehoek erbovenop 
A: 	ja tien 
B: 	en die zitten bij mij linksonder 
A: 	dus onderste rij en dan de één 
B: 	ja 
A: 	nee bij mij zijn het de twee 
A: 	dit zijn de driehoek bovenop 
A: 	staan bij mij helemaal links bovenin 
B: 	ja bij mij staan die daar ook het zijn G 
A: 	oké 
A: 	ja en dan 
B: 	en dan staan die dus 
B: 	het zijn die driehoek 
A: 	driehoek 
A: 	bovenop ja 
B: 	ja sorry 
A: 	tien 
B: 	ver naar rechts maar er zitten er nog drie rechts van 
A: 	ja 
A: 	ja dan gaan ik er even van uit dat ze op dezelfde plek zitten 
