B: 	oké ik hebben het vierkant dus jij moeten dan drukken 
A: 	kloppen 
A: 	ja ik hebben nummer inderdaad 
B: 	even kijken 
A: 	maar kunnen je gewoon letterlijk alles zeggen wat erop staan 
B: 	ja denken het wel 
B: 	kijken bij mij zitten er zeggen maar als het een gezicht zullen zijn zullen hier zo'n zo'n steel zitten 
B: 	en en een lang neus 
A: 	maar zeggen maar driehoekig of zo of dat niet 
A: 	of zeggen maar zo'n zo'n boomachtig 
B: 	ja ja ja zoiets 
A: 	oké oké 
B: 	even kijken 
A: 	en zo'n twee verschillend zeggen maar oort of zo 
B: 	nee het zijn geen oort 
A: 	zeggen maar 
B: 	er zitten nog wel een ander vorm aan 
A: 	ja 
B: 	maar als ik die opnoemen dan hebben ik zeggen maar alles al beschrijven 
A: 	zeggen 
B: 	ja 
A: 	oké 
A: 	ja ik denken dat ik het wel weten 
A: 	dan moeten ik een nummer zeggen of niet 
B: 	kunnen je nog 
B: 	ja kunnen je nog iets beschrijven zodat ik zeker weten dat je hem hebben 
A: 	zo'n legoblokachtig zeggen maar 
A: 	en een buis zien ik 
B: 	legoblok wat voor legoblok 
A: 	van die van die ja weten je als je zeggen maar van die je gaan van klein legoblok en dan groot groot groot 
B: 	ja 
A: 	zoiets 
A: 	dat zien ik dan of dat zullen ik kunnen bedenken 
A: 	wat jij hebben 
B: 	ik denken ik denken niet dat we dezelfde hebben 
A: 	nee 
A: 	oké volgen 
B: 	even kijken 
B: 	want we hebben we we hebben allebei dezelfde plaat precies dezelfde plaat 
A: 	ja daarom 
A: 	maar gaan het zeggen maar zo dat dat dat boven 
B: 	ja het zijn het zijn zeggen maar 
A: 	zo'n zo'n zo'n lang Y of zo 
B: 	ja of of een een waterdruppel zeggen maar 
A: 	oké oké oké 
A: 	maar aan aan op zijn hoofd zeggen maar 
B: 	ja echt bovenop 
A: 	oké 
A: 	maar dan hebben je gewoon twee in dezelfde in dezelfde plaat toch 
A: 	of niet 
B: 	nee nee maar één 
A: 	maar één 
B: 	maar één ja 
A: 	oké gaan we kijken waar de volgen zijn 
A: 	hebben het zo'n een half rond of zo 
B: 	ja 
A: 	oké dan en beneden zo'n nekachtig 
B: 	ja ja ja ja dan hebben we dezelfde 
A: 	oké dan wel 
B: 	dan moeten jij drukken 
B: 	denken ik 
A: 	dertien hebben ik dan 
B: 	ja 
B: 	oké bij mij zijn het G 
A: 	moeten moeten ik dan drukken gewoon op geel of niet 
B: 	drukken en en dertien zeggen geloven ik 
A: 	oké 
A: 	dertien en dan moeten we zeggen waar het zijn 
B: 	ja 
B: 	bij mij zitten die eigenlijk precies in het midden zeggen maar als je als je het scherm zo hebben 
A: 	ja 
B: 	zitten die niet hij zitten die hij zitten gewoon boven het logoo van het scherm 
B: 	en dan een klein stuk naar boven 
A: 	oké van mij ook 
A: 	van mij ook 
A: 	dan moeten ik zijn dat geel of rood 
B: 	ja 
B: 	ja volgens mij geel 
A: 	oké 
A: 	daar hebben we weer deze met dat met dat half rond zeggen maar 
A: 	en en een waterdruppel 
B: 	en die die neus 
A: 	ja en die neus ja 
B: 	ja 
B: 	O 
A: 	en van mij als je zeggen maar het logo hebben 
B: 	ja 
A: 	en dan hebben je vier vier plaat zeggen maar 
A: 	als je gewoon zo'n recht lijn hebben 
A: 	hebben je dan vier plaat en dan veel boven zeggen maar rechts 
B: 	ja 
B: 	dan 
B: 	nee bij mij staan die rechtsonder 
A: 	onder ? oké nee dan niet 
B: 	ja 
A: 	nog een nieuw 
B: 	ja hebben jij nu ook de veel plaat aan één kant 
A: 	ja 
B: 	ja 
B: 	bij mij zijn het die met die soort cirkel en dan ook weer zo'n waterdruppel 
B: 	bovenop 
B: 	en dan weer zo'n lang neus 
B: 	een soort boomstam 
A: 	ja 
A: 	ja en dan met met die blok bedoelen je 
A: 	nee wachten 
B: 	nee geen blok 
A: 	waar zijn wij 
A: 	met die of met die met die hand of zo 
B: 	nee geen hand 
B: 	je hebben zeggen maar boven op op aan de bovenkant hebben je één zo'n waterdruppel 
A: 	ja 
B: 	en aan de rechterkant en aan de linkerkant zitten zo'n half cirkel 
A: 	en dan zo'n zo'n nek of zo 
B: 	ja 
A: 	oké 
A: 	acht 
B: 	en bij mij staan die rechtsboven maar dan wel zo'n stuk van de hoek 
A: 	ja van mij 
A: 	oké maar wel gewoon rechts 
A: 	zeggen maar alleen of zo 
B: 	ja voor de rest staan er niks in de buurt 
A: 	oké ja van mij ook 
A: 	de het waterdruppel en dan dat dat half rond dan 
A: 	en zo'n nek 
A: 	zo'n heel 
B: 	even zoeken 
B: 	waar staan die 
B: 	ah hier 
B: 	C 
B: 	bij mij als je het logo helemaal door zullen aantrekken in lijn zijn die dan bijna bovenaan een klein stuk naar rechts 
A: 	nee van mij niet 
A: 	bij mij zijn het net een daarnaast 
B: 	oké 
A: 	dus dan hebben we niet hetzelfde 
B: 	die met die druppel en die nek en die half cirkel bovenin 
A: 	ja 
A: 	zeven 
A: 	mij zijn helemaal links beneden 
B: 	nee bij mij niet bij mij zitten die daar rechts van 
A: 	ja dat een waterdruppel en dan zo'n half rond 
A: 	met zo'n nek 
B: 	C 
B: 	die driehoek bovenin 
B: 	en dan zijn het die onderste daarvan 
A: 	nee bij mij zijn het boven 
A: 	die hebben ze net omwisselen dus 
