A: 	oké dit zijn alsof het een beetje een serveerster zijn die zoiets vastheeflen 
A: 	alleen dan voor jou zo denken ik 
A: 	en dan in de rechterarm zitten een soort spijker of zo of ze hebben een fakkel vast zoiets 
B: 	ja 
B: 	ja een soort cilindertje 
A: 	ja maar het zijn wel een cilinder die steeds klein worden naar beneden zeggen maar 
A: 	zo'n soort spijker vinden ik 
B: 	ja yes ja 
A: 	en die arm zijn ook ja een beetje zo'n hol 
B: 	zo'n naar binnen of naar binnen gevouwen 
A: 	ja 
A: 	ja ja ja 
B: 	dan zijn het 
A: 	een soort C zeggen maar 
B: 	ja 
A: 	ja 
B: 	L 
A: 	oké en hij staan helemaal helemaal onder 
A: 	en dan een stuk naar links 
B: 	nee hij staan niet helemaal onder 
A: 	oké 
B: 	dus dan geel 
B: 	dit zijn die met aan de linkerkant dat soort omgevouwen met de Eiffeltoren er zo omgekeerd in zetten 
B: 	en aan de rechterkant een soort van plateautje 
B: 	een rond plateau 
A: 	ja 
B: 	en aan de linkerkant een soort van Cvorm omgevouwen 
A: 	ja ja ja ja ja ja ja 
A: 	even kijken 
A: 	met die met die spijker erin die Eiffeltoren inderdaad ja 
B: 	ja 
B: 	ja 
A: 	zeven 
B: 	en dit figuurtje staan in het midden en dan naar links 
B: 	en dan zullen ik zeggen twee stap omhoog 
A: 	oeh hij staan bij mij ook wel een beetje naar links en iets omhoog heel klein beetje omhoog 
B: 	nee het zijn het zijn wel iets ver dan heel klein beetje 
A: 	oké 
A: 	nee dan trouwens 
B: 	ja wat zijn een beetje ? wat zijn veel 
A: 	ja precies 
A: 	kunnen er nog twee figuurt boven 
B: 	nou nee er kunnen nog één figuurtje boven 
A: 	net 
A: 	nee oké dan zijn het niet dezelfde plek 
A: 	oeh dat zijn die Eiffeltoren en die arm en dat plateau 
A: 	die ze vastheeffen 
B: 	ja ja met het omgevouwen stuk 
A: 	zo 
A: 	ja 
B: 	dat zijn C 
A: 	en hij staan in het midden 
A: 	iets naar boven 
B: 	nee 
B: 	dat kloppen niet dus dan zijn het geel 
A: 	ja 
B: 	dit zijn de Eiffeltoren 
A: 	ja 
A: 	even kijken 
A: 	één 
B: 	en deze staan in het midden 
B: 	en dan stuk naar links en iets naar onder 
A: 	ja 
A: 	er kunnen er nog één link van 
A: 	net 
B: 	nou worden krap moeten een smal figuurt zijn 
A: 	ja 
A: 	ja precies dan staan die op dezelfde plek 
B: 	oké 
A: 	rood 
A: 	de Eiffeltoren 
A: 	de serveerster 
B: 	dat zijn A 
A: 	en midden helemaal bijna nee sorry het midden van link 
B: 	in het dus hij staan in het midden 
A: 	ja 
B: 	en dan een stuk naar links 
A: 	ja 
B: 	dan zijn het hetzelfde dus dan zijn het rood 
A: 	ja 
A: 	ja 
B: 	dit zijn Eiffeltoren in de omgevouwen C 
A: 	ja dertien 
B: 	dan in het midden 
B: 	toch wel een stuk naar links en een beetje naar onder 
A: 	hij staan bij mij helemaal links dus dat zijn 
B: 	nee 
