A: 	deze hebben een piramide op het dak 
A: 	en een heel raar blok aan de voorkant 
B: 	ja 
B: 	en iets aan de onderkant en één cilindertje naar links 
A: 	en die zijn nog een soort champagnefle aan de zijkant 
B: 	ja ja ja 
B: 	dat zijn bij mij zijn dat J 
A: 	en hij staan vanaf het midden zien twee of drie naar beneden hij staan helemaal beneden 
A: 	en vanuit de verticaal lijn twee naar rechts 
B: 	ja staan die bij mij ook 
B: 	dit zijn die met die piramide op dat hoofd 
B: 	en die een fles aan de links kant 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	die staan niet helemaal rechtsonder maar één naar boven 
A: 	zijn de vier in de slinger 
B: 	juist 
A: 	ja bij mij ook 
A: 	met die piramide op zijn dak en die champagnefle 
B: 	ja dat zijn bij mij E 
A: 	en die staan vanaf het midden één naar beneden en één naar rechts 
B: 	vanaf het midden één naar beneden één naar rechts nee bij mij staan die in het midden één naar beneden twee naar rechts 
B: 	dus dat zijn de ander positie 
A: 	je hebben zeggen maar in die 
A: 	wachten in die in die golf zeggen maar die van Linksboven naar naar rechtsboven gaan 
A: 	je hebben die een een helemaal onderaan 
B: 	ja 
A: 	dus door het midden en één naar links 
A: 	daar hebben je nog één direct boven staan 
A: 	eigenlijk die een die 
B: 	nee ik weten ik weten niet precies hoe je nou bedoelen 
A: 	die een twee die jij net hebben die die zeggen maar onder en boven elkaar staan 
A: 	zien je die 
B: 	die je bedoelen die helemaal onderin 
B: 	in het midden onder 
A: 	ja 
A: 	en dan staan er één boven 
B: 	ja 
A: 	en dan zijn het één naar rechts 
B: 	oké 
B: 	nee bij mij zijn het dan twee naar rechts 
A: 	oké 
B: 	dus dan moeten ik rood geven 
B: 	dit zijn met de kegel bovenop en het fles aan de links kant 
B: 	piramide soort bovenop 
A: 	ja 
A: 	ja dat zijn nummer tien 
B: 	helemaal linksonder 
A: 	en daar naast staat er nog één rechts 
B: 	ja staan er nog één rechts naast 
A: 	nee bij mij staan die daar één rechts 
A: 	de piramide met de champagnefle 
B: 	waar zijn je 
B: 	ja dat zijn G 
A: 	helemaal Linksboven 
B: 	ja 
B: 	de driehoek op het hoofd en het fles aan de links kant 
A: 	tien 
B: 	positie rechtsonder 
B: 	ja 
B: 	maar er staan eigenlijk niks rechts onder 
B: 	dus als je gaan vanuit dat middel ding één naar rechtsonder en daar één rechts onder 
A: 	ja 
A: 	ja 
