A: 	hij hebben een een rond aan de voorkant en daar zitten een staaf doorheen 
A: 	en daar zitten op de zijkant weer een rond tegenaan 
A: 	alsof 
B: 	hebben die aan de bovenkant een soort van appelsteel 
A: 	ja 
B: 	oké dan weten ik welk het zijn dan moeten dat F zijn voor mij 
B: 	dus even kijken dan zijn dat de geel knop 
A: 	hij staan voor mij een beetje aan de rechterkant 
A: 	en dan als je het scherm door de helft zullen doen ongeveer in die in die in het midden van de rechterhelft 
B: 	ja 
B: 	we maken weer een kruis 
A: 	ja 
B: 	ja en dan aan de rechterkant 
B: 	dan denken ik dat we niet helemaal gelijk zitten kunnen je nog één keer zeggen wat je zeggen 
A: 	als je het schelm het scherm door de helft doen 
B: 	ja 
A: 	dan zitten die aan de rechterkant zo'n beetje in het midden 
B: 	oké 
B: 	bij mij zitten die nog ver naar rechts 
A: 	nee ik hebben er echt nog wat naast staan 
B: 	oké 
B: 	dus dan zitten die niet gelijk dus dan zijn het rood 
A: 	dat denken ik ook 
B: 	ja 
B: 	even kijken dit zijn het het bak waar het appelsteel aan de linkerkant boven uit opsteken 
B: 	met aan de voorkant het bolle met het staaf erdoorheen 
A: 	ja 
A: 	en dan ding aan de zijkant 
B: 	ja 
A: 	dat zijn vijf voor mij 
B: 	en die vinden we linkerkant bovenste vak ja ergens halverwege 
B: 	in dat vak 
B: 	hoe gaan ik het ver uitleggen 
A: 	het zijn voor mij degeen die in het linkervak ook het hoog zitten 
B: 	nee voor mij zijn niet 
A: 	dan 
B: 	nee 
B: 	nee er zitten er nog twee heel dicht bij mij in de buurt 
A: 	nee die van mij staan wel echt nee dan hebben we niet dezelfde denken ik 
B: 	oké 
B: 	nee 
A: 	dit zijn degeen met dat appelsprietje aan de bovenkant en de doorboren ja Neusding 
B: 	ja 
B: 	dat zijn voor mij A 
A: 	hij staan voor mij in het rechterondervak en dan een beetje in het midden in zijn één 
B: 	ja 
B: 	en even kijken het vak daaronder staan een beetje rechts onder die met die telescoop 
A: 	nee we zijn al rechts er onder 
B: 	je je zijn al rechtsonder ik denken dat je zeggen rechtsboven 
A: 	ja 
B: 	maar nee dan hebben we het niet over dezelfde 
A: 	nee volgens mij staan daar jou telescoop inderdaad 
B: 	ja dan hebben we het niet over dezelfde 
A: 	ik moeten niet drukken 
B: 	dit zijn die weer met het appelsteel aan de bovenkant en het neus wat doorboren worden 
A: 	yes dat zijn vijf voor mij 
B: 	en die vinden we bij mij rechts boven 
B: 	en dan net iets rechts van de scheidingslijn 
A: 	het nee die van mij zitten veel veel naar de rechterkant en ook veel op de onderste scheidingslijn 
B: 	nou ja misschien zijn dat wel goed om te zeggen je hebben dus met echt dat dat je het kruis hebben 
A: 	ja 
B: 	dan zitten die redelijk dicht bij het kruis 
A: 	nee nee die van mij zitten redelijk ver bij het kruis vandaan 
B: 	oké 
A: 	dit zijn die met dat appelsteeltje en de doorboren neus 
B: 	dat zijn H voor mij 
A: 	hij staan voor mij in het rechterondervak 
A: 	en dan tegen de verticaal lijn aan als niet erdoor 
B: 	ja voor mij ook en rechts daarvan hebben je weer die trapezium met die twee punt ja 
A: 	ja 
B: 	het appelsteeltje en het doorbooren rond 
A: 	ja dat zijn vijftien voor mij 
B: 	rechtsbof 
B: 	een beetje ja wel een beetje in het midden van het echt het gewoon mooi midden van het vlak 
A: 	nee die van mij zitten veel veel op de lijn 
B: 	oké 
