B: 	even kijken 
B: 	deze lijken op een één kelk eigenlijk 
B: 	een een heel erg experimenteel kelk die niet zullen blijven staan in het echt maar hij hij rust op een 
B: 	wat zijn dat ? een driehoek en dan zo'n soort kronkelsteel zitten eraan 
A: 	ja 
B: 	met dan raar garnitur voor de cocktail of zo 
A: 	jij zien er zoveel ander ding in dan ik 
A: 	ik zien hier een pirouette in namelijk maar 
B: 	oké 
A: 	dat zijn vier 
B: 	dat zijn bij mij helemaal rechts bovenaan 
A: 	helemaal 
A: 	zijn het 
B: 	ja het zijn de het zijn de veel rechts uiterst rechts bovenaan voorwerp 
A: 	dan 
A: 	nee dan zijn het wel een ander plek want bij mij zitten die namelijk één daar link onder van 
B: 	oké 
B: 	oké 
A: 	dit zijn die die jij op een kelk vinden lijken 
A: 	die met die draaien 
B: 	ja de de cocktail eigenlijk 
A: 	ja de cocktail 
B: 	dat zijn dus A 
A: 	en bij mij zijn dat even nadenken horen 
A: 	als je naar links gaan van het scherm 
A: 	en dan eigenlijk in het midden 
B: 	ja helemaal links 
B: 	een klein beetje naar boven maar toch wel redelijk in het midden 
A: 	nee want het zijn niet helemaal links 
B: 	ja 
A: 	er zitten er zitten er nog één naast 
B: 	bij mij wel nee dan zijn het een ander plek 
A: 	oké 
B: 	dit zijn weer het cocktailglas 
A: 	zoeken zoeken zoeken 
A: 	ja dat zijn tien 
B: 	en die zitten bij mij op de onderste rij 
B: 	link en dan de middel van de onderste rij zeggen maar 
A: 	ja 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn weer die cocktailglas 
B: 	dat zijn L 
A: 	en bij mij zitten die helemaal rechts bovenin 
B: 	ja op dezelfde plek 
B: 	dit zijn het cocktailglas 
A: 	zoeken zoeken zoeken 
A: 	ja dat zijn vier 
B: 	bij mij zitten die eigenlijk één van de veel in het midden maar dan een beetje linksonder van het midden 
A: 	ja 
A: 	ja dat zijn hetzelfde 
B: 	licht 
A: 	dit zijn weer die cocktailglas 
B: 	waar zijn die ? F zijn dat 
A: 	en deze zijn vanuit het midden en dan echt rechtsboven daarvan 
A: 	meteen rechtsboven 
B: 	nee bij mij zitten die linksboven ervan 
