A: 	deze hebben vier uitsteeksel één aan de bovenkant een beetje een een glad en dan aan de rechterkant een soort legoblok 
A: 	en dan nog nog één zo'n zelfde glad een beetje in het midden en nog een soor regenpijp wormp naar achter 
B: 	zijn het een soort van zijn aan de zijkant 
B: 	een istek 
B: 	of dat niet 
A: 	zo zullen ik het niet zelf kunnen willen noemen denken ik maar het zijn een soor legblokje die steeds groot worden zeggen maar dus hij beginnen met een klein legoblok en dan worden ze steeds groot 
B: 	en die staan bovenop of waar 
A: 	nee die zitten aan de zijkant sorry die zitten rechts aan aan de rechterzijkant 
B: 	twee daarvan 
A: 	nee dat zijn er één 
B: 	oké wacht dan 
A: 	één zo'n legoblok en aan de bovenkant één zo'n soort glad cactus 
B: 	ja 
B: 	en aan de zijkant dezelfde 
A: 	ja en aan de linkerzijkant dezelfde en aan de rechterzijkant zo'n blok en 
B: 	ongeveer 
B: 	ja inderdaad ja oké ik dat zijn E bij mij 
A: 	ja 
A: 	oké 
A: 	die zijn wel moeilijk uit te uitleggen 
B: 	en waar staan die van jou 
B: 	ja 
A: 	helemaal op het midden als je zo kijken en dan helemaal rechts op het scherm 
B: 	oké nee dan zijn die bij mij wel wel anders 
A: 	zijn die ook op een ander plek 
B: 	bij mij zijn die wel echt duidelijk boven de helft van het scherm 
A: 	oké 
A: 	ja 
B: 	dus ander plek 
A: 	oké 
B: 	weer die een met dat langwerpig ding aan de bovenkant en hetzelfde aan de linkerkant 
A: 	ja 
B: 	en één keer die legoblok 
A: 	even kijken waar zijn die ? ja 
A: 	ja 
B: 	oké 
A: 	en met die regenpijp ook nog zeggen maar aan de 
B: 	ja precies ja ja 
A: 	ja oké nummer elf 
B: 	oké en hij staan net iets link van het midden en net iets boven de helft 
A: 	ja bij mij ook en dan staan er nog één net rechts van het midden 
B: 	die staan er een beetje zo half overheen zo 
A: 	nee bij mij staan die er niet overheen 
B: 	oké 
B: 	ja ik ik weten ook niet of dat uitmaken 
A: 	ja hij zitten dan op de 
A: 	nee ja dan kunnen hij nog steeds op dezelfde plek staan 
B: 	denken het niet 
B: 	ja precies 
B: 	nou ja 
A: 	zullen we zeggen zelfde plek 
B: 	dus ik denken dat het gewoon dezelfde 
B: 	ja denken het wel 
A: 	oké 
A: 	oké 
A: 	ja dit zijn weer dat een soort half fliebel bovenop 
A: 	met dat legoblok links en dan datzelfde fliebel weer rechts met dat reagpijpje 
B: 	ja met die regenpijp 
B: 	ja dat zijn de J bij mij 
B: 	zo mooi 
A: 	het zijn echt wel lastig uitleggen sommig 
A: 	even kijken hoor hij staat ongeveer op de helft van de helft rechts en dan ja eigenlijk wel op het midden 
B: 	oké nee bij mij zijn die nee ergens ander 
A: 	nee 
A: 	oké 
B: 	ander plek 
B: 	oké het zijn weer die één keer die legoblok aan de zijkant en dan dat langwerpig dinge hier en hetzelfde aan de en de regenpijp 
A: 	ja met de regenpijp 
B: 	yes 
A: 	ja nummer negen 
B: 	en hij staat ongeveer helft helft rechts 
B: 	misschien nog niet iets veel naar rechts en ongeveer nou iets onder het midden of helft helft midden 
A: 	ja 
A: 	oké net wel denken ik een ander plek want hij zitten bij jou half half rechts toch 
B: 	daar iets tussen 
B: 	ja ja misschien nog net iets veel naar rechts 
A: 	oké nee bij mij zitten die wel iets veel naar links 
B: 	heel klein beetje 
B: 	oké oké 
A: 	ja 
A: 	dus dan zijn het niet dezelfde plek 
B: 	ander plek 
B: 	yes 
A: 	even kijken deze zijn weer met dat een freubel bovenop en dan dezelfde aan die kant en dat legoblokje en dat regenpijp 
B: 	ja 
B: 	dat zijn B bij mij die regenpijp ook 
A: 	ja die zijn wel handig 
B: 	die zijn echt goed 
A: 	even kijken hoor hij zijn ongeveer helft helft rechts 
A: 	en dan net iets onder nee ja wel gewoon echt onder het midden 
B: 	oké 
A: 	maar nog net geen 
B: 	maar helft helft rechts 
A: 	ja helft helft 
B: 	oké 
A: 	nog net geen helft helft onder 
B: 	oké nee bij mij staan die veel naar rechts 
A: 	oké 
B: 	ander plek 
B: 	awesome 
B: 	weer dat een legoblok aan de zijkant en dan dat steeksel of dat flieber en dat flieber en de regenpijp 
A: 	ja en het regenpijpje 
B: 	dat zijn hem 
A: 	nummer vier 
A: 	die regenpijp doen het hem 
B: 	ja dat doen dat zijn wel een goed 
B: 	link bovenin bij mij 
A: 	ja bij mij ook 
B: 	en qua 
B: 	oké nou dan zullen het denken ik wel hetzelfde zijn 
A: 	ja en dan inderdaad half 
B: 	ja net iets veel link dan de helft helft en 
A: 	ja precies ja 
B: 	ja 
A: 	dezelfde plek wel 
