B: 	ok deze hebben ik gewoon omschrijven als toren zijn by far de groot 
A: 	zijn dat met die die scheve ding zo aan de onderkant met die kunkelhoek 
B: 	met met een soort met een soort 
B: 	ja een soort kronkel aan de onderkant op een plateau verhogen 
A: 	jajaja nee dan weten ik het al ja 
A: 	ja 
A: 	ja vier 
B: 	bij mij staan hij helemaal rechts bovenin en dan zeggen maar als je het in vier opdeelen rechts bovenin maar dan ook weer rechts bovenin ook nog 
A: 	o nee bij mij niet bij mij niet ok makkelijk 
A: 	ok dat zijn die met die met dat kronkel opzetstuk weten je wel met dat gedraaide lijken ook op beetje op een glas 
B: 	ok die heel hoog zitten 
A: 	die heel hoog lijken ook een beetje op een struisvogel of zo 
B: 	ja ik hebben die inderdaad hij hebben een beetje zo vleugel aan de achterkant een vierkantje rechts bovenop en een soort driehoekig platvorm waar hij op staat 
A: 	ja kloppen die 
B: 	ok A 
A: 	en zeggen maar op de op de xas en dan gewoon links dus als je zullen zeggen middel vak ik bedoelen links onderste vak midden bovenin of 
B: 	ja 
B: 	ik zullen hem omschrijven als bij mij zitten hij op links bovenin en dan links onderin van het vak 
A: 	nee Linksboven nee hij zitten zeggen maar niet helemaal aan de zijkant 
B: 	ok bij mij zitten hij echt helemaal inderdaad aan de linkerkant ok 
A: 	nee nee dat zijn bij mij niet 
B: 	de struisvogel 
B: 	het heel hoog ding 
A: 	dat ding ja tien 
B: 	link linkerkant van het scherm midden onderin 
A: 	ja 
A: 	die die struisvogel Slash wijnglas of zo ja 
B: 	ja ok L 
A: 	helemaal rechts bovenin 
B: 	ik 
B: 	helemaal rechts bovenin 
A: 	o dan moeten jij drukken 
B: 	struisvogel 
B: 	wijnglas 
A: 	even zoeken ik zien hem al ja vier 
B: 	link onder links onderste vak rechts bovenin 
A: 	ja bij mij ook dus dicht bij het midden 
B: 	dus heel erg dicht bij het midden ja 
A: 	die struisvogel Slash wijnglas of zo of ver kennen 
B: 	o ja F 
A: 	net ja rechts van bovenste vak linksonder 
B: 	wachten rechts bovenste vak 
A: 	ja dus 
B: 	nee bij mij zitten hij links bovenste vak in rechts van het midden 
A: 	nee 
B: 	nee ok 
