B: 	dit zijn die met die staart in principe van die ruit 
A: 	van die deze zo'n kralenketting 
B: 	ja 
A: 	ja dat hebben zo hebben ik hem 
A: 	ja 
A: 	ja wachten dat zijn nummer vijf 
B: 	en hij zijn aan de linkerkant 
B: 	en dan ja zitten er twee boven één onder en één aan de linkerkant dus het zijn een beetje je hebben links en dan een beetje hier in het midden van het 
A: 	het zijn net iets boven het midden 
B: 	het zijn onder het midden 
A: 	bij mij 
A: 	oké dan zijn die niet op dezelfde plek want bij mij zijn die wel echt boven het midden 
A: 	dan niet 
B: 	oké 
A: 	of moeten ik drukken 
A: 	ja ik moeten wel drukken 
B: 	ja 
A: 	ja ik hebben diegene met die met die bollet met die kraal zeggen maar met die 
B: 	dat zijn J 
A: 	en die staan bij mij helemaal rechts onderin de onderste van de vijf van rechts 
A: 	of nou ja welk vijf je bedoelen 
B: 	nou ja hij maken bij mij een splitsing en dan hebben je dus rechts en links en bij mij zijn het de linker 
A: 	de allerrechts 
B: 	oké dus dat zijn niet dezelfde 
B: 	het zijn die met die staart of uitsteeksel met die rui 
A: 	ja ja 
A: 	dat zijn elf 
B: 	hij staan in die acht en dan zijn het de veel onderste 
A: 	ja 
A: 	nee bij mij niet 
B: 	oké 
A: 	dit zijn diegene met die staart of kralenketting of wat je het willen noemen 
B: 	ja P 
A: 	op de één rij de drie 
B: 	bij mij zijn het de vier 
B: 	het zijn die met die staart of 
A: 	ja ja negen 
B: 	en dat zijn bij mij midden boven 
A: 	helemaal boven 
B: 	ja 
A: 	nee bij mij niet 
A: 	dit zijn degeen met de staart of ketting 
B: 	ja L 
A: 	en die zitten bij mij op 
B: 	boven de Q en dan de middel zitten die bij mij 
A: 	nee bij mij niet 
