B: 	oké even kijken ik noemen hem Pinokkio 
B: 	hij hebben een een neus naar links 
A: 	hebben die twee van die recht USBstickjes naar rechts 
B: 	nee nee nee 
B: 	nee 
B: 	nee 
B: 	hij hebben een een neus naar links en hij staan op een voe en hij hebben één haar en een half cirkel aan de linkerkant 
B: 	aan de achterkant eigenlijk 
B: 	en even kijken en de neus zijn een zeshoek 
A: 	ja ja ja ja 
A: 	ja ik hebben hem ja 
A: 	welk zijn dat bij jou 
B: 	bij mij heten die G 
A: 	G dertien 
B: 	oké en nu staan die ja midden onderin maar dan uitstaan er nog wel drie plaat onder in de onderste rij 
B: 	dus even kijken ik weten niet hoe we dit het goed kunnen afspreken wat denken jij 
A: 	midden onderin staan die echt echt in het midden van het scherm 
B: 	ja hij staan echt in het midden van het scherm 
A: 	en dan past er net één plaat onder 
B: 	ja maar die overlappen een heel klein stuk wel 
A: 	overlpen alleen het nummer of of overlapt ook het plaat 
B: 	ja ik denken alleen het nummer 
B: 	of het in mijn geval een letter 
A: 	dan staan ze op dezelfde plek 
A: 	dus geel 
B: 	ja 
A: 	ik noemen deze filmcamera jij noemen deze Pinokkio 
B: 	dit zijn met zeshoek link 
A: 	yes 
B: 	O en bij jou 
A: 	vier 
B: 	O vier 
A: 	als je van het midden een kruis maakt staan die net wat in het rechterhoek 
A: 	dus net wat boven het midden net wat naar rechts 
B: 	ja 
B: 	ja 
B: 	bij mij ook 
A: 	oké 
B: 	ja moeten dezelfde plek zijn 
A: 	weer een nieuw 
B: 	we zijn weer wisselen 
B: 	dit zijn Pinokkio voor mij 
B: 	met zo'n pluimp hoe heten hoe heten die ook alweer bij jou ? hebben een pluimp zo op zijn achterhoofd zeshoekig neus 
A: 	ja ja ja 
B: 	N 
B: 	Nico 
A: 	N achten 
B: 	hij staan heel moederziel alleen aan de rechterkant maar ik denken dat bij jou de plaat wel anders staan maar 
A: 	hij hij hij staan staan alleen 
A: 	kunnen er net geen één veel boven en er kunnen er nog wel één naar rechts van 
B: 	net één 
B: 	ja rechts van ja zullen kunnen 
B: 	ja 
A: 	oké zelfde plek 
A: 	Pinokkio 
B: 	even kijken 
B: 	moeten ik even de goed pakken ja 
A: 	Pinokkio 
A: 	rond achter in het hoofd één sprie op het hoofd 
B: 	ja even zoeken daar 
A: 	veertien 
B: 	C 
B: 	C veertien 
A: 	kunnen er nog degeen die het middel zijn van van drie op een rij 
B: 	ja dat zijn bij mij dus zo deze zijn dus de links dus nee niet dezelfde plek 
A: 	ja ja ja 
A: 	zijn een ander 
B: 	voor mij Pinokkio dus zeshoekig neus 
A: 	zeshoek zes zes zes zes zes 
B: 	met die 
A: 	ja ja ja 
B: 	N trouwens 
A: 	Nico 
B: 	ja 
A: 	N zeven 
B: 	en nu gaan we naar links 
A: 	helemaal onderin 
B: 	nee er er staan er nog één bij mij links nog ver onderin 
A: 	nee bij mij niet bij mij staan die helemaal links onderin kunnen misschien net 
B: 	ja er zullen er nog één maar dat dat zijn niet dezelfde nee 
A: 	ja 
A: 	nee 
A: 	jou Pinokkio 
B: 	even kijken 
A: 	zeven 
B: 	zeven hè ? C zeven 
A: 	we hebben die driehoek rechts bovenin zitten 
B: 	ja 
A: 	daarvan zijn die de boven 
B: 	ja bij mij zijn die dus de rechts onderin 
A: 	oké nee die zijn het 
