A: 	deze deze hebben hiervoor even kijken deze hebben je hebben die die weten je wel dat dat hoofdfiguur zeggen maar daar daar die emmer zeggen maar 
B: 	ja 
B: 	ja emmer in het zijn ook een emmer 
A: 	en dan ja 
A: 	en dan daarvoor staan daar zo'n rechthoekig staaf zo verticaal 
B: 	ja en een bal bovenop 
A: 	ja zo'n bal bovenop en dan 
B: 	en dan twee van die haak 
A: 	ja ja die ja 
B: 	ja dat hebben ik dan zijn het D 
A: 	oké 
A: 	en die staan die bij mij op de onderste rij helemaal 
B: 	ja 
A: 	en dan niet helemaal in het midden maar net links ervan 
B: 	ja 
A: 	op de onderste rij 
B: 	exact hetzelfde 
A: 	ja 
A: 	oké 
B: 	dus dan geel 
B: 	deze hebben aan de voorkant een een een balk en bovenop een ei 
A: 	even 
A: 	even kijken 
B: 	aan de voorkant een balk zo 
A: 	zo rechtop 
B: 	ja rechtop en dan daarbovenop zitten zo'n zo'n ei of zo'n bal en aan de buitenkant zitten van die van die haak van die armpjes 
A: 	ja van die ronde 
B: 	ja kloppen 
A: 	ja 
A: 	één met zo'n hoek en de ander niet 
B: 	ja kloppen ja 
A: 	ja één zo in de hoek ja 
A: 	dat zijn vijftien 
B: 	die zitten bij mij echt strak rechtsonder in de hoek 
A: 	nee nee nee nee bij mij niet 
A: 	ja dit zijn die met die recht staaf die ervoor staan en dat ei bovenop en dat 
B: 	ja 
B: 	L 
A: 	en die staan dan even kijken in dat links kwadrant Linksboven 
A: 	en dan niet waar dat zeepaard staan maar dan net iets rechts ervan 
B: 	ja ik hebben ik hebben ook ik denken dat ik dat wij dezelfde plek hebben vanaf het midden zien net iets daar links van 
B: 	vanaf het midden van het heel scherm 
A: 	ja net iets daar link van en 
B: 	en dan aan de ja 
A: 	net iets boven niet helemaal boven maar 
B: 	ja dan hebben we dezelfde plek 
A: 	ja 
B: 	dit zijn de staaf aan de voorkant en die bal bovenop 
A: 	die verticaal staaf en die bal 
B: 	ja 
B: 	ja 
A: 	zes 
B: 	hij staan bij mij op de horizontaal lijn helemaal aan de rechterkant 
B: 	of ja niet helemaal ik hebben nog dit over 
A: 	nee ik hebben dit dit zo 
B: 	nee dan zullen die anders staan 
A: 	ja ik denken het 
A: 	hij staat ook op de horizontaal lijn 
B: 	ja dat wel 
A: 	nee bij mij staan die er nog onder 
B: 	nee dan 
A: 	dit zijn die rechthoekig staaf aan de voorkant 
B: 	ja 
A: 	en dat ei bovenop 
B: 	ja J 
A: 	ja die zitten bij mij waar staan die bij jou 
A: 	ongeveer 
B: 	ik hebben hem in het midden staan 
A: 	ja ik hebben hem ook ongeveer in het midden staan 
B: 	en dan zo'n stuk vanaf de zijkant 
A: 	ja ja ja 
B: 	en in het midden ook van het 
A: 	hebben ik ook 
A: 	ja precies ja ik denken dat het wel dezelfde zijn 
B: 	ja 
B: 	dit zijn de staaf aan de voorkant en de bal bovenop 
A: 	ja drie 
B: 	en die staan bij mij 
A: 	ik hebben zo'n stuk van de zijkant staan 
B: 	ja hebben ik ook en dan denken ik net iets onder het midden 
A: 	precies ja ja ja dat denken ik ook 
B: 	ja hetzelfde staan op zelfde plek 
