B: 	Alright ja dit zijn een soort er zitten een soort uitklaptafelt wat vast zitten plakken aan een aan een mok bovenin 
A: 	ja 
B: 	daar staan een soort komme op 
A: 	oké dat zijn nummer zestien 
B: 	en deze staat best wel rechts 
B: 	tot en wel helemaal in het midden qua hoogte maar helemaal rechts horizontaal en dan toepassen er nog twee plaat tot tot de rand 
A: 	twee plaat tot de rand 
B: 	ja 
A: 	oké 
A: 	dat zijn bij mij niet zo daar past nauwelijks één plaat denken ik 
A: 	en aan de bovenkant zijn hoeveel ruimte zijn daar bij jou 
B: 	oké 
B: 	voor één plaat 
A: 	oké 
A: 	dan denken ik toch dat die niet op dezelfde plek staan 
B: 	ja 
A: 	dit zijn de mok met het uitklaptafelt met het bak erop 
B: 	ah ja P 
A: 	en hij staan ja ongeveer op een kwart vanaf rechts 
A: 	en hij staan daar eigenlijk precies in het midden er toepassen aan zowel aan de bovenkant als aan de onderkant passen er twee en een half drie plaat naast 
B: 	ja 
B: 	ja daar staan die bij mij ook 
B: 	oké dit zijn het uitklaptafelt met het bak erbovenop 
A: 	ja veertien 
B: 	en hij staan precies in het midden tussen links en rechts en dan helemaal onderin 
A: 	ja 
A: 	zelfde plek 
A: 	dit zijn die met het uitklaptafelt 
A: 	en dat bak 
B: 	ja 
B: 	dat zijn N 
A: 	en hij staat ongeveer op een kwart vanaf links 
A: 	er zullen nog twee plaat naast passen en nog anderhalf plaat boven denken ik 
B: 	ja dat zijn wel dezelfde plek 
B: 	dit zijn het uitklaptafelt op de mok met het kop met het bak bovenop 
A: 	ja 
A: 	nummer tien 
B: 	hij staan horizontaal in het midden en net een stuk boven het verticaal midden 
B: 	dus net een stuk boven de helft 
A: 	oké dus er zullen aan de bovenkant nog meerdere plaat boven passen 
B: 	ja anderhalf of zo 
A: 	oké bij mij 
A: 	maar bij mij dan denken weinig dan één dus niet dezelfde plek 
B: 	zoiets 
A: 	en dit zijn het uitklaptafelt 
B: 	d 
A: 	en hij staan bijna helemaal rechts op het scherm er passen net geen plaat rechts van denken ik en aan de bovenkant past er nog anderhalf plaat boven 
B: 	dat kunnen hem niet zijn 
