A: 	oké ik hebben nu dat plaat met die twee ja aan de onderkant zitten een soort van uitstekend buigen 
A: 	Buis en aan de rechterkant ook 
A: 	en aan de voorkant steken schuin naar voren een soort zeshoek 
A: 	en aan de bovenkant zien je twee plat ruiten soort van en die worden dan doorkruissen weer door zo'n kubus die steeds groot worden 
B: 	ja 
B: 	dat zijn bij mij M 
B: 	en hij staan een beetje aan de linkerkant 
B: 	net iets boven het midden als je een streep zullen trekken 
A: 	bij mij staan die net iets onder het midden 
B: 	als je erdoorheen 
A: 	dus ik denken dat het niet hetzelfde zijn 
B: 	oké 
B: 	deze zijn die met die twee soort van rui erbovenop met vierkant erdoorheen 
A: 	ja 
B: 	en en onder opsteken nog iets uit en aan de rechterkant nog twee ding 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en er kunnen helemaal niks veel onder 
B: 	nee 
A: 	hij staan best wel naar het midden maar niet helemaal tegen het midden aan 
B: 	ja 
B: 	ik denken dat het hetzelfde zijn 
A: 	oké 
A: 	dit zijn die een met die soort van twee ruit bovenop en dan aan elk ruit zo'n uitdijen kubus 
B: 	ja 
A: 	en onderaan en rechts zo'n staaf of ja zo'n buis die uitsteken en ook nog een 
A: 	staaf aan de voorkant die zo naar rechtsvoor uitsteekt 
B: 	ja 
B: 	dat zijn bij mij H 
B: 	en hij staan een beetje linksboven in het midden van dat vak 
A: 	ja 
A: 	zeggen maar als je zo een soort van schuin lijn trekken dan zijn het zeggen maar de twee van link 
B: 	ja 
A: 	oké 
A: 	dat zijn denken ik wel dezelfde 
B: 	dit zijn met die rui aan de bovenkant 
A: 	ja met die uitdijen kubus zeggen maar 
B: 	met die vierkant erdoorheen 
B: 	ja 
A: 	ja dat zijn nummer elf 
A: 	en die staan bij mij als veel linksboven in de hoek er staan niks veel link en niks veel boven 
B: 	ja 
B: 	maar er zullen nog wel ding passen links 
A: 	ja 
B: 	oké 
A: 	deze hebben die twee 
A: 	ruit bovenop waar dan die uitdijen kubus aan beide kant uit steken en onder die buis en rechts die buis en dan nog dat staaf 
B: 	ja 
A: 	die uitsteken 
B: 	dat zijn bij mij d 
B: 	en hij staan helemaal linksonder 
A: 	nee bij mij staan er nog één link van 
B: 	bij mij niet 
A: 	nee 
B: 	dit zijn met die twee rui aan de bovenkant met die uitdijen vierkant 
A: 	ja dat zijn nummer veertien 
A: 	en er staan nog drie figuur veel naar links 
B: 	nee 
A: 	nee oké 
B: 	nee 
