A: 	hebben jij het rood vierkant 
B: 	ja ik hebben het vierkantje 
A: 	oké 
B: 	even kijken 
B: 	aan de linkerkant zitten een soort van potlooduitein 
B: 	rechtsboven zijn een ja kaarsvlammetje lijken het wel op 
B: 	aan de achterkant zitten een half cirkel die je nog net zien 
B: 	weten je welk ik bedoelen 
A: 	ja zijn dat bij dat ding wat daarbovenop zitten lopen dat een beetje ovaal en dan zo dunn naar boven 
B: 	ja 
A: 	oké dan weten ik welk het zijn denken ik 
B: 	aan de onderkant zitten een soort van poot die langwerpig zijn zo 
A: 	ja zo'n 
B: 	ja 
A: 	ja oké 
A: 	ik moeten nu het nummer zeggen toch 
B: 	ja 
A: 	en dan op geel 
A: 	oké nummer dertien 
B: 	kijken bij mij staan die over de breedte staan die precies in het midden 
B: 	en in de lengte staan die iets onder het midden 
A: 	ja bij mij ook 
B: 	oké 
A: 	ik denken dat die op dezelfde plek staan 
A: 	rood dan toch 
B: 	geel 
A: 	of geel 
B: 	rood zijn niet en geel wel 
A: 	oké 
A: 	ja dit vinden ik een beetje lijken op een steelpannetje met een lepel erin 
A: 	maar dat zijn dat een die we ook al hebben hebben met een beetje die kegel zo er en dat rond erachter 
B: 	ja ik weten het 
A: 	en daar waar die op staat en dat dinge aan de zijkant 
B: 	ja 
B: 	dat zijn de O 
A: 	en hij staan als je het midden hebben iets naar rechts en dan iets omhoog 
B: 	bij mij staan die iets omlaag wel iets naar rechts maar 
B: 	dan zijn die anders 
B: 	dit zijn dat steelpannetjeten 
A: 	ja ik zien hem 
B: 	wat jij net noemen 
A: 	nummer acht 
B: 	en hij staan bijna helemaal rechtsboven 
B: 	wel helemaal boven maar niet helemaal naar rechts 
A: 	ja hebben ik ook 
A: 	dit zijn dat steelpannetjeten 
B: 	ja C 
A: 	en die staan rechtsmidden en dan iets omhoog 
B: 	bijna bijna bij het midden 
A: 	ja 
B: 	ja 
B: 	steelpannetje 
A: 	ja nummer zeven 
B: 	en dan beetje naar onderen en halverwege link 
A: 	bij mij staan die helemaal linksonder 
A: 	het steelpannetje 
B: 	ja C 
A: 	staan bij mij rechtsboven 
A: 	niet helemaal rechtsboven maar wel echt helemaal bovenaan en echt een ver stuk naar rechts 
B: 	ja 
B: 	ja 
