B: 	ok 
A: 	we mogen praten nou toch 
B: 	ja 
A: 	ok 
B: 	ik zullen deze omschrijven als een soort beker met een wafel er in 
A: 	wafel 
B: 	ja soort schijf die die zegmaar in zitten 
A: 	o 
A: 	zo'n schijf 
A: 	die ijsthee 
B: 	ah ja met een soort ja 
A: 	aight denken wel 
A: 	met een ding er in en zo'n lepel zo'n lepelachtig bovenkant er in ja 
B: 	ja ja met zo'n lepel er bovenin en nog er onder een soort iets ja een beetje plat ja 
A: 	ja ik denken 
A: 	zo'n 
A: 	ja a ja kijken ok 
A: 	ja ik weten wat het zijn 
B: 	ok 
A: 	ok nou dan moeten ik op die geel knop drukken 
B: 	nee dan moeten je dus eerst zeggen welk welk nummer erbij staan 
A: 	o ja nummer dertien 
B: 	en dan kunnen je op de knop drukken 
A: 	dan de geel knop 
A: 	taak twee 
B: 	ok nu moeten we dus kijken waar hij op het scherm zitten bij mij zitten hij echt in het midden en dan net er iets onder 
A: 	ja kloppen bij mij ook in ieder geval 
B: 	ok 
A: 	ja als je kijken naar benQ weten je wel die ja dan zijn het die inderdaad recht in het midden ja 
B: 	ja 
A: 	ja ja prima dan geel zijn 
B: 	ok 
B: 	geel zijn zelfde ja 
A: 	hetzelfde ok 
A: 	o dit zijn dat ijstheegla wat ik de vorig keer hebben zeggen weten je wel met die lepel er in 
B: 	met het citroen er in lepel O 
A: 	jaja ja ja 
A: 	en hij zitten rechtsbovensen vak link onderin 
B: 	wachten rechts bovenste vak zeggen je 
A: 	rechtsboven vak en dan links onderin 
B: 	nee bij mij zitten hij rechtsonder links bovenin dus volgens mij zijn die omgedraaien 
A: 	ja 
B: 	ok 
B: 	o ok nu krijgen we ze nog een keer opnieuw ik hebben ijsthee 
A: 	ja ijsthee ja ok even kijken acht 
B: 	dus met die ja 
A: 	ja 
B: 	helemaal rechts bovenin 
A: 	ja bij mij ook 
A: 	ijsthee 
B: 	ja 
A: 	glas 
B: 	even kijken ja C 
A: 	rechts bovenin in het in ongeveer het midden 
B: 	nee ik hebben hem helemaal links van het midden dus rechts bovenin veel links nee 
A: 	o nee dan hebben we 
A: 	helemaal niet 
B: 	ijsthee 
A: 	ok even kijken ja zeven 
B: 	ja links link onderin in het midden 
B: 	link onderste link onderste vak 
A: 	nee bij mij zitten hij echt helemaal links onderin 
A: 	link onderste vak link onderin bij mij dus 
B: 	nee er zitten bij mij nog één link van dus zijn niet hetzelfde 
A: 	ijsthee 
B: 	C 
A: 	helemaal rechts bovenin 
A: 	als in ja hij kunnen nog wel ver naar rechts maar wel helemaal rechts bovenin 
B: 	nee bij mij zitten hij rechts bovenste vak rechts onderin 
A: 	nee dan niet 
B: 	ok 
