A: 	ik hebben dat kop waarop je twee vierkant hebben bovenop maar die zijn die zijn draaien 
A: 	dus het zijn geen plat vierkant maar ze staan rechtop 
A: 	dus op het kop bovenin zo twee vierkant 
A: 	en daar komen nog wat dinge uit 
A: 	en hij hebben ook een neus en zo'n soort sik 
B: 	oké 
B: 	hij hebben hier ook zo'n zo 
A: 	ja hij hebben hier iets uit en dan hier zo'n zo'n zo'n sik 
A: 	sik die zo naar voren gaan 
B: 	ja aan de onderkant 
A: 	ja aan de onderkant 
B: 	ja 
A: 	onderkant van het kop 
B: 	dat zijn bij mij nummer M 
A: 	en die staan vrij ver naar links en net iets laag dan het midden 
B: 	nee 
A: 	oké 
B: 	ik hebben dat een ding met dat die twee vierkant en die waar twee soort van verrekijker uit komen met dat sik 
A: 	ja met dat sik oké dat zijn nummer negen 
B: 	ja 
B: 	en hij staan helemaal onderaan 
B: 	en dan net iets link van het midden 
A: 	ja ongeveer zestig 
B: 	ja 
A: 	ja 
A: 	die met dat sik 
B: 	ja dat zijn H 
A: 	en dan zitten die op ongeveer vijfenzeventig link en net iets boven het midden dus ik denken op zestig hoog 
A: 	ongeveer 
B: 	bij mij veel vijfenzeventig procent 
A: 	hoog of 
B: 	ja 
B: 	zo 
A: 	ja het zullen ook wel 
B: 	ja misschien wel op dezelfde plek 
A: 	ik ja ik denken doen maar wel 
B: 	ja 
B: 	ik hebben met dat sik 
A: 	ja dat zijn nummer elf 
B: 	en dan staan die bijna bovenaan 
B: 	tien procent van de bovenrand 
B: 	en dan vijfentwintig procent van de linkerrand 
A: 	ja 
A: 	die met dat sik 
B: 	d 
A: 	en dan zeggen staan die ongeveer tien procent van onder en ongeveer op ja ook iets tien procent van het midden af ongeveer tien 
B: 	midden 
A: 	van het ja of naar links 
B: 	nee 
B: 	bij mij staan die echt helemaal in de hoek 
A: 	oké nee 
B: 	met het sik 
A: 	ja dat zijn nummer veertien 
B: 	staan ongeveer tien procent van de linkerzijkant af 
B: 	en dan midden van het scherm 
A: 	ja dan hebben ik hem ver 
