A: 	oké 
A: 	nou hij hebben aan al kant hebben die wat 
A: 	hij hebben een één ja een 
B: 	al kant hebben die hebben die 
A: 	ja hij hebben een lepel 
A: 	hij hebben zo'n staart 
B: 	ja en dan zo'n soort pionne aan de zijkant en dan zo'n 
A: 	nou 
A: 	ja en als het een man zijn zijn dan 
B: 	ja ja 
B: 	oké dan zijn het E 
B: 	en waar staan die bij jou ? staat die 
A: 	rechts 
B: 	rechts en dan een beetje naar boven toe 
A: 	het midden 
B: 	echt midden midden 
A: 	drie centimeter van van de middenstreep 
B: 	oké nee ja nou dan nee bij mij staan die echt wel veel naar boven toe 
A: 	oké 
B: 	deze hebben die robot die je net hebben zo'n zelfde structuur aan de linkerkant alleen die hebben die dan 
A: 	ja 
B: 	ja rechts 
A: 	rechts 
B: 	en dan zo'n lepel groot lepel en nog een lepel aan de ander kant en nog zo'n als het een man zullen zijn 
A: 	die ja 
B: 	ja 
A: 	gaan ik hem even zoeken 
A: 	ja dat die lepel en een blok 
B: 	ja 
B: 	en dan nog een ander uitsteeksel 
A: 	ja 
A: 	ja ja precies 
A: 	elf 
B: 	en dan staan die als je het midden hebben nog een beetje veel aan de linkerkant iets naar boven toe 
A: 	nee 
A: 	dit zijn die zijn het man weer 
B: 	J 
A: 	en hij staan rechts en alleen rechts bovenin zitten nog wat en rechts onder hem zitten wat 
B: 	dus als je zeggen maar de middellijn hebben dan meteen rechts van die middellijn 
A: 	ja 
B: 	ja bij mij 
B: 	met die lepeltje aan de bovenkant en die man 
A: 	ja 
A: 	waar zijn de man blijven 
A: 	ja negen 
B: 	hij staan aan de rechterkant van het scherm onderin er er zitten niks veel onder zeggen 
A: 	nee 
A: 	nee 
A: 	het man 
B: 	B 
A: 	en hij staan rechts 
A: 	hij worden van schuin boven en schuin onder nog wel omringen maar rechts van hem zitten niks veel 
B: 	nee ja 
B: 	dit zijn die man 
A: 	vier 
B: 	die zitten Linksboven in de hoek 
A: 	ja en er zitten helemaal niks omheen 
B: 	nee 
A: 	nee 
