B: 	ah ja ik vinden dit echt een beetje een ding met een neus op de één of ander manier 
A: 	ja je hebben er twee inderdaad die een zitten erdoorheen en die ander dan niet 
B: 	ja weten ik niet 
B: 	niet met de piercing zeggen maar gewoon die ander 
A: 	of 
A: 	nee maar die ander met 
B: 	twee ding erbovenuit en zo'n driehoekig ding dat eruit komen 
A: 	ja een speer en een balk zeggen maar 
B: 	ja 
A: 	ja 
A: 	veertien 
B: 	oké die staan bij mij onderaan net naast het midden aan de rechterkant 
A: 	ja bij mij ook hij zitten iets veel naar onder maar bijna in het midden zeggen maar 
A: 	als je hem van de met de lengte nemen 
B: 	er zijn ja er zijn er twee naast elkaar 
B: 	zullen bij jou zo zijn 
B: 	en dan zijn het die 
A: 	ja 
A: 	ja 
A: 	en ja hij zitten dus ja ongeveer langs de langs de scheidslijn tussen de twee ding 
B: 	ja 
A: 	ja 
A: 	denken ik dat die goed zijn 
A: 	dit zijn ja dat man met met met een neus en dan hebben die dus een zo'n soort van speerachtig iets als een pilaar bovenuit lijken ook een beetje op een 
B: 	en dat driehoek aan de linkerkant 
A: 	ja ja lijken ook een beetje op een pennenbak 
B: 	oké 
B: 	N 
A: 	die zitten bij mij helemaal aan de zijkant van links en dan in het midden qua lengte 
B: 	helemaal aan de zijkant van link 
A: 	ja het in ieder geval het veel van alles zitten die hij zitten het veel links van al dinge op mijn plaat 
B: 	oké dan zijn die een ander plek 
B: 	dit zijn degeen met de neus zonder de piercing 
B: 	met de met die kegel ding bovenop 
A: 	ja ja ja even kijken waar ja 
A: 	dat zijn negen 
B: 	helemaal links en dan de ja net iets boven het midden 
A: 	helemaal nee ik hebben hem in de bovenste hoek zitten die link 
B: 	oké nee dat zijn het niet 
A: 	dit zijn degeen met de neus zonder de piercing 
B: 	G 
A: 	hij zitten bij mij als je de scheidslijn hebben zitten die iets naar links toe en iets naar beneden 
B: 	ja bij mij ook 
B: 	de neus zonder piercing 
A: 	neus zonder piercing vijf 
B: 	en die zitten rechts in ieder geval net iets link van het midden 
B: 	en dan redelijk bovenaan 
A: 	hij zitten een beetje boven een beetje rechts van het midden inderdaad ik denken dat dat dat we hetzelfde 
A: 	dit zijn met de neus en zonder de piercing 
B: 	J 
A: 	bij mij zitten die als je dan de rechterkant hebben zitten die wel in het midden qua breedte maar iets naar boven 
B: 	nee dat zijn een ander 
