A: 	dan hebben ik een koffiebeker met drie uitsteeksel aan de zijkant en een wat bredere 
A: 	lepel die erin hangen of bijna rechtop staan 
A: 	en van de uithangsel zijn er één die een vierkant blok die steeds groot worden 
A: 	een even groot dikte koffielepel veel schuin aan de voorkant 
A: 	en veel aan de achterkant nog een soort olifantenslurf 
B: 	ja 
B: 	en als je al uitsteeksel eraf halen dan lijken het een beetje op een wcontstopper 
B: 	of in ieder geval zo'n schoonmaakding 
A: 	dat zullen je er ook nog van kunnen maken ja 
B: 	ja dat zijn letter D E excuus 
B: 	letter E 
B: 	bij mij staan die in ieder geval in het bovenste kwadrant aan de rechterzijde van het scherm 
A: 	ja 
A: 	inderdaad rechts 
A: 	maar als je daar dat kwadrant pakken 
A: 	hij zullen bij mij op de lijn van het midden staan 
B: 	ja 
B: 	zowel qua breedte als qua lengte 
B: 	dus zowel verticaal als horizontaal 
A: 	nee 
A: 	hij zitten echt de rechterkant van het scherm 
A: 	maar dan daarin qua hoogte halverwege 
A: 	misschien iets iets daarboven een centimeter 
B: 	dus stellen je zullen het scherm in vier deel 
A: 	ja 
B: 	dan pak je dit kwadrant en dan staan die bij mij precies op het midden van dat kwadrant 
B: 	nee ongeveer 
A: 	ja 
B: 	ongeveer in het midden misschien iets naar rechts daarvan 
A: 	oké bij mij staan ja staan die wel hij staan in dat kwadrant maar staan die wel helemaal aan de rechterkant van jou scherm 
B: 	ja 
B: 	nee 
A: 	dan zijn die sowieso niet 
B: 	nee 
A: 	nee 
A: 	bij mij staan die echt 
B: 	bij mij staan er nog wel een plaat naast 
A: 	nee bij mij staan die echt rechts 
B: 	oké 
B: 	dan zijn het een ander plek 
B: 	goed het zijn het koffiekopje met vier uitsteeksel eraan 
B: 	twee daarvan zijn een soort handvat of een stuk van een pollepel 
B: 	de ander zijn een een smal stuk wat beginnen en dan eindigen het in een een soort vierkant 
B: 	en aan de dat zijn aan de rechterkant 
B: 	aan de bovenkant en aan de linkerkant zitten dus een soort begin van een spatel of een penseel 
B: 	en daarachter zitten dan nog een een een boog of een slurf je ja 
A: 	slurfachtig 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	nou als je weer naar dat vierkantje kijken in het midden 
B: 	dat je in vier kwadrant kunnen verdelen dan zijn het bij mij Linksboven 
A: 	bij mij ook 
B: 	oké 
A: 	dan hebben we de slurf de koffiekopje met de slurf wat veel aan de achterkant aan de zijkant eruit steken 
B: 	ja waar zijn die ook weer 
A: 	één robotarm een beetje rechts aan de voorkant 
A: 	en twee wat dikkere lepel aan de bovenkant en zijkant 
B: 	ja 
B: 	ja 
B: 	dat zijn letter J 
A: 	kwadrant rechtsboven 
A: 	en in dat kwadrant staan die ongeveer horizontaal zien in het midden nee ja 
A: 	horizontaal zien in het midden 
A: 	en 
B: 	horizontaal zien 
A: 	ja 
A: 	vanuit dat kwadrant 
B: 	nee bij mij staan die verticaal zien wel in het midden maar dan echt tegen dus dan zullen het een ander plek zijn 
A: 	oké nee verticaal zien staan die juist tegen de middellijn aan van het scherm 
B: 	nee dan worden het hem niet 
A: 	oké 
B: 	ja dat koffiekopje met een een raar blok aan de voorkant wat bred uitlopen 
B: 	twee penseel handvat 
B: 	één aan de bovenkant één aan de zijkant 
B: 	en nog een slurf je ja 
A: 	en een slurf 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer negen 
A: 	lijken ook gewoon robotarmen 
B: 	ja dat zijn ook een robotarm laten we het daarop houden 
B: 	hij staan redelijk eenzaam in het rechtsonderkwadrant 
A: 	nee 
B: 	nee 
A: 	nee 
B: 	nee 
A: 	nee 
A: 	geen twijfel daarover 
B: 	duidelijk 
A: 	de slurf 
A: 	met robotarm 
A: 	en twee lepel zijkant boven 
B: 	ja ja ja ja ja slurf en twee arm 
B: 	ja robotarm ja ja ja letter B 
A: 	de slurf aan de achterkant 
A: 	ja 
A: 	kwadrant rechtsonder 
A: 	en ongeveer in het midden van het kwadrant 
A: 	rechts boven de brievenbus 
B: 	ongeveer in het midden van het kwadrant qua allebei 
B: 	gewoon überhaupt in het midden 
B: 	maar bij mij staan die echt rechts aan de zijde van het scherm 
A: 	nee 
B: 	nee 
B: 	het koffiekopje met één robotarm twee penseeluitsteeksel en een slurf 
A: 	ja 
A: 	nummer vier 
B: 	hij staan bij mij Linksboven 
B: 	staan niet zoveel omheen er zullen heel moeilijk nog iets link passen maar boven sowieso niet 
A: 	moeilijk nog iets naast passen 
A: 	ook niet echt nee ja 
B: 	ja 
A: 	ja 
