B: 	ik hebben het kop en er lijken een soort bank bij te opzitten 
A: 	ja zo'n soort ik noemen het een bumper 
A: 	zo'n bumper om zich heen 
B: 	ja 
A: 	met een ook zo'n omgedraaide piramide erop 
B: 	ja met een 
A: 	oké 
A: 	dat zijn nummer zestien 
B: 	ja 
B: 	als je naar het midden van het scherm gaan en dan naar rechts 
B: 	en dan best wel aan de rechterkant 
A: 	bovenin 
A: 	richting de hoek 
B: 	nee echt van midden naar het scherm 
A: 	oké 
B: 	en dan rechts dus bijna tegen helemaal tegen de rechterkant van het 
A: 	oké 
A: 	maar wel op het midden 
A: 	niet bovenin ? bij mij staan die bovenin 
B: 	nee niet bovenin 
A: 	oké 
A: 	die met die bumper en die omgekeerd piramide 
B: 	ja dat zijn P 
A: 	en centrum centrum en dan ongeveer op vijfenzeventig rechts 
B: 	ja 
B: 	ik hebben met dat bank die bumper 
A: 	met die bumper ja 
A: 	dat zijn nummer veertien 
B: 	ja 
B: 	en dan centrum centrum en dan eigenlijk helemaal naar beneden 
A: 	ja daar hebben ik hem ook 
A: 	die met die bumper en die omgekeerd piramide 
B: 	ja dat zijn N 
A: 	en dan centrum centrum en dan ongeveer ja op vijfenzeventig van links 
B: 	ja 
B: 	dus je gaan naar links 
A: 	ja ja ik gaan naar links 
B: 	ja 
B: 	met de bumper 
A: 	met de bumper 
A: 	dat zijn nummer tien 
B: 	nou midden midden iets naar boven 
A: 	ja 
A: 	die met die bumper en die piramide 
A: 	omgekeeren 
B: 	ja 
B: 	dat zijn D 
A: 	en dan staan die nou ik denken tien van de rechterwand af en ook wat hoog dan het midden 
B: 	ja bij mij staan die echt bijna tegen de bovenkant van het scherm aan 
A: 	nee nee bij 
