A: 	ja want nu hebben ik dus degeen die heel raar op die plek zitten 
A: 	ja deze vinden ik ook best wel raar het zijn een soort van trechter zitten aan een reling vast en dat zitten dan weer aan het aan de basis vast 
A: 	en er zitten een soort van bijzettafel zitten eraan 
B: 	ik denken dat ik een idee hebben maar ik weten niet zeker het zijn echt zo het zijn een plat cirkel rechts die dan zo met een dinget vastzit 
A: 	ja 
A: 	met zo'n staaf 
A: 	ja 
A: 	en dan links zijn het een soort van Bvormig reling 
B: 	dat 
B: 	ja 
B: 	ja oké 
B: 	ja dat zijn L 
B: 	bij mij zitten die dus het veel links 
B: 	en iets veel onderaan maar zo dus onderaan midden ongeveer 
A: 	ja bij deze zitten dus bij mij juist helemaal als je van alleronder dan de linker pakken 
A: 	maar dat zijn dan niet dezelfde 
B: 	nee nee ander plek dan ja 
A: 	oké 
B: 	dit zijn weer die aan die Bvormig reling zitten en het bijzettafel 
A: 	ja 
A: 	dat zijn zeven 
B: 	hij zitten een beetje midden van link helemaal bovenaan bij mij 
A: 	wachten even hoor 
A: 	zijn het oké dit zijn echt zo'n moeilijk plek om uit te aanleggen 
A: 	zitten die zeggen maar als je een streep van Linksboven naar rechtsonder zullen trekken zitten die dan een beetje op die lijn 
B: 	nee 
A: 	dan zitten ze niet op dezelfde plek 
B: 	nee ik denken het niet 
A: 	of ja want er zitten zeggen maar als je Linksboven hebben zitten er er zijn er drie die als één die hoek zeggen maar bij die hoek zitten 
A: 	een soort van in een cirkelachtig 
A: 	nou net niet helemaal cirkel 
B: 	nee ik denken dat het echt anders zijn ik hebben gewoon de bovenste bovenste ding hebben je één linker en één rechter en dit zijn de linker 
A: 	nee dan zijn het niet hetzelfde 
B: 	oké 
A: 	dit zijn weer met die Bvormig reling en die cirkelvormig bijzettafel 
B: 	ja 
B: 	dus dat zijn C 
A: 	en als je dan nu de rechtervierkant hebben zijn het rechtsonder 
B: 	ja maar het zijn wel redelijk in het midden bij mij 
B: 	het zijn rechtsonder van het midden zeggen maar 
A: 	ja als je ja ja ja het zijn wel in het midden 
A: 	het zijn eigenlijk best wel in het midden alleen dan ja die rechtsboven 
B: 	ja 
B: 	dan iets veel naar rechts en wat naar onder 
B: 	oké nee dan zijn het op dezelfde plek denken ik 
B: 	dit zijn de weer de Bvormig reling met het bijzettafel 
A: 	ja dat zijn één 
B: 	die zitten horizontaal in het midden en dan de veel links bij mij 
A: 	dus ja gewoon degeen die echt het veel naar links zijn 
B: 	ja 
A: 	oké dan zijn het wel dezelfde 
A: 	dit zijn weer die Bvormig reling en dat bijzettafel 
B: 	ja dus dat zijn A 
A: 	even nadenken horen 
A: 	als je naar links gaan en dan gewoon de middel 
A: 	hij zitten niet helemaal aan de linkerkant maar het zijn wel gewoon in het middel midden lijn 
B: 	nee 
B: 	ja op de middel lijn horizontaal zien en dan het veel naar links 
A: 	ja 
B: 	oké ja dezelfde plek 
B: 	wanneer mogen we nou stoppen 
A: 	houden vol 
B: 	oké dit zijn de Bvormig balk 
A: 	dat zijn dertien 
B: 	met het bijzettafel 
A: 	bij mij zijn dat echt gewoon de linker 
B: 	nee 
B: 	bij mij niet 
B: 	het zitten niet het veel nee want je hebben de rij van drie van de veel links ding en dan zitten het daar rechts van zeggen maar 
A: 	nee 
B: 	nee 
A: 	bij jou zitten die ook veel naar onder dan 
B: 	ja 
A: 	nee dan zijn het niet hetzelfde 
