A: 	en dan oké dus ook een bekervorm 
A: 	er zitten een druppelvormig uitsteeksel aan 
A: 	en dan hebben je aan beide kant hebben je ook uitsteeksel 
A: 	en aan de voorkant zitten dezelfde druppelvormig uitsteeksel 
B: 	je hebben vier uitsteeksel 
A: 	ja vier uitsteeksel 
A: 	en de Rechteruitsteeksel zijn een vierkant 
A: 	die steeds klein worden 
B: 	oké 
B: 	en aan de linkerkant zijn een soort pijp met een bocht 
A: 	ja 
B: 	oké 
B: 	dan zijn het E 
A: 	en hij zitten bij mij helemaal rechts 
A: 	echt bijna tegen het scherm aan 
B: 	nou dan zitten die niet op dezelfde plek 
A: 	oké 
B: 	oké 
B: 	het zijn we hebben deze eerder ook al behandelen 
B: 	bijna allemaal ondertussen maar er zitten vier ding in 
A: 	ja 
B: 	en toen legde ik de achterkant uit als een rioolbuis 
A: 	achterkant uit als een rioolbuis 
B: 	het zijn een vierkant die klein worden en er zitten twee kegel op één aan de bovenkant 
B: 	één aan de zijkant 
A: 	ja 
B: 	en aan de achterkant zo'n soort buis met een bocht 
A: 	die 
A: 	I see even kijken hoor 
A: 	ah 
A: 	oké 
A: 	de buis met de bocht en de twee kegel de één aan de bovenkant één aan de zijkant toch 
B: 	ja en nog een vierkant die klein worden 
A: 	ja 
A: 	dat zijn elf 
B: 	hij zitten aan de linkerkant 
B: 	eigenlijk de middenstreep 
A: 	ja 
B: 	en daar de linkerkant van 
A: 	ja 
B: 	daar zitten die echt tegenaan 
A: 	ja 
B: 	en dan net iets hoog dan het midden 
A: 	iets hoog dan het midden 
A: 	ja dat kloppen 
B: 	ja zijn redelijk makkelijk dan 
A: 	zitten zo'n slurf aan de linkerkant die zo'n boch maken cilinder die een boch maken 
B: 	ja 
A: 	die twee pionnet er één ik weten niet hoe hoe je die vorm noemen een ovaal erop en één er aan de voorkant zitten er een ovaal die gaan recht vooruit 
A: 	er zitten een vierkant die steeds klein worden aan de rechterkant 
B: 	ja dus hij hebben vier uitsteeksel 
A: 	ja vier uitsteeksel 
B: 	er zitten een soort van die die leiding met een knik aan de achterkant 
A: 	precies ja leiding met een knik 
B: 	oké 
B: 	dat zijn J 
A: 	en hij zitten aan de rechterkant 
A: 	in het midden 
B: 	in het midden van de rechterkant 
A: 	ja 
B: 	nee daar zitten die niet bij mij zitten die echt tegen de middellijn aan 
A: 	oké nee kloppen niet 
B: 	weer die vier uitsteeksel 
B: 	en dat een soort van bocht in dat achterste ding zitten 
A: 	in die klein pijp even kijken hoor waar zijn die ? searching sound 
B: 	ja 
A: 	ja ik zien hem 
A: 	dat zijn negen 
B: 	hij zitten rechtsonder in het scherm het midden 
B: 	ik ik deeln het het scherm altijd in in vier vlak eigenlijk 
A: 	ja 
B: 	rechtsboven linksboven linksonder rechtsonder 
A: 	dat zijn wel handig ja 
B: 	en dan precies het midden van rechtsonder 
B: 	dat vlak 
A: 	precies het midden van rechtsonder 
A: 	nee dat kloppen helemaal niet 
A: 	nee 
A: 	goed goed truc trouwens die van het vieren verdelen oké 
A: 	vier uitsteeksel 
A: 	en er zitten een een buisje met een knik erin aan de achterkant 
B: 	ja dat zijn B 
A: 	ja 
A: 	en hij zitten rechts onder de middellijn van rechts 
A: 	dus zo 
B: 	ja 
B: 	ja 
A: 	en dan daaronder 
B: 	en dan bijna tegen het scherm 
A: 	nee hij er er zitten nog een een pot het kop met de balk erdoorheen zitten er nog net kunnen er nog net tussen zitten er nog tussen tussen het scherm en 
B: 	oké dat zijn niet goed 
A: 	en het figuurtje 
B: 	dit zijn die met die vier uitsteeksel en de bocht in de buis aan de achterkant 
A: 	ja oké 
A: 	dat zijn vier 
B: 	hij zitten links bovenin 
B: 	hij kunnen misschien een half keer naar links en nog weinig dan een half keer naar boven 
A: 	ja kloppen 
