B: 	even kijken dit zijn ja deze vinden ik echt heel vaag ik weten echt niet wat voor een omschrijving ik er aan kunnen aangeven maar rechts zeggen maar zijn een beetje echt zo'n 
B: 	ovaal rond en dan Erboven zijn een vierkan en daarnaast naast dat vierkantje link zitten een soort van 
B: 	bowlingpion vinden ik het alleen dan op de kop en links zijn iets van een driehoek wat ook nog uitsteken 
A: 	ik gaan even zoeken hoor 
B: 	ja 
B: 	hier komen ik echt heel ja hier hier dit doen me nergens echt aan denken maar 
A: 	ik ik snapen wel wat je bedoelen met die ja ik weten dat bowlingding herken ik wel maar dan op de kop inderdaad 
B: 	ja ok ja 
B: 	ja dan zijn het dan denken ik die ja 
A: 	ja ja bij mij zijn dat de veertien 
B: 	ok bij mij P 
A: 	ok 
B: 	en hij staan een beetje net iets van het midden af en 
A: 	naar welk kant toe 
B: 	naar rechts toe 
A: 	ok 
B: 	en link zitten een iets iets laag en rechts iets omhoog zitten wat 
B: 	maar zeggen maar in de heel lengte naar rechts zitten eigenlijk niet echt wat en naar beneden zitten ook helemaal niks veel 
A: 	ja en naar boven zitten ook best wel lang niks en dan boven nog één of 
B: 	ja ja 
A: 	ja dan zitten hij op dezelfde plek 
B: 	ok 
A: 	ok 
B: 	okan top 
A: 	dit zijn die met die omgekeerde bowling pin 
B: 	o die waar staan hij o daar dat zijn N bij mij 
A: 	bij mij drie 
B: 	ok 
A: 	hij hij staan hij zijn de veel links 
A: 	van allemaal 
B: 	o dan zijn het een ander want bij mij zitten er nog iets link naast 
A: 	ok 
A: 	ok 
B: 	dit zijn ja die een met dat met die bowling pilaar op het hoofd 
A: 	dat zijn negen bij mij 
B: 	ok bij mij G 
A: 	ok 
B: 	nee 
B: 	ook weer 
A: 	het zijn bij mij de veel links in de bovenste hoek 
B: 	o nee dan zijn het niet op dezelfde plek want bij mij zitten hij echt niet Linksboven 
A: 	ok 
B: 	jij moeten drukken ja 
A: 	ja toch 
B: 	ja ja 
A: 	ok 
A: 	hu waarom gaan ik ook omschrijven waar hij zitten 
B: 	ja weten ik ook niet misschien omdat je ja ik hebben ook geen ik denken daarna ook van o maken niet uit 
A: 	o sorry dit zijn die omgekeerde bowling pion 
B: 	maken niet uit 
B: 	o die even kijken waar hij staan o hier G 
B: 	even kijken 
A: 	ja dertien bij mij 
B: 	ok 
A: 	hij staan een beetje aan de onderkant 
B: 	maar echt best wel ver aan de onderkant 
A: 	nee eigenlijk ook een beetje het midden vooral ja nee veel naar midden toe dan naar de onderkant zeggen maar 
B: 	maar zijn hij net zeggen maar onder het midden 
A: 	ja 
B: 	ok 
A: 	ja en iets veel naar links van het midden maar echt maar een heel klein beetje 
B: 	o dan zijn hij denken ik wel op dezelfde plek 
A: 	ja 
B: 	ja want rechts zitten er bij mij niks naast dat maken natuurlijk niet uit misschien heel erg voor de plek maar ik denken dan wel dat het dezelfde plek zijn ja 
A: 	nee bij mij ook niet 
A: 	ja ik denken het ook 
B: 	o dit zijn dat een met de bowling ding op het hoofd 
A: 	ja zijn vijf bij mij 
B: 	ok bij mij O 
B: 	hij zitten zeggen maar op één drie deel van de rechterkant en wel zeggen maar echt wel boven het midden 
B: 	en ja er zullen nog iets boven iets passen maar er zitten niks en rechts boven schuin zitten ook niks maar er ver omheen wel redelijk alleen er recht onder niet 
A: 	en zeggen maar bij mij zitten hij echt best wel rechts gewoon 
B: 	o nee dan zijn het denken ik niet want bij mij zijn het wel één drie deel van het heel beelscherm 
A: 	o nee nee nee dan nee nee 
A: 	dit zijn de bowling pion 
B: 	o daar J 
A: 	ja negen bij mij o 
B: 	ja 
A: 	hij staan iets veel naar rechts en ook iets boven het midden zeggen maar maar niet de bovenste en ook niet de veel rechts 
B: 	nee ok dus zeggen maar passen Erboven zullen er nog twee passen en eronder ook 
A: 	nou maar één horen 
B: 	ja één 
A: 	ja ok 
B: 	o nee dan zijn hij denken ik niet op dezelfde plek 
