B: 	ah deze zijn de laat met een plat vlak erdoorheen 
B: 	en die zitten veel aan de bovenkant het plat vlak 
A: 	ja 
A: 	iets met met die tafelpo eraan 
B: 	ja tafelpoot ja 
A: 	dat bijzettafel 
A: 	dat zijn zestien 
B: 	zijn veel naar rechts 
B: 	of eigenlijk best wel ver naar rechts ik hebben er nog één er zijn er nog één aan de rechterkant daarvan 
B: 	en helemaal aan het midden 
A: 	nee dat zijn een ander plek 
B: 	oké 
A: 	dit zijn dat kop met het tafel erdoorheen 
A: 	met die poot eraan 
B: 	met het met de poot oké 
A: 	ja 
B: 	P 
A: 	en die staan op het midden van zo 
A: 	en dan staan die ook zo ongeveer in het midden 
B: 	oké nee bij mij 
A: 	net net niet helemaal maar 
B: 	dat zijn anders 
B: 	bij mij staan die helemaal rechts 
A: 	nee 
B: 	dat zijn die een met de tafel 
A: 	met die poot er echt aan 
B: 	ja 
A: 	ja 
A: 	dat zijn veertien 
B: 	hij staan best wel in het midden en heel ver naar onder 
A: 	ja 
A: 	dat zijn een heel klein tik veel naar link denken ik 
B: 	ja ja 
A: 	en dan 
A: 	ja 
A: 	dit zijn die een met die bijzettafel er recht doorheen met die poot eraan 
B: 	ja 
B: 	N 
A: 	en dan staan die net iets boven het midden en dan op de helft ongeveer van link 
B: 	ja zelfde 
B: 	de tafel 
B: 	met die twee poot om de tafel 
A: 	ja dat zijn tien 
B: 	hij staan dicht bij het midden 
B: 	beetje naar links beetje naar boven 
A: 	oké ik hebben hem echt wel bijna recht op het midden zitten en dan past er nog één niet eens een heel boven eigenlijk 
B: 	oké nee dat zijn anders 
A: 	die bijzettafel die er helemaal doorheen gaan met die twee poot eraan 
B: 	oké 
B: 	d 
A: 	en dan staan die rechts 
A: 	er past er als je heel erg je best doen misschien nog één langs aan die kant 
A: 	en dan net net iets boven 
B: 	boven het midden 
A: 	ja net iets boven het midden en dan aan de rechterkant hebben er misschien nog één 
B: 	oké bij mij passen er niks veel tussen boven 
A: 	nee nee dat niet 
B: 	oké 
