A: 	deze hebben ik volgens mij omschrijven als de gieter 
A: 	de koffiebeker met twee soort paal met rond uiteind aan de zijkant 
A: 	aan de linkerkant wat kort aan de rechterkant een stuk lang 
A: 	een beetje een ronde half bol erop 
A: 	en dan iets schuin aan de achterkant nog een vierkant dat schuin omhoogsteekken 
A: 	met daaruit ook nog een stuk 
B: 	kunnen je nog één keer het herhalen 
A: 	ja 
B: 	de gieter ja 
A: 	de gieter 
B: 	het zijn een 
A: 	ja 
A: 	als je het een gieter kunnen noemen vast niet 
A: 	in ieder geval de koffiebeker 
B: 	ja 
A: 	aan de linkerkant steken een soort iets dik cilinder die iets klein worden met een half bol op het einde 
A: 	aan de rechterkant hetzelfde alleen een stuk lang 
A: 	ook een bol op het einde 
B: 	de gieter 
B: 	ja 
A: 	ja 
B: 	dat de het de uitsteeksel lijken een beetje op een honkbalknuppel die erachter liggen 
B: 	als je een beetje fantasie gebruiken en er zitten inderdaad daarachter zo'n schuin oplopend plank met nog een stuk 
A: 	ja 
A: 	met nog iets erachteraan 
B: 	ja 
A: 	hangen 
B: 	een gieter lijken het wel op 
B: 	dat zijn letter K 
A: 	bij mij zijn het het veel linksbovenplaa 
B: 	ja bij mij ook maar er toepassen nog wel ander plaat boven en naast 
A: 	ja zullen passen maar er staan niks 
B: 	zijn dat bij jou ook 
B: 	staan niks nee dan zullen het dezelfde 
A: 	ja nou dan zijn we het daar wel over eens 
B: 	ja 
B: 	oké dit zijn de gieter als ik het goed hebben want ik zeggen een honkbalknuppel die daarachter liggen 
B: 	een schuin toelopen vierkantje wat aan de linkerkant uitsteken 
A: 	ja 
B: 	met een boog 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	hij staan bij mij in ieder geval in het rechtsbovenkwadrant 
A: 	bij mij ook 
B: 	er zullen ja hij staan in het midden van dat kwadrant 
B: 	en er zullen rechts nog wel wat passen 
B: 	en Linksboven staan al iets 
B: 	link daarboven maar dat kunnen bij jou ook anders zijn 
A: 	ja een beetje zo zo'n rij van drie die bijna onder elkaar staan en daar de middel van 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja dat zijn dezelfde plek denken ik 
B: 	dezelfde plek 
A: 	de gieter 
B: 	de gieter 
B: 	letter F ja ik vertrouwlen jou 
A: 	toe maar 
A: 	ja hier zijn het wat drukk 
B: 	ja het zijn een beetje drukker 
A: 	hij staan ik zullen het misschien net kwadrant linksonder noemen 
A: 	misschien dat de middellijn er nog net doorheen lopen 
A: 	en 
B: 	hij staan bij mij wel net boven de middellijn 
A: 	oké 
B: 	ik moeten wel nee ik kunnen niet geloven dat jij hem ja nee het moeten op de ander plek zijn 
A: 	en ongeveer halverwege dat kwadrant 
A: 	of ook een beetje daar uit dat midden 
B: 	nee hij staan ook echt bij het stuk echt bijna bij het middelpunt bij mij 
A: 	nee dan zijn dat degeen die er iets schuin boven staan 
B: 	dan ander plek 
A: 	zijn dat rood 
B: 	de gieter 
B: 	wel steeds de makkelijk plaat 
A: 	de gieter de gieter waar zijn je ? waar zijn je 
A: 	ja hebbes dat zijn nummer drie 
B: 	hij zijn weer veranderen trouwens 
A: 	ja 
B: 	hij staan aan de onderlijn 
A: 	ja 
B: 	het midden van het Linkerkwadrant 
B: 	ja niet precies in het midden maar de middellijn zullen hem 
A: 	iets link daarvan nog 
B: 	iets link van het midden 
A: 	dat zijn 
A: 	vanuit dat kwadrant 
A: 	er zullen nog iets tussen passen maar of nog in in de hoek past er nog wel iets 
B: 	er toepassen bij mij nog twee plaat link van 
A: 	oehlen nee nee nee nee nee 
B: 	dan worden het hem denken ik toch niet 
B: 	ik denken dat we hem anders hebben accoord nee 
A: 	anders hebben we hem wel pakken maar nee 
A: 	nee 
B: 	dus dan worden de verschil misschien klein 
A: 	de gieter 
B: 	de gieter waar staan die ook alweer 
B: 	dat zijn letter L 
A: 	ik zullen zeggen kwadrant rechtsonder 
A: 	en dan zo dicht mogelijk tegen het midden van het midden aan 
B: 	je twijfelen al over het kwadrant 
B: 	nou bij mij staan die echt heel duidelijk in het rechtsonderkwadrant 
A: 	nou ja als ik echt kijken dan denken ik ja als je als we die lijn trekken 
B: 	hij staan in het midden van dat kwadrant bij mij 
A: 	nee 
B: 	nee dan zullen het 
B: 	de gieter 
A: 	waar zijn je gieter 
A: 	ja nummer vijf 
B: 	de verticaal middellijn zullen hem doorkruisen 
A: 	ja 
B: 	en hij staan 
B: 	als je hem over de hoogte van dat kwadrant bekijken staan die op de helft de helft van het onderste helft ja 
A: 	van de onderste helft 
A: 	ja 
A: 	mee eens 
