A: 	even kijken hoor ja dit lijken er een beetje op alsof er Linksboven een kraantje zitten 
A: 	hij staan op een plateau die krom staan 
A: 	en zo waar die dat plateau waar die op staat dat zitten ook rechtsmidden 
A: 	dus dat zijn volgens mij het enig die dat hebben 
B: 	plateau 
B: 	het plateau waar 
A: 	waar die op waar die op leunen dat zitten precies ook rechtsmidd alleen dan wel draaien 
A: 	met bovenop een een wat zijn het ? een een vierkant draaien met één met een balk erdoorheen 
B: 	dat oké ja dus dat dus hij hebben onderaan hebben die zo'n een schuin 
A: 	ja waar die op waar die op leunen 
B: 	schuin plateau en dan rechts hebben die twee hebben die twee uitsteeksel en dan bovenop zo'n schuin vierkantje 
A: 	ja 
B: 	ja dat zijn M 
A: 	ja 
A: 	en hij zitten bij mij links in het scherm hebben je eigenlijk drie figuur ja bijna helemaal boven naast mekaar 
A: 	daarnaast zitten er nog twee 
A: 	en daar zijn het de bovenste van 
B: 	dus kunnen je hem nog een nog een keer herhalen 
A: 	ja 
A: 	je hebben aan de linkerkant van je scherm drie figuur 
B: 	ja 
A: 	waarvan de onderste iets naar links 
B: 	ja 
A: 	die rij daarnaast zitten er ook nog twee 
A: 	boven mekaar 
B: 	ja 
A: 	daar zijn het de bovenste van 
B: 	oké dan zijn het een ander 
B: 	deze dit zijn met het schuin schuin plateau onder twee uitsteeksel rechts en het schuin vierkantje bovenop 
A: 	oké 
A: 	ja 
A: 	met met iets erdoorheen ook nog 
B: 	ja 
A: 	bovenop 
B: 	ja precies 
A: 	ja dat zijn nummer negen 
B: 	oké 
B: 	en van de drie onderste zijn het de veel links 
A: 	ja bij mij ook 
A: 	ja hoe hebben we deze ook alweer 
A: 	de plateau waar die op leunen ja hij maken het figuurt niet helemaal af maar het plateau waar die op leunen die zitten ook aan de rechterkant 
A: 	maar er zitten nog een balk voor 
A: 	en bovenop zitten een vierkant draaien met met wat erdoorheen 
B: 	ja 
B: 	dat zijn hem 
B: 	ja 
B: 	dat zijn H 
A: 	en als ik dan van de bovenste drie figuur een driehoek maken 
B: 	de 
A: 	twee link en één rechts in het midden 
B: 	twee link en sorry nog 
A: 	dus zeggen maar je hebben een figuur helemaal Linksboven 
B: 	figuur helemaal links ja oké 
A: 	daar zitten er ook één onder 
B: 	ja 
A: 	en daar aan de rechterkant in het midden zitten er ook nog één daar kunnen je een soort driehoek maken 
B: 	ja 
B: 	ja 
A: 	en daar zijn het de veel rechts van 
B: 	ja inderdaad 
B: 	dit zijn weer met het vierkantje boven het draaien vierkantje bovenop met die torent er zo er aan beide kant in 
B: 	en het schuin plateau onder 
A: 	ja 
A: 	waar die ook het plateau ook aan de rechterkant zitten toch 
B: 	ja precies 
A: 	ja dus dat zijn nummer elf 
B: 	en hij zitten helemaal Linksboven 
A: 	ja bij mij ook 
A: 	ja dit zijn dat gek ding bovenop die twee torent die tegen het vierkantje aan steken 
A: 	het plateau waar die op leunen zitten ook weer aan de rechterkant 
B: 	twee 
A: 	met een balk nog ervoor 
B: 	die weer 
B: 	ja 
B: 	dus die een met dat met het schuin vierkantje bovenop bedoelen je 
A: 	ja ja 
B: 	ja 
B: 	dat zijn D 
A: 	ja en als je van de onder 
B: 	hij zitten linksonder bij mij 
A: 	bij mij niet bij mij daarnaast 
B: 	oké 
B: 	weer het het schuin vierkantje met de twee toren er zo bovenin tegenin drukken zeggen maar en dan het schuin plateau onder 
A: 	ja dat zijn nummer veertien 
B: 	en hij zitten link in het midden 
A: 	nee bij mij zitten die aan de onderkant 
A: 	dus dat kloppen dan niet 
