A: 	het zijn een beetje een basketbal die in een net terechtkomen 
B: 	ja 
B: 	en zijn het dan dat er nog wel allemaal ander uitsteeksel 
A: 	ja 
B: 	zeggen maar één 
A: 	nog nog twee uitsteeksel zeggen maar je hebben zeggen maar zo'n zo'n pilaar en dan een basketbal met een net 
B: 	ja 
B: 	ja 
A: 	of een korfbal lijken het wel een beetje op 
B: 	ja ja dat zijn D 
A: 	hij staan onder en dan een beetje link in het midden maar wel echt het midden niet het midden midden maar echt net klein beetje ernaast link in het midden 
B: 	ja 
B: 	ja dan kloppen het 
A: 	oké 
B: 	dus dat zijn geel toch 
A: 	ja 
B: 	ja want voor de zekerheid 
B: 	even kijken 
B: 	ja volgens mij hebben we deze ook al hebben dat zijn weer die basketbal 
A: 	basketbal ja die hebben we hebben vijftien 
B: 	en nu staan die bij mij helemaal rechtsonder 
A: 	helemaal rechtsonder 
A: 	nee hier niet 
A: 	dit zijn de basketbalnet 
B: 	ja 
A: 	een basketbal 
B: 	dat zijn L 
A: 	er zullen misschien nog één boven kunnen 
A: 	en beetje link van als je het midden hebben iets links en er zullen nog wel iets boven kunnen 
B: 	ja ja 
B: 	ja dit zijn die basketbal 
A: 	ja 
A: 	even kijken waar staan die ? hier 
A: 	zes 
B: 	en deze ja die staan rechts maar er kunnen nog wel één aan de rechterkant bij en hij staan in het midden 
A: 	rechts ja er kunnen nog wel één aan de rechterkant bij en beneden 
B: 	nee gewoon echt wel in het midden 
B: 	misschien al zelfs een beetje veel naar boven 
A: 	beetje 
A: 	oké dus dus beneden kunnen echt nog wel een hoop 
B: 	en beneden ja hij staan 
A: 	nee nou hier niet 
A: 	nee hier zullen er maar één bij kunnen 
B: 	ja 
A: 	de de basketbal 
B: 	de basketbal oké 
B: 	J 
A: 	hij zitten ongeveer qua hoogte in het midden 
A: 	en zo goed als helemaal rechts maar er zullen nog wel er passen nog sowieso één rechts want er er staan hier nog één 
A: 	en nog een heel klein beetje misschien past er nog wel rechts ernaast 
B: 	ja 
B: 	ja 
B: 	de basketbal 
A: 	ja 
A: 	drie 
B: 	hij staan ja vrij helemaal naar rechts 
B: 	en dan ja in het midden 
B: 	of net onder het midden zeggen maar 
A: 	en dat zijn 
A: 	net onder het en rechts zullen er eigenlijk niks veel bij kunnen toch 
B: 	nee niet echt 
A: 	ja nee dan kloppen het denken ik hier wel 
