A: 	jou beurt 
B: 	oké bij mij ik vinden hem een beetje op een machinegeweer zeggen maar 
B: 	je moeten een AK47 in je hoofd nemen en dan ja je je zien echt zo'n handvat en een 
A: 	oeh 
B: 	en een magazijn maar misschien hebben ik te veel Battlefield spelen dat kunnen ook 
A: 	ja maar kalm dat kunnen ik ook dus we kunnen op dezelfde pagina zijn 
B: 	oké 
A: 	vooral Battlefield drie dat zijn dat zijn ziekelijk te wild 
A: 	maar hebben het zeggen maar zo'n zo'n zo'n langwerpig ik weten niet naar het dak toe zeggen maar 
A: 	of dat niet 
B: 	ja zeggen maar al al voorwerp zitten aan de bovenste kant van het heel dinge 
A: 	ja 
B: 	en helemaal bovenaan Linksboven in de hoek van dat dinget zien je heel klein zo omhooggaan 
A: 	hebben het lijken het misschien ook op zo'n zo'n tafel of zo met die poot 
B: 	ja maar dan in dan zien je maar twee poot 
A: 	twee oké 
A: 	ja oké dan zijn we op dezelfde Battlefieldpagina 
B: 	ja 
B: 	ja 
A: 	zestien 
A: 	dit dit kunnen niet hetzelfde zijn want die van jou jij hebben net een plaat die helemaal rechtsboven zijn toch 
B: 	nee daar zitten zeggen maar zo'n klein stuk bovenaan 
A: 	ja 
B: 	hij staan bij mij aan zeggen maar aan de rechterkant van het scherm in het midden 
B: 	helemaal in het midden 
A: 	nee die van mij 
A: 	die van mij zijn helemaal boven 
A: 	dus dat scheelen 
A: 	ja de de Battlefield AK47 
B: 	P 
B: 	bij mij staan die ja 
A: 	oeh 
A: 	of zullen ik die van mij beschrijven 
B: 	ja doen maar 
A: 	ik hebben dus dit dit dit rood koptelefoon en dan helemaal ander kant van het scherm 
B: 	ja helemaal doortrekken 
B: 	ja 
B: 	en dan staan die dan tegen het scherm aan of niet 
A: 	nee zitten best best veel ruimte 
B: 	ja dus daar zullen eigenlijk nog zo'n rood koptelefoondinge tussen passen 
A: 	in feit wel ja 
B: 	ja 
B: 	oké 
B: 	ik hebben die weer met die met die AK 
A: 	waar zijn van mij ? hier 
A: 	veertien 
B: 	hij staan bij mij boven het logo 
A: 	ja van mij ook 
A: 	de Battlefield 
A: 	AK47 Standaard 
B: 	ja 
B: 	N 
B: 	bij mij staan die als je dat rood als je twee van die microfoondingetjes aan elkaar zullen doen dan zullen die daarboven staan 
A: 	oké 
A: 	wachten maar zeggen maar rechts boven die we net hebben 
B: 	ja 
A: 	oké nee dan wel 
A: 	dan hebben ik hetzelfde 
A: 	weer veranderen 
B: 	die AK 
B: 	de AK47 
A: 	ja 
A: 	tien 
B: 	en hij staan 
B: 	ja in het midden hebben je ook dat er in het midden drie eigenlijk drie plaat ongeveer om het midden staan en dit zijn dan de boven 
A: 	ja 
A: 	maar maar wel in dat driehoek 
B: 	ja dus zeggen maar in het midden zijn zeggen maar zo'n driehoek van 
A: 	ja 
B: 	ja en dan zijn het de bovenste daarvan ja 
A: 	oké nee van mij niet 
A: 	van mij hebben jij jij hebben helemaal boven ook zo'n foto toch 
B: 	ja en dat zijn hem niet die daarboven staan 
A: 	oké nee dan hebben we ander 
A: 	die Battlefield 
A: 	pistool 
B: 	ja 
B: 	d 
B: 	bij mij dat driehoek rechts bovenin en dan de boven 
A: 	nee van mij zijn de onder 
A: 	of ja rechts 
