A: 	ja dit zijn zeggen maar achter dat kop hebben je een soort staaf een een een rond staaf met twee van die 
A: 	knop aan de buitenkant 
A: 	en ja een soort zeggen maar een vierkan die er schuin uit komen met nog een staaf eruit oké die zijn niet 
A: 	zeggen maar je ja 
B: 	ja ik volgen je niet helemaal maar 
A: 	nee het zijn de enig die echt zeggen maar zo'n balk achter het kop hebben en dan opsteken die link een klein stuk uit en rechts een groot stuk 
B: 	ah een beetje met die rond lijken een beetje rond schroef links en rechts 
A: 	ja die een soort van van die knopje die erop zitten 
B: 	ja 
A: 	ja 
B: 	en dan zo'n vierkant ding inderdaad met nog iets eraan 
A: 	ja daarachter ja 
B: 	ja 
B: 	dat zijn K bij mij 
A: 	en hij staan bij mij ja Linksboven 
A: 	niet helemaal linksboven in het scherm maar er staan bij mij niks links of rechts of boven van 
B: 	ja hij staan bij mij ook linksboven maar er vaststaan wel iets laag nog iets wat veel naar links staan 
A: 	dus 
A: 	ja ja dat hebben ik ook 
B: 	oké 
A: 	ja 
B: 	maar dan zullen die wel op dezelfde plek staan denken 
A: 	ik denken dat die op dezelfde plek staan ja 
B: 	ja 
B: 	dit zijn die met die twee armpjes die op knoppen leek 
B: 	met dat vierkantje erachter 
A: 	even zoeken 
B: 	zo alsof er zo'n spijker door het kop zitten of zo'n staaf 
A: 	die staaf met die knopje erop en dat vierkantje en dat dat ding dat aan het vierkant zitten 
B: 	ja 
B: 	ja 
A: 	dat zijn nummer negen 
B: 	hij staan aan de rechterkant maar niet helemaal rechts 
A: 	ja 
B: 	dus ik denken twee rij 
B: 	en dan het zijn ook twee rij van boven 
A: 	ja dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn dat beker met die staaf weer met die knopje eraan 
A: 	en het vierkantje met de zonnecelding zeggen maar 
A: 	je hebben het kop en de enig met zo'n lang staaf erachter die doorlopen 
A: 	aan de linkerkant wat kort aan de rechterkant wat lang 
A: 	en dan hebben je die knop 
B: 	ja ja die knop 
A: 	ja 
B: 	dat zijn nummer F 
A: 	en hij staan op de middellijn een beetje halverwege de linkerkant 
B: 	echt halverwege of 
A: 	ja iets veel 
B: 	want bij mij staan die wel bijna in in het midden zeggen maar 
A: 	staan die bij jou bijna in het midden 
B: 	of ja één stap naar links zullen ik zeggen 
A: 	dan zijn het hem ja of zijn het een trickvraag 
A: 	kunnen natuurlijk ook 
A: 	één stap naar 
B: 	er staan zeggen maar ongeveer zo drie kop op die op die die linkermiddellijn zullen ik maar zeggen 
A: 	ja 
B: 	die gaan zo van omhoog een beetje omlaag en omhoog 
A: 	ja 
A: 	en dan zijn het de middel 
B: 	en bij mij zijn het dan de rechter 
A: 	bij mij zijn die de middel 
B: 	ja dan zijn het niet goed 
B: 	dit zijn weer die met die knop aan beide kant 
B: 	met dat vierkant erachter waar nog zoiets aan afhangen 
B: 	dus het hebben twee armp 
B: 	die zo op knop lijken 
A: 	dat met die met die staaf daarachter 
B: 	ja 
A: 	die met links kort en rechts lang 
B: 	ja ja ja 
A: 	ja dat zijn nummer drie 
B: 	en hij staan onderaan en dan twee naar rechts of drie naar rechts 
A: 	aan de rechterkant van het scherm 
B: 	sorry vanaf link zien 
A: 	vanaf links 
A: 	hij staan bij mij zijn het zeggen maar de wel veel links rij maar hij staan echt niet tegen de rand van het scherm aan 
B: 	ja ik denken niet dat het de veel bij mij staan nog wel heel veel kop link van dat ding 
A: 	hij staan wel onderaan 
A: 	ja 
B: 	ja 
A: 	staan die zeggen maar vlak naast het midden ongeveer bij jou 
B: 	nou ik denken op de helft ongeveer van linkervlak 
A: 	op de 
A: 	ja nee er staan daar bij mij nog dus dat zijn niet 
A: 	ja het kop met de staaf rechterkant lang de kop en het vierkantje met 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	en hij staan van het midden echt bijna bijna in het midden en dan alleen iets naar rechts en iets naar onder 
B: 	iets naar rechts en iets naar onder 
A: 	naast het wijnglas 
A: 	bij mij 
B: 	nee dat zijn 
A: 	maar als je van het midden kijken ja iets naar rechts van het midden en iets onder het ander 
B: 	nou ja bij mij staan die wel veel naar rechts 
A: 	oké dan zijn het niet hetzelfde 
B: 	veel aan de rechterkant 
B: 	nee 
B: 	weer die met die knoparmp waarvan die linker kort zijn dan de rechter 
B: 	en dat vierkant erachter waar iets aan afhangen 
A: 	ja nummer vijf 
B: 	hij staan in het midden en dan bijna onderaan maar er zullen nog één ding onder kunnen denken ik 
A: 	hebben je ook weer vier aan de onderkant 
B: 	ja 
A: 	linksonder één die iets erboven dan komen deze en dan staan er rechtsonder weer 
B: 	ja 
A: 	oké ja dan staan die op dezelfde plek 
