B: 	oké 
B: 	dit zijn zo één met een vlak rond achter de beker zullen ik maar zeggen 
A: 	sorry wat bedoelen je ? een vlak 
B: 	rond een cirkel zeggen maar 
A: 	ja 
B: 	en die zitten achter de beker 
A: 	ja 
B: 	en dan hebben die link zo'n uitsteeksel ja bijna cilinder maar dan wel met vlak 
A: 	zo'n handva 
B: 	ja 
A: 	ja 
B: 	en hij staat ook op een statief 
A: 	ja 
A: 	zo'n ovaal 
B: 	ja 
A: 	en dan hebben die een soort kegel zo'n bol kegel die erin staan 
B: 	ja 
A: 	oké 
A: 	dan zijn dat nummer dertien 
B: 	oké bij mij staan die ongeveer op de éénnalaat rij als je naar van boven naar beneden zullen gaan 
A: 	ja 
B: 	en dan ongeveer in het midden als je van links naar rechts kijken 
A: 	ja 
A: 	even kijken dus midden van het scherm en dan een soort van driekwart naar onder 
B: 	ja 
A: 	ongeveer 
A: 	ja dat hebben ik ook 
A: 	geel knop zijn het dan 
B: 	ja 
A: 	ja oké 
A: 	ja dan komen we weer bij jou beker met dat rond erachter 
B: 	ja 
A: 	het kegel dat erin opsteken 
B: 	en het cilinderarmpjé 
A: 	cilinder en het ovaal aan de onderkant 
B: 	ja 
B: 	ja dat zijn O 
A: 	en hij staan ja weten je nog dat we er één in het midden hebben en dan zijn die zeggen maar net nou staan die zeggen maar van het midden maar dan iets rechtsboven 
A: 	als je echt het middelpunt pakken van boven 
B: 	oké rechtsboven maar niet rechts 
B: 	bij mij staan die iets rechtsond 
A: 	nee 
A: 	oké ja je hebben zeggen maar de de middellijn en de ander middellijn en dan staan die van het echt centraal punt echt een beetje rechtsboven 
B: 	ja 
B: 	nee dan denken ik niet dat ze op dezelfde plek staan 
A: 	oké 
B: 	dit zijn die met dat rond weer erachter met dat lepel erin 
A: 	ja en dat 
B: 	op dat ovaal statiefje en dan 
A: 	en dan dat handva 
B: 	ja 
A: 	ja dat zijn nummer acht 
B: 	en hij staan bij mij rechtsboven maar dan nog wel één stap naar links denken ik 
A: 	ja 
A: 	dat zijn bij mij hetzelfde dus dat zijn ook geel 
A: 	ja het kop met die op dat ovaal ding staan het rond daarachter het kegel erin en het 
B: 	ja 
B: 	en het armp 
B: 	ja 
B: 	dat zijn C 
A: 	ja 
A: 	en hij staan nou het wijnglas 
B: 	ja 
A: 	dat zijn denken ik nog steeds hetzelfde rechtsboven daar staan die links naast van bij mij 
B: 	bij mij staan die daar twee link naast 
A: 	ja dan zijn die niet hetzelfde 
B: 	dit zijn weer die met dat op het statiefje ovale statief met het lepel erin en het rond erachter 
A: 	ik zijn hem aan het lepel erin rond erachter en dat dinge 
B: 	dat linkerarmpje ja 
A: 	yes dat zijn nummer zeven 
B: 	en hij staan bijna onderaan 
B: 	als je die rij van vijf net hebben wat jij zeggen zijn het de twee 
A: 	ja 
A: 	bij mij staan die helemaal linksonder zo'n beetje 
B: 	dus 
B: 	helemaal links 
A: 	ja van die rij van vijf staan die helemaal links 
B: 	nee 
B: 	bij mij niet 
A: 	rood 
B: 	tenminste als als die bij jou de waterpomp op dezelfde plek staan 
A: 	ja maar maar die zijn toen bij volgens mij zijn het het systeemp wel dat dat dat dat dan even blij en als je dan hebben zeggen welk waterpomp ? dan 
B: 	ja de vorig keer ja 
B: 	ja ja ja 
A: 	het kop met het roerstaafje het rond aan de achterkant het ovaal voe 
B: 	yes dat zijn C 
A: 	en het cilindertje aan de linkerkant 
A: 	en dan staan die bij mij bijna helemaal rechtsboven er kunnen nog een plaat naast maar hij staan dus zeggen maar twee van rechts maar wel helemaal bovenaan 
B: 	nee dan staan ze niet op dezelfde plek 
