A: 	ok nou zijn eigenlijk ook zo'n soort ovaal iets en dan met een 
A: 	bolle aan de voorkant met er met er doorheen boord een ja kunnen kunnen je zeggen neuspiercing achtig gebeuren 
B: 	ja hebben hij dan ook nog zo'n klein pluk bovenop 
A: 	met toe op ja ja 
B: 	ja dan zijn het F 
A: 	ok als je voornamelijk dan op de rechter scherm staan hij bij mij 
A: 	hij staan dan verdelen tussen vier blok dan hebben je als je helemaal bovenaan kijken op het scherm hebben je een blok 
B: 	ja 
A: 	daar iets naar links van hebben je een blok en dan er onder en naar rechts en dan zitten hij precies in die linker gedeelte van als je een vierkant hebben zeggen maar 
B: 	dus je hebben rechts bovenin 
A: 	rechts schuin bovenin hebben je er één rechts langs 
B: 	rechts schuin bovenin dan hebben je zo'n soort scheef vierkant 
A: 	ja 
A: 	en dan staan hij de linkerhoek Sowieso 
B: 	en dan van 
B: 	link onderin 
A: 	ja 
B: 	ok nee dan staan hij niet op dezelfde plek 
B: 	ja dit zijn weer eigenlijk die met die neuspiercing met die met die bol neus en dan dat ding er doorheen pluimp bovenop 
A: 	ja ja ja nummer ja nummer vijf 
B: 	en die zitten bij mij als je die die rij van vier zo pakken naast aan de linkerkant van van het vierkant zitten hij bij mij op nummer twee 
A: 	ja 
A: 	o nee bij mij op nummer één dan zijn niet op dezelfde plek 
A: 	ja dit zijn dan met die neuspiercing 
B: 	ja dat zijn dan A 
A: 	die staan als je die driehoek hebben helemaal rechts 
B: 	ja 
A: 	onderin ja 
B: 	ok bij mij staan hij bovenin de driehoek dus dat zijn dan niet op dezelfde plek 
A: 	zijn goed 
B: 	dit zijn weer die neuspiercing 
A: 	ja vinden 
B: 	en als je alles in in wacht 
A: 	dat toe er op 
A: 	o nummer nummer vijf ja ja ja horizontaal rij ja 
B: 	ja 
B: 	als je dan alles in van die horizontaal rij pakken dan zijn het twee rij van boven en dan ja of je kunnen het eigenlijk ook je als je zo worden het heel abstract hoor 
B: 	als je rechts bovenin hebben je toch zo drie en twee zo'n beetje Olympische Spelen achtig dan zijn het daar van die Olympische Spelen als je daar ring omheen zullen aantrekken links onder 
A: 	ja 
A: 	nee dan zijn het niet dezelfde 
A: 	ja dit zijn die neuspiercing met dat met dat staart of ja 
B: 	ja dat zijn dan H 
A: 	als je eigenlijk een lijn trekken naar helemaal naar beneden als je in de midden pakken 
B: 	ja 
A: 	ja dan staan hij daar gewoon ja bijna loodrecht op 
B: 	ja hij staan van degeen die bovenaan staat bekendstaan hij eigenlijk gewoon ja ja ok dan staan hij op dezelfde plek 
A: 	iets iets naar 
A: 	ja 
B: 	ik krijgen nu de neurpiercing 
A: 	ja vinden nummer vijftien 
B: 	als je dan rechts bovenin die driehoek hebben dan zijn het links onderin van die driehoek 
A: 	ja 
A: 	nee nee bij mij staan er nog één onder 
