A: 	ik hebben één ook bijzonder hij hebben er staan een soort punt een soort 
A: 	hoorn staan erbovenop 
A: 	en dan hebben die link nog ja ik weten niet een heel gek dinge dat bijna het niet aanraakken 
B: 	ja ik zien hem al 
A: 	en rechts nog een figuur en eronder ook nog wat 
B: 	dat onderin zijn een soort rond 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn J 
A: 	ja staan hij helemaal onderin 
A: 	en dan ongeveer twee naar rechts 
B: 	ja 
B: 	ik hebben dat ding met die soort driehoek op het hoofd met aan de rechterkant een soort trapezium 
A: 	ja 
B: 	aan de linkerkant zo'n figuur wat het net raken 
A: 	ja dat zijn nummer zes 
B: 	en bij mij staan die niet helemaal rechts onderin er kunnen er nog één naast en één onder 
A: 	ja hebben ik ook 
B: 	oké 
A: 	dit zijn weer met die soort van punthoed en heel klein dinge dat heel klein beetje aanraken link 
B: 	ja 
B: 	dat zijn E 
A: 	en hij staan bij mij ongeveer één naar rechts en één naar beneden van het midden 
B: 	nee hij staan bij mij wel ver weg 
B: 	ja 
B: 	moeten we daar nog over daar gaan hij staan hij staat ver weg 
B: 	ik hebben die met die soort van driehoek op het hoofd en wat dat dinge wat het net aanraakken 
A: 	yes nummer tien 
B: 	hij staan bij mij zo goed als onderin er zijn nog een beetje dood ruimte en er past er nog één link naast 
A: 	bij mij passen er nog twee link naast dus ik hebben er wel één staan maar dat zijn een ander denken ik 
B: 	oké dat zijn het niet 
A: 	ja 
A: 	ik hebben één helemaal wachten gewoon punthoed klein dinget link dat bijna net niet aanraakken 
B: 	ja 
B: 	G 
A: 	en hij staan bijna helemaal links bovenin 
B: 	ja 
B: 	ik hebben met dat dinge wat het net niet helemaal wat het bijna aanraken en met de driehoek bovenop 
B: 	snapen je 
A: 	ja ja 
A: 	nummer tien 
B: 	yeslen hij staan een stap onder het midden en twee stap van het midden af naar rechts 
A: 	hebben ik ook 
