B: 	dit zijn er één met een soort lang voetstuk onder het pot 
B: 	met een driehoek en dan zo'n buisje en dan nog 
A: 	die een beetje zo 
B: 	ja een beetje draaien kronkellen 
A: 	ja 
A: 	oké dan weten ik welk het zijn 
B: 	ja 
A: 	nummer vier 
B: 	hij staan helemaal rechts bovenaan 
A: 	oké 
B: 	ja eigenlijk het versten boven en het verst naar rechts 
A: 	oké nee dan staan die niet op dezelfde plek 
B: 	oké 
A: 	ja dit zijn eigenlijk die hebben we ook al hebben weten je wel ? met die lang eigenlijk soort wijnglas scheef wijnglas als je het zo bekijken 
B: 	ja op dat voetstuk 
A: 	ja op dat voetstuk 
B: 	ja 
B: 	dan zijn het A 
A: 	bij mij staan die aan de linkerkant 
A: 	en ik zijn een beetje aan het twijfelen maar als je het weer in die vier vak dan zijn het wel denken ik veel in het linkeronder vak vlak 
B: 	oké 
A: 	en dan wel tegen die lijn aan 
B: 	ja nee dan staan die niet in hetzelfde niet op dezelfde plek 
B: 	dit zijn weer met dat dat wijnglas 
A: 	ah ja dat zijn nummer tien 
B: 	en hij staan in het linkervlak onderin 
B: 	in het en er kunnen geen figuurt veel onder 
A: 	oké 
A: 	ja en dan er staan nog twee figuurt zullen ik maar zeggen één figuurt staan aan de linkerkant en één aan de rechterkant 
B: 	ja 
A: 	oké dan staan die op dezelfde plek 
A: 	dat zijn dat wijnglas 
B: 	oké 
B: 	dat zijn L 
A: 	bij mij staan die eigenlijk het veel rechts wat je maar wat die maar kunnen en dan ook boven 
B: 	ja 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn dat wijnglas 
A: 	dat zijn nummer vier 
B: 	en hij neigen een beetje naar de deze middellijn 
B: 	maar net eronder en dan in het linkervlak 
A: 	oké dan staan die op dezelfde plek 
A: 	dit zijn dat wijnglas 
B: 	dat zijn F 
A: 	en bij mij zitten die in het vlak rechtsboven 
A: 	en dan zitten die eigenlijk dicht bij 
B: 	rechtsbof 
A: 	ja 
A: 	het vak vlak rechtsbof 
B: 	oké 
B: 	oké 
B: 	dan zitten die niet op dezelfde plek 
A: 	nee 
