A: 	ik hebben voor jou een koffiebeker met een 
A: 	uitsteeksel aan de onderkant en twee aan de zijkant 
A: 	en aan de bovenkant aan de rand steken een vierkant biscuit zullen ik maar noemen 
A: 	met twee blok die daarin wat groot worden steken aan beide kant van het biscuit uit 
A: 	en één van even de voorkantuitsteeksel zijn ook een beetje cilinderachtig en aan de 
A: 	rechts zijkant zijn een staaf die een haaks bocht lijken te hebben 
A: 	of in ieder geval een getrapte bocht 
B: 	wachten ik hebben even een ander in mijn hoofd 
A: 	net als de 
A: 	zien jij een koffiebekren met 
B: 	ja ik zien genoeg koffiebeker 
A: 	zestien stuk 
A: 	met het biscuit staan zeggen maar rechtop schuin ja als een ruitvorm 
B: 	staan die daaraan vast of staan die 
A: 	op een beetje op de bovenste rand 
B: 	ja 
A: 	iets aan de achterkant 
B: 	ja 
B: 	en aan dat biscuit zitten een stuk vast 
A: 	zitten twee uitsteeksel 
B: 	twee 
A: 	oké 
A: 	even kijken waar je 
B: 	aan het biscuit zitten twee uitsteeksel 
A: 	ja 
B: 	het zijn een vierkant biscui 
A: 	ja en die staan rechtop 
A: 	als een soort ruitvorm 
B: 	ja 
A: 	op de rand 
B: 	ja 
B: 	inderdaad 
A: 	ja ? mee 
B: 	als een ruit ja 
A: 	oké 
B: 	en dan zitten er zitten er inderdaad drie uitsteeksel aan het kop 
A: 	één aan de onderkant 
B: 	en 
B: 	ja 
B: 	één aan de 
A: 	en twee aan de zijkant 
B: 	twee aan de rechterkant 
A: 	ja 
B: 	ja 
B: 	dat zijn letter M 
A: 	die staan bij mij in het kwadrant linksonder 
A: 	en als je dat kwadrant 
B: 	dus onder het midden 
A: 	iets onder het midden 
B: 	nee dan staan die al op de ander plek 
A: 	oké 
B: 	dit zijn het koffiekopje met enorm veel uitsteeksel en er staan een ruitvormig uitsteeksel bovenop met twee uitsteeksel daaraan vast 
B: 	die het waarvan het lijken dat die door dat ruitvormig ding heen gaan 
A: 	ik noemen die net het biscuit 
B: 	ja die noemen jij net het biscuit 
A: 	oké met onderin dat en twee aan de zijkant en dan boven dat gedoe 
B: 	ja 
B: 	ja 
B: 	dat zijn hem 
A: 	dat zijn nummer negen 
B: 	hij staan op de onderste lijn van het scherm 
B: 	als je het midden pakt staan die net daar links van 
B: 	ik denken dat er net niks tussen het middellijn en dat plaat pasn 
A: 	nee 
A: 	als er iets naast komen zijn dat op de middellijn 
B: 	ja 
A: 	ja 
A: 	dat zijn dezelfde 
A: 	koffiekopje met een rechtopstaand biscuit bovenaan in ruitvorm met 
A: 	de robotarom die eruit komen 
B: 	nee nee ja ja 
B: 	dat zijn hem 
B: 	letter H 
A: 	kwadrant Linksboven 
A: 	waar het behoorlijk druk zijn bij mij 
A: 	en daar staan die ja eigenlijk in het midden van het kwadrant 
B: 	ja zo goed als 
A: 	ja 
B: 	ja 
A: 	er staan niks ander echt in het midden 
B: 	nee 
A: 	die staan bij mij ja 
B: 	dat zijn bij mij ook 
B: 	zelfde 
B: 	dit zijn dat kop met die ruitvormig koek erin 
B: 	met de twee robotarom eruit steken 
A: 	ja hebbes 
B: 	ja 
A: 	en nog drie uitsteeksel 
B: 	en drie ander uitsteeksel 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	het zijn bij mij het plaat het veel Linksboven 
B: 	er zullen boven niks veel passen links daarvan wel 
A: 	niet echt 
A: 	link zeker 
B: 	best wel een breed nog 
A: 	ja 
B: 	ja dan 
A: 	maar daar staan inderdaad niks ander 
B: 	er staan niks ander 
A: 	ja 
B: 	nee 
A: 	die durf ik hetzelfde te noemen 
A: 	biscuit met robotarmp eruit 
B: 	ja ja 
A: 	en nog drie uitsteeksel 
B: 	letter D 
A: 	kwadrant linksonder 
B: 	ja duidelijk 
A: 	horizontaal zien in het midden 
A: 	verticaal zien iets laag 
B: 	hij zitten bij mij het veel het plaat het veel in de hoek linksonder 
A: 	nee nee 
A: 	daar staan jij moeten drukken 
B: 	ik moeten 
B: 	ja dat koffiekopje met dat ruiten koekje met die robotarom erdoorheen 
B: 	en die drie uitsteeksel 
A: 	hebbes 
A: 	nummer veertien 
B: 	hij staan het veel link van mijn scherm 
A: 	nee 
B: 	nee 
A: 	halverwege dat kwadrant linksonder zullen die zijn 
B: 	nee er passen niks veel link van 
A: 	nee 
A: 	nee dan zijn dat rood 
B: 	nee 
