A: 	nou mogen ik weer iets uitleggen toch 
B: 	yes 
A: 	ok nou bij mij het zijn het zijn de enig met de recht paal naar boven een vierkant 
A: 	en er zitten twee poot aan die lijk op arm zullen je kunnen zeggen en op de mok zitten nog een bolletje lijken op een hoofd 
B: 	ja en zijn een beetje zo'n 
A: 	ja echt alsof hij hij doen echt breed ja 
B: 	nou het hebben een eihoofd en twee klein armpjes echt heel dun armpjes 
A: 	ja precies 
A: 	ja maar het zijn niet niet die met het platform 
A: 	ja ja dat eihoofd inderdaad nee jij zeggen je snaplen sowieso welk ik bedoelen 
B: 	ja Jajaja nee niet die met het platvorm nee ok D 
A: 	ja 
A: 	nou hij zitten bij mij onderaan als in er passen niks veel onder en net iets link van het midden 
B: 	ja bij mij ook 
A: 	ok 
B: 	ja ik weten ook niet hoe je dit anders zullen moeten omschrijven dus 
A: 	ja bij mij ik denken er pasn ja die 
B: 	hij zitten een beetje net zo ver van het midden af als dat die vorig dat er aan de rechterkant naast zat 
A: 	jajaja ja ja 
A: 	denken het ook wel ja 
B: 	yes ? ok dan zelfde plek 
B: 	o ja 
B: 	o zijn verplaatsen 
B: 	even kijken o dit zijn zeggen maar het het dik man met een vierkant staaf er aan dus met zijn arm een beetje pinguïn achtig 
A: 	o die een ja dat zijn die hebben we al hebben hè ? toch 
B: 	ja ja we nu komen ze weer allemaal opnieuw 
A: 	ja 
A: 	ok ok ok dus nee dat weten ik al ja ok vijftien 
B: 	die zitten bij mij helemaal rechts onderin 
A: 	bij mij niet helemaal dus gewoon rechts onderin midden 
B: 	nee nee het zijn echt helemaal er zitten niks veel om 
A: 	nee nou ok 
A: 	nou ok dan 
A: 	die een die breed of ja weten je wel die zo doen 
A: 	ja 
B: 	inderdaad o zo jajajaja inderdaad met de balk ja 
A: 	ja en die van de balk ja het zijn ook puar fantasie 
B: 	L 
A: 	link bovenste vak niet helemaal in het midden maar net beetje naar rechts naar boven zeggen maar 
B: 	rechts boven ja 
A: 	rechts boven van het midden van het links bovenste vak 
B: 	rechts boven van het midden van het ja en hij zitten hij zitten links onder de raket of link onder met die heel ja 
A: 	snapen je 
A: 	ja jaja dat ding ja 
B: 	okan yes 
A: 	geel 
B: 	dan macho man met een met een pilaar blok 
A: 	die 
A: 	jajaja ja ja o zes 
B: 	rechts in ik zullen hem ja rechts bovenin en dan rechts onderin 
A: 	nee bij mij niet 
B: 	dus midden ja 
A: 	bij mij zitten hij rechts onderin dus 
B: 	helemaal rechts onderin ok 
A: 	ja niet helemaal maar wel rechts onderin in het midden ongeveer 
B: 	ja 
A: 	ja die dit die kerel weten je wel ja die kerel 
B: 	die kerel J 
A: 	en dan zeggen maar hij zitten niet in in ja rechts rechter schermhelft in het midden 
B: 	ja er zitten er één nog rechtsboven van 
A: 	ja 
A: 	die indiaan 
B: 	nee maar dat zijn bij mij de fabriek maar die die zijn toch al niet hetzelfde 
A: 	o maakt niet uit dan 
A: 	ja 
A: 	ja à deze net liggen gewoon rechter scherm echt in het midden 
B: 	ja echt in het midden nee kloppen 
B: 	macho 
A: 	ok drie 
B: 	rechts helemaal rechts in het midden 
A: 	ja bij mij ook 
