A: 	ja hebben het een lepeltje 
B: 	nee hebben twee van die stok daarboven 
A: 	of van die oort 
B: 	hebben zo'n zo'n soort vierkant band hebben die om 
A: 	een vierkant band ja met één armp omhoog en zo'n neus naar 
B: 	ja ja 
B: 	ja 
A: 	ja dan zijn het zes 
A: 	staan die rechts hij staan rechts 
B: 	ja hij staan wel aan de rechterkant van het scherm maar dan veel naar het midden toe dan naar rechts toe 
A: 	ja en dan helemaal bovenin 
B: 	ja 
A: 	ja dan zijn het weer zes 
A: 	die hebben een rok dat vierkantje 
B: 	ja 
B: 	even zoeken 
B: 	C 
A: 	en die staan rechts helemaal bovenin er zitten niks veel 
B: 	ja 
B: 	dat zijn bij mij 
A: 	oké 
B: 	ja deze hebben dat rok 
A: 	ja dertien 
B: 	en die staan links bovenin 
A: 	nee 
A: 	het rok weer die 
B: 	J 
A: 	en hij staan precies in het midden onderin en er zitten alleen linksboven zitten nog iets van hem 
B: 	ja en dan zitten er aan de linkerkant nog twee 
A: 	ja maar ja 
B: 	ja 
B: 	dit zijn die met dat rok 
A: 	ja zijn negen 
B: 	en hij staan rechts en daarboven zitten niks zeggen maar tegen het scherm aan 
B: 	daarboven zitten niks veel maar onder wel 
A: 	nee 
A: 	het het het rok weer dat de ballerina 
B: 	N 
A: 	en hij zitten in het midden bovenin 
B: 	ja 
