B: 	ja deze hebben een plaat die op de grond zitten 
A: 	ik weten al welk dat zijn 
B: 	ja 
A: 	dat zijn vijf 
B: 	we hebben het net toch over die onderste die wat we net hebben daar links van en één naar boven 
A: 	hij zitten bij mij links en in de bovenste helft van het scherm dus dat zijn dan niet hetzelfde of wel 
B: 	nee dat denken ik ook niet als je de veel links hebben onderaan daarboven 
B: 	daar zitten die niet dan 
A: 	ja de veel links onderaan en dan daarboven 
B: 	daar één boven zeggen maar direct boven 
A: 	nee er zitten er bij mij hij zitten er zitten nog een laagje tussen bij mij zeggen maar met dinget en dan zitten die er 
B: 	nee dat zijn hem niet 
A: 	oké dan zijn het hem niet 
A: 	deze hebben het plank aan de onderkant 
A: 	en die dinge aan de 
B: 	dat zijn J 
A: 	en hij zijn helemaal rechtsonder 
B: 	nee bij mij zitten die daar één link van 
B: 	die met dat plank onderaan 
A: 	en die 
B: 	ja 
A: 	dat zijn bij mij elf 
B: 	je hebben er link drie op een rij 
B: 	naar beneden en dan de middel daar een beetje rechtsonder van 
A: 	wachten 
A: 	je bedoelen die rij van drie helemaal links 
B: 	ja 
A: 	en dan 
B: 	de middel 
A: 	rechtsonder nee bij mij zitten die dan weer juist zeggen maar die een klein stuk omhoog nog 
B: 	dan zijn het niet dezelfde 
A: 	oké 
A: 	die met die plank aan de onderkant 
B: 	dat zijn bij mij P 
A: 	je hebben aan de bovenkant hebben je er rechts zo drie op een rij 
A: 	dan zijn het de veel links 
B: 	bij mij zijn het de middel 
B: 	die met dat plank onderaan 
A: 	die met het plank onderaan dat zijn negen 
B: 	dat zijn bij mij op de boven op de bovenste zeggen maar dan de veel degeen die het veel in het midden zitten 
A: 	dus wel helemaal bovenaan 
B: 	ja 
A: 	oké 
B: 	en dan ongeveer in het midden bovenaan 
A: 	nee bij mij zitten die zeggen maar links daaronder dus dat zijn niet dezelfde 
B: 	ho 
B: 	nee 
A: 	die met die plank aan de onderkant 
B: 	L 
A: 	je hebben er vanaf Linksboven ongeveer drie op een rij zo 
A: 	en dan zijn het de middel 
A: 	dus hij zitten nog links van het midden 
B: 	nee 
