A: 	nu hebben ik ja nee zo'n 
A: 	hij hebben links hebben hij een de enig die nog over zijn volgens mij hebben die een soort staaf en daaraan vast zitten een heel dun dinge 
A: 	waardoor die best wel breed worden op zich ja een soort 
B: 	soort pion 
B: 	op de kop 
A: 	ja een soort pion ja 
B: 	ja 
A: 	en dan rechts hebben die nog een soort dienblad vast 
B: 	ja 
B: 	L 
A: 	staan die helemaal onderin en er toepassen nog zo'n twee tussen link 
B: 	nee bij mij staan die helemaal links en er toepassen er nog twee onder 
A: 	zijn die twee denken ik omgewisselden 
B: 	dus dat zijn het niet 
B: 	ja 
B: 	dit zijn de figuur waar we net mee eindigen met die raar pion die op dat buisje steunen 
B: 	weten je welk ik bedoelen 
A: 	ja ja ja ik hebben hem 
A: 	nummer zeven 
B: 	en bij mij staan die bijna helemaal bovenin 
B: 	er past eigenlijk nog een soort half figuur 
A: 	nee staan die bij mij niet 
B: 	oké 
B: 	oké 
A: 	dit zijn die pion 
A: 	die uitsteken aan een soort arm 
B: 	ja 
A: 	en rechts nog een dienblad 
B: 	C 
A: 	en staan die in het midden en dan één naar boven ongeveer 
B: 	bij mij staan die eigenlijk een stap rechts van het midden en eronder 
B: 	dus nee 
A: 	nee 
B: 	ik hebben die met die pion die op die uitstekend arm staan met dat dienblad 
A: 	ja 
A: 	één 
B: 	en bij mij staan die een tikkel onder het midden en bijna helemaal links 
B: 	er zullen nog iets heel smal tussen passen 
A: 	bij mij passen er ook nog wel één heel figuur nou ik denken dat het wel hetzelfde zijn 
B: 	ja 
B: 	zullen je dat vogel dat vogel zullen ertussen passen bij mij maar 
A: 	ja ja ja 
B: 	ja 
A: 	ik hebben die met de pion en het dienblad 
B: 	dat zijn A 
A: 	staan die zo goed als in het midden en dan twee naar links 
B: 	ja 
A: 	ja 
B: 	ik hebben die met die raar op de kop staan kegel op die arm 
B: 	met het dienblad 
A: 	nummer dertien 
B: 	en er past er bij mij nog één onder en anderhalf links van 
A: 	nee 
