B: 	ik zien een zoals al plaat een blauw kop 
A: 	ja 
B: 	en daar steken een soort lepeltje bovenuit aan de rechterkant 
A: 	ja 
B: 	aan de linkerkant bovenin zitten een 
A: 	zo'n citroen hebben ik 
B: 	half rond inderdaad 
A: 	ja ja ja oké 
B: 	maar er zitten ook aan de linkerkant nog een uitstekend balk 
A: 	ja 
A: 	ja oké 
A: 	bij mij zijn het dan dertien 
B: 	en het plaat staan in het midden van het scherm en dan net iets daaronder 
A: 	onderin 
A: 	zo dat bedoelen je 
A: 	onderin midden in het scherm 
B: 	ja 
B: 	maar niet helemaal onderin net iets naar boven 
A: 	er zitten er links zitten er nog één onder 
B: 	ja 
A: 	en rechts Erboven zitten er nog één 
B: 	ja bijna ernaast maar net iets hoog zitten die ander 
A: 	oké maar dan dan denken ik dat dat wachten hebben ze allebei een ei 
A: 	soort van 
B: 	welk allebei 
A: 	nou die eronder en die Erboven 
B: 	ja 
A: 	oké ja dan zitten we op dezelfde denken ik wel 
A: 	dus dan moeten ik op geel drukken toch 
B: 	ja 
A: 	dit zijn weer dat kop met ook die citroenschijf maar dan met de lepel erin 
A: 	en zo'n buisje die er link nog uit opsteken 
B: 	en onderin ook nog 
A: 	ja ja ja 
B: 	ja oké dat zijn O 
A: 	hij zitten ja vrijwel in het midden van het scherm als je daar een lijn doorheen haalt zitten die net aan de rechterkant 
B: 	ja en net iets onder het midden van 
A: 	nee daarboven 
A: 	boven de de horizontaal lijn 
B: 	boven 
A: 	ja de echt net 
B: 	nee bij mij 
B: 	ja bij mij zitten die er duidelijk wel onder 
B: 	dit zijn geloven ik ook weer het één plaat waar ik mee beginnen met dat citroen 
A: 	en een lepeltje 
B: 	er 
B: 	ja een lepeltje en links nog een uitsteeksel en onderin ook nog 
A: 	ja ja 
A: 	acht 
B: 	deze staat op de rechterschermhelft 
B: 	en daarvan net iets naar rechts en boven 
A: 	ja 
A: 	wel in het midden een soort van toch 
B: 	ja 
A: 	de lepel met een citroen 
A: 	en nog zo'n klein balk aan de linkerkant eruit 
B: 	ja dat zijn C 
A: 	en die staan bij mij aan de rechterkant van mijn scherm 
A: 	en dan niet helemaal in het midden verticaal zien 
A: 	en horizontaal zien flink erboven wel 
B: 	aan de rechterkant van het scherm 
A: 	ja 
A: 	en als je hem dan doormidden doen weer iets veel naar links 
B: 	en 
B: 	ja 
B: 	oké 
B: 	dus dat zijn hetzelfde ja 
B: 	en dit zijn weer met dat citroen 
B: 	boven het kop 
B: 	half citroen 
A: 	en de lepel 
B: 	en het lepel en aan de linkerkant dat uitsteeksel en aan de onderkant 
A: 	zeven 
B: 	en deze zitten aan de linkerkant van mijn scherm 
B: 	en dan verticaal zien in het midden 
B: 	en horizontaal zien in het midden van de onderkant 
A: 	zitten die wel vrij ver links in de hoek 
A: 	zeggen jij zeggen verticaal zien in het midden maar echt goed in het midden of 
B: 	ja van van je linkerschermhelft zitten die wel echt in het midden 
A: 	ik vinden van niet dan 
A: 	dit zijn met de lepel eruit en de citroenschijf en dan nog links een balk 
B: 	ja dat zijn C 
A: 	en die staan eigenlijk rechtsboven in de hoek maar iets veel naar links 
B: 	en ook iets veel naar onder 
A: 	ja 
A: 	ja er kunnen er geen veel boven zoals jij eerder zeggen maar 
B: 	nee dat zijn wel 
