B: 	oké 
B: 	deze doen me denken aan een zwaaiend robot 
B: 	en hij hebben twee klein dinge op zijn hoofd 
B: 	een lang neus en 
A: 	hebben die zo'n horizontaal veld 
B: 	ja 
B: 	laag bij beetje in het midden 
A: 	ja 
B: 	ja één onder het midden 
A: 	ja ja ja en twee twee klein punt die hetzelfde eruitzien boven op zijn hoofd 
B: 	ja 
B: 	en dan een soort rechterarm 
A: 	ja 
A: 	ja dat zijn nummer zes 
B: 	ja 
B: 	ja 
B: 	en deze staat bij mij helemaal bovenin 
B: 	en één plaat naar rechts van het midden 
A: 	ja hebben ik ook 
A: 	hebben ik ook 
A: 	dit zijn één met weer zo'n horizontaal veld erdoorheen twee dinget bovenop een armp en 
A: 	nog een armp 
B: 	die Hallo zeggen robot 
A: 	ja 
B: 	ja C 
B: 	ja sorry ze hebben bij mij echt allemaal naamp krijgen 
A: 	ja ik ook 
A: 	ik vinden het veel een ballerina zelf maar hij staan boven helemaal bovenin en nog ongeveer twee rechts van het midden 
B: 	ja 
B: 	ja 
B: 	dit zijn weer zo'n twijfel 
B: 	ja die staan op dezelfde plek 
B: 	dit zijn zeggen maar het robo 
B: 	jou ballerina 
A: 	ja ja 
A: 	nummer dertien 
B: 	hij staan bij mij helemaal bovenin en er zullen ook geen figuur links veel naast passen 
A: 	bij mij staan die past er wel één links en staan hij in het midden ongeveer 
A: 	ik hebben die ballerina of robotding 
B: 	ik zijn hem even kwijt 
B: 	ah J 
A: 	J 
A: 	en hij staan in het midden en bijna helemaal onderin 
A: 	misschien iets naar rechts van het midden maar echt 
B: 	ja iets naar rechts zijn ik met je eens 
B: 	eigenlijk een beetje schuin boven die Q van BenQ van de 
A: 	ja 
B: 	ja 
A: 	slim strategie 
B: 	ja 
B: 	ik hebben de robot of de ballerina 
A: 	nummer negen 
B: 	en hij staan bijna helemaal rechts er zitten nog twee centimeter drie twee en een half naast en er toepassen er nog twee boven 
A: 	hij staan bijna helemaal rechts 
B: 	ja er zitten nog 
A: 	en er toepassen nog en hij staan een beetje boven van het midden 
B: 	ja net iets boven het midden 
A: 	hebben ik niet 
A: 	ik hebben de robot ballerina 
B: 	N 
A: 	staan bij mij net iets naar rechts en bijna helemaal bovenin 
B: 	ja 
