A: 	dus je hebben dat bakkie en dan aan de rechterkant steken er twee rechthoek uit 
B: 	ja 
A: 	voor jou dus hier 
A: 	en aan de linkerkant zitten een soort klein dunn dinge 
B: 	oké 
A: 	en aan de onderkant zitten nog een soort zeggen maar dat vierkant buisstaafje naar achter toe 
B: 	ja 
A: 	en bovenop zitten zo'n trapeziumvormpje 
B: 	ja 
B: 	letter I 
A: 	hij staan zeggen maar in de linkerbovenhelft 
A: 	hier zeggen maar maar als je dan dit zijn het midden en dan zo en dan deze helft 
A: 	dan staan die ongeveer hier 
B: 	bij mij staan die heel erg dicht tegen het midden aan zeggen maar ja redelijk dicht tegen het midden aan en dan helemaal 
B: 	staan staan geen niks veel boven bij mij 
A: 	hebben ik ook niet maar hij zitten wel nog een stuk van de rand af 
B: 	van het midden 
A: 	nou nee van de bovenrand 
B: 	ja bij mij ook 
A: 	en 
B: 	dan denken ik hetzelfde 
A: 	oké 
B: 	ik vinden het op een deur lijken je hebben links een klink 
B: 	die je kunnen doen en dan rechts hebben je de cilinder die zorgen dat de deur kunnen draaien 
B: 	en daarbovenop staan een trapezium 
B: 	het zijn het beker 
A: 	ja ik ik zoeken hem heel even 
A: 	ja ik denken ja 
B: 	en die hebben een trapezium 
A: 	ja 
B: 	en 
A: 	zo'n soort soort koelkastdeur ja ja 
A: 	er zitten nog een klein stulp linksonder ook 
B: 	je 
B: 	ik denken aan van een onderzeeër maar 
A: 	ja ja dat hebben ik ook 
B: 	ja 
A: 	oké 
A: 	nummer twee 
B: 	hij staan flink links van het midden maar niet helemaal tegen de rand aan 
B: 	ik denken precies eigenlijk in het midden van linksonder 
A: 	ja dat denken ik ook 
B: 	ja 
A: 	staan ver niks veel tussen maar wel van de rand af 
B: 	ja er staan niks onder niks link van 
A: 	ja 
A: 	dit zijn wat jij vinden lijken op dat onderzeeërdeur 
A: 	met de klinkje en die twee dinge aan de zijkant 
B: 	ja 
B: 	sorry letter M 
B: 	ja 
B: 	nee 
A: 	oké 
A: 	geen idee 
A: 	even hij staan voor mij linksonder 
A: 	niet heel erg strak bij de rand maar er staan ver ook niks veel omheen zeggen maar 
A: 	en hij staan iets ver van de zijrand af dan van de onderrand 
B: 	oké zelfde 
B: 	het zijn wat ik die onderzeedeur vinden met trapezium op hem 
A: 	ja 
A: 	nummer negen 
B: 	hij zitten bij mij net een beetje rechts van de vijfentwintig procent 
B: 	en helemaal of ja bijna helemaal boven er staan niks veel boven hem 
B: 	zitten nog wel een redelijk ruimte tussen de rand van het scherm en hem in zoiets 
A: 	ja 
A: 	dan denken ik dat we hetzelfde hebben 
A: 	je onderzeeërdeur 
B: 	yes 
B: 	ja 
B: 	F 
A: 	en even kijken als je rechtsonder hebben gewoon dat vierkant ongeveer helemaal links daarvan wel eigenlijk 
A: 	en dan een beetje aan de onderkant 
B: 	ja 
B: 	dus best wel dicht tegen de middellijn aan 
B: 	bij mij staan er nog één figuurt wel dichter tegen de middellijn aan 
A: 	ja 
A: 	zeggen maar laten we zeggen vijfenvijftig tot zestig procent die lijn 
B: 	ja 
A: 	maar wel onderaan maar zitten zo'n stuk van de rand af 
B: 	ja 
B: 	mee eens 
B: 	mee eens 
A: 	oké 
B: 	hoe hoeveel stuk van de rand af 
A: 	zoiets 
B: 	ja mee eens 
B: 	de deur van de onderzeeër 
A: 	nummer zes 
B: 	hij staan in het midden van hoog en laag 
B: 	en een beetje link van het midden 
B: 	echt tegen de rand aan wel 
A: 	de rand 
B: 	dus de rand van het midden 
A: 	oké 
B: 	sorry 
A: 	ja dus gewoon het midden van het scherm en dan wel naar links 
B: 	ja een klein beetje naar links 
A: 	oké 
A: 	dan denken ik wel dat het zelfde zijn 
