A: 	oké 
A: 	ik hebben nu een figuur met een soort van klein pluimp bovenop een beetje veel aan de linkerkant 
A: 	en aan de voorkant zitten een bol met een staaf erdoorheen en aan de rechterkant van die staaf zitten weer zo'n plat schijf ertegenaan drukken 
B: 	ja 
B: 	F zijn dat bij mij 
A: 	oké 
B: 	bij mij staan die aan de rechterkant 
A: 	ja 
A: 	bij mij ook 
A: 	en eigenlijk precies in het midden van boven en beneden 
B: 	ja 
B: 	en dan zullen er nog één plaat aan de rechterkant naast passen 
A: 	ja misschien wel twee 
B: 	bij mij geen twee denken ik 
B: 	of dan moeten ze dan staan ze heel dicht tegen elkaar 
A: 	ja dan staan ze wel dicht tegen elkaar maar het zullen wel passen denken ik 
B: 	ik ik denken van niet 
A: 	bij mij staan die zeggen maar ongeveer op een kwart 
A: 	van het scherm als je zo kijken zeggen maar 
B: 	bij mij wel iets ver naar rechts 
A: 	oké 
B: 	dus 
A: 	ja dan denken ik niet dezelfde plek 
B: 	oké dan doen ik rood 
A: 	ja 
B: 	deze hebben een soort staart aan de bovenkant en aan de voorkant een bolle met de rechthoek erdoorheen en een schijf aan de rechterkant eraan 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	en die staan ongeveer best wel dicht bij het midden van links naar rechts 
A: 	en bovenaan past er net niet denken ik net wel net niet nog één boven 
B: 	de mijn staan iets veel naar onder 
B: 	en ook veel naar link denken ik 
B: 	hij staat ongeveer in het midden van de linkerkant 
A: 	ja 
A: 	nee deze staan wel wat veel denken ik naar rechts dus dan doen ik rood 
A: 	deze hebben dat soort van pluimpje een beetje link bovenaan en dan vooraan die bol plakken met die staaf erdoorheen en daar nog weer zo'n 
A: 	schijf op plakken aan de rechterkant 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	en hij staan van boven naar beneden in het midden 
B: 	en van links naar rechts ongeveer op driekwart 
A: 	nee bij mij staan die als veel in de rechterhoek zeggen maar 
B: 	oké 
B: 	dan zijn het denken ik niet hetzelfde 
A: 	nee 
B: 	deze zijn met het pluimp en de bol met de rechthoek erdoorheen en de schijf eraan 
A: 	even zoeken hoor 
A: 	ja 
A: 	ja dat zijn nummer vijf 
A: 	en die staan bij mij van boven naar beneden best wel in het midden en dan best wel erg aan de rechterkant 
A: 	er zijn maar één figuur die nog veel naar rechts staan 
B: 	nee bij mij zijn er nog vier figuur die nog veel naar rechts staan 
A: 	oké 
A: 	dan doen ik rood 
A: 	ik hebben nu die een met dat klein pluimp bovenaan en aan de voorkant die bol met de staaf erdoorheen en daar die schijf rechts op plakken 
B: 	ja 
B: 	dat zijn bij mij H 
B: 	en die staan van links naar rechts ongeveer in het midden en dan aan de onderkant van het scherm ongeveer op de helft 
A: 	ja 
A: 	denken het wel er staan zeggen maar best wel dichtbij staan rechts twee figuurt 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	dat zijn wel hetzelfde 
B: 	dit zijn met dat staart en die bol met de rechthoek erdoorheen met de schijf eraan 
A: 	even zoeken 
A: 	ja 
A: 	dat zijn nummer vijftien 
A: 	en die staan bij mij best wel in het midden iets veel naar rechts 
B: 	bij mij staan die wel duidelijk naar rechts 
B: 	op driekwart 
B: 	ongeveer in het midden van het vak rechtsboven 
A: 	nee dan hebben we niet hetzelfde 
