A: 	oké 
A: 	ja dit zijn een dat beker staan op een een rechthoekig statief zeggen maar 
A: 	ik hebben het bij die ander als waterpomp omschrijven ik weten niet of dat ja even je hebben er nog één ander die erop lijken 
A: 	ja je hebben er één een ander die erop lijken maar die staan op een driehoek dat zijn hem niet 
A: 	en je hebben er één met een soort van tuitje dat zijn hem ook niet 
B: 	ja 
B: 	hij hebben zo'n balle op zich of niet 
A: 	hij hebben zo'n balle op en twee handvat aan de 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	oké dan zijn het nummer D 
A: 	en bij mij staan die helemaal op de onderste rij en dan iets link van het midden 
B: 	ja bij mij ook 
B: 	staan er zeggen maar drie en dan staan die in het midden daarvan 
A: 	ja nou ja de middel maar hij staat niet precies in het midden 
B: 	ja 
B: 	nee hij staat niet nee kloppen 
A: 	iets link 
B: 	maar ze staan wel op dezelfde plek denken ik 
A: 	oké 
A: 	volgens mij verspringen ze ook telkens een beetje 
A: 	ja ja 
B: 	dit zijn weer een kop met een balle erop 
B: 	volgens mij ook de enig zo te zien 
B: 	die hebben twee armp en dan één zo'n verticaal balk aan de voorkant 
A: 	ja mijn waterpomp 
A: 	die hebben we al een keer hebben 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vijftien 
B: 	en hij staan helemaal rechts onderaan 
A: 	helemaal ja bij mij staan die niet helemaal rechtsonder 
B: 	nee oké 
A: 	staan die een paar ja niet helemaal rechtsonder dus dan zijn dat niet hetzelfde 
B: 	ja 
A: 	de waterpomp 
B: 	waar zijn die 
A: 	de staaf en het bolle bovenop 
B: 	ja 
B: 	dat zijn L 
A: 	en hij staan één figuurt link vanaf het midden zeggen maar dus als 
A: 	en ja beetje linksboven zeggen maar dat vak zitten die drie waar we het net over hebben 
A: 	dan hebben je dat tui die boven de middel staat en daar staan dat ding bij mij er net iets rechtsboven van 
B: 	ja 
A: 	ja 
B: 	dus eigenlijk boven de rechter een beetje 
A: 	ja zo half boven die rechter ja 
B: 	ja 
B: 	ja 
B: 	oké dit zijn weer die met die het balle erop en dan die verticaal balk ervoor 
B: 	de pomp 
A: 	de waterpomp 
B: 	ja 
A: 	nummer zes 
B: 	en hij staan bij mij eigenlijk onder het wijnglas 
A: 	onder het wijnglas ? echt direct onder het wijnglas 
B: 	dus 
B: 	dus op de middellijn van boven naar onder maar dan wel aan de rechterkant 
A: 	ja hij staan bij mij onder de nee nee hij staat niet op dezelfde plek dus dat zijn rood 
B: 	ah oké 
A: 	de waterpomp 
B: 	waar zijn die 
A: 	bolle bovenop en die staaf 
B: 	ja ik zien hem voor me ja daar zijn die J 
A: 	en hij staan bij mij op de middellijn 
A: 	en dan zijn het de drie van rechts dus die jij net benoemen waar die van jou staan daar staan die dan zeggen maar iets linksonder van 
B: 	ja 
B: 	dat zijn bij mij ook ja 
B: 	de pomp 
B: 	waterpomp 
A: 	ja nummer drie 
B: 	en hij staan rechts in het midden 
A: 	zijn het ook je veel rechts plaat 
B: 	ja 
A: 	dan zijn het dezelfde 
