B: 	ok het zijn er één en aan de bovenkant zitten twee heel klein blok en voor de rest zitten er staan er eigenlijk niks op 
B: 	kunnen er eigenlijk maar één zijn die blok zijn even groot 
A: 	ja en dan zijn zijn er zitten hij door een vierkant heen 
B: 	ja hij hebben zeggen maar soort van vierkant aan 
A: 	ja ok zes 
B: 	dat ja 
B: 	bij mij zitten hij helemaal op de bovenste rij 
A: 	ja 
B: 	en dan iets rechts van het midden 
A: 	ja en dan bij mij het zeggen maar veel veel naar rechts dan naar links ? bij jou ook 
B: 	van het Miden bedoelen je of 
A: 	ja als je het scherm hebben en dan 
A: 	veel de rechterkant van het scherm of ? ja en dan soort van de drie rij van als je vanuit rechts één twee drie doen 
B: 	ja ja 
B: 	ja en dan de boven 
A: 	ja 
B: 	ja 
A: 	deze zijn hebben een vierkant blok door zich heen ? en die twee blok er op zegmaar 
A: 	alleen die twee blok en dan zo'n rond cilinder ook die er uit opsteken en een vierkant haak 
B: 	zegmaar die twin tower erop bij wijze van spreken met zo'n die iet die zegmaar een vierkant ding aanheefn C 
A: 	ja 
A: 	ja ja ja 
A: 	bij zijn het in die rij van vijf helemaal bovenin 
B: 	ja 
B: 	hij hebben zegmaar weer twee blok bovenop en hij hebben zo'n vierkantje aan bij wijze van spreken 
A: 	ja dertien 
A: 	en dan links in het midden in de één rij 
B: 	bij mij helemaal bovenaan in de één rij 
A: 	nee 
A: 	de kom met het tutuu en die twin towers er op 
B: 	even kijken J 
B: 	vier rij en dan de rechts 
A: 	ja 
B: 	met die tutu en die Twin towers 
A: 	negen 
A: 	de laat rij en dan onder 
B: 	laat rij boven 
A: 	die met dat vierkantje er doorheen zegmaar en dan die twee torent er op 
B: 	die tutu 
A: 	ja 
B: 	N 
A: 	één twee drie vier rij de één 
B: 	ja 
