A: 	deze zullen ik de ander stekker noemen 
A: 	maar dan aan de rechterkant steken er twee wat bredere pinn uit 
A: 	hij hebben een soort drinktui aan de bovenkant 
B: 	ja 
A: 	en links nog twee verschillend soort uitsteeksel 
A: 	één midden één wat veel onderaan 
B: 	ja 
B: 	als je hem een kwartslag zullen draaien zullen ik er een varken in zien 
B: 	met veel fantasie 
A: 	nice ja nee net 
B: 	ja dat zijn hem 
B: 	dat zijn letter I 
A: 	net 
B: 	nou waar staan die bij jou ? bij mij 
A: 	hij staan iets link boven het vorig plaat 
A: 	dus het kwadrant Linksboven 
B: 	ja inderdaad iets daarboven 
A: 	en er zullen nog wel iets boven passen er zullen nog wel iets richting het midden passen maar 
A: 	ja gewoon links boven de broodrooster 
B: 	ja we als je het in de helft zullen verdelen zullen er bij mij net net niet iets tussen dat plaat en de middellijn passen 
A: 	ja ja mee eens 
B: 	ja dan zullen die hetzelde 
A: 	ja 
B: 	ja ik noemen het het varken als je hem iets draaien 
A: 	ja 
A: 	oké ja hebbes nummer twee 
B: 	ja 
B: 	hij staan het kwadrant linksonder 
B: 	ja net iets link van het midden 
B: 	qua hoe noemen je dat ? horizontaal 
A: 	ja 
B: 	en als je hem verticaal bekijken iets boven het midden 
B: 	er zullen nog een plaat links passen er zullen nog een plaat onder passen 
A: 	ja 
A: 	dat zijn hetzelfde 
A: 	durf ik te gokken 
B: 	ik denken het ook 
A: 	het varken 
B: 	het varken waar staan die ook alweer 
B: 	ja 
B: 	letter M 
A: 	en die staan bij mij behoorlijk linksonder 
A: 	past niks veel onder 
A: 	er zullen heel krap nog iets een klein varken naast kunnen 
B: 	heel krap 
A: 	heel krap 
B: 	als je 
A: 	staan niks naast 
B: 	nee er staan niks naast bij mij 
B: 	nou 
B: 	als je het kwadrant in kwadrant zullen verdelen 
A: 	ja 
B: 	zullen die dan nog zeggen maar net in het linksonderkwadrant staan 
A: 	nog net 
A: 	ja 
A: 	ja 
B: 	ja ik kunnen niet geloven dat ze hem net een paar centimeter zullen verplaatsen toch 
A: 	nee dat dat lijken me ook niet 
B: 	er staan niks naast en ja ik denken dat ook niet al plaat ernaast zullen passen 
B: 	sommig wel maar dan worden het wel echt tegen het rand aan duwen ja 
A: 	heel heel krap ja 
A: 	ja dat denken 
A: 	ja 
B: 	het varken 
A: 	varken waar zijn je ? waar zijn je ? waar zijn je 
A: 	hebbes 
A: 	nummer negen 
B: 	hij staan Linksbovenkwadrant 
B: 	als je het met een verticaal middellijn bekijken zullen er nog wel een plaat passen tussen het varken en de middellijn klein plaat 
A: 	ja 
B: 	en hij staan als je het verticaal bekijken in dat kwadrant staan die denken ik net iets boven het midden 
B: 	als je op deze lijn kijken 
B: 	misschien in het midden zelfs 
A: 	ik zullen hem ik vinden hem vrij hoog staan 
A: 	naast het biscuit met robotarom 
B: 	ja die staan er wel precies naast 
A: 	dat wel 
B: 	ja 
A: 	past een heel klein varken nog boven misschien 
B: 	ja echt minimaal 
A: 	heel krap 
B: 	heel krap hij staan wel wat boven het midden inderdaad 
A: 	oké ja dan dan durflen ik hem wel te 
A: 	varken 
B: 	het varken 
B: 	letter F 
A: 	kwadrant rechtsonder 
A: 	en hij staan ik hebben er drie op een rij 
A: 	die iets verschil in hoogte en daar zijn het de middel van 
B: 	ja ik ook 
B: 	ja 
A: 	staan ook heel dicht op het plaat link van hem bij mij maar 
B: 	ja bij mij ook 
B: 	ik denken wel dat het hetzelfde zijn 
A: 	oké 
B: 	zullen niks onder passen 
A: 	nee 
A: 	staan ook de de spijker met zuignap ernaast 
A: 	en daar die raken elkaar bijna 
B: 	ja 
A: 	ja 
B: 	dat 
B: 	doen we dezelfde 
B: 	het varken 
A: 	varken waar zijn je 
A: 	hebbes 
A: 	nummer zes 
B: 	hij staan als je het midden van het scherm bekijken iets link daarvan en iets onder dus in het linksonderkwadrant 
B: 	er zullen niks veel tussen de middellijan beide en dat plaat passen 
A: 	en de poot passen 
A: 	en de middellijn ja ik zullen zeggen die snijden door zijn neus heen 
B: 	ja die snijden denken ik door zijn neus heen ja 
B: 	dat kunnen je wel zeggen 
A: 	klinken wel hetzelfde 
