A: 	dit zijn een koffiemok waar een balle in drijven 
A: 	link bovenin 
B: 	zijn dat het enig wat eraan gebeuren 
A: 	nee er gebeuren wel veel maar dat zijn eigenlijk de enig vorm waarbij dat specifiek zijn 
B: 	dus een soort eibolle 
B: 	ja 
A: 	er zitten ook nog twee hengsel één link één rechts en een 
B: 	ja 
B: 	dan weten ik welk je bedoelen en dan dat balk rechtop 
A: 	rechthoek voor 
A: 	ja 
B: 	ja dat zijn bij mij nummer D 
A: 	en waar die staan 
B: 	als je het scherm tenminste ik moeten hem nu beschrijven toch of jij 
A: 	volgens mij moeten ik hem nog beschrijven en moeten jij zeggen of die dan kloppen 
B: 	ja 
B: 	ja precies 
A: 	dit zitten als je het scherm zeggen maar in vier stuk verdeelen 
A: 	zitten die link onderin en dan eigenlijk tegen dit onderste deel aan 
B: 	ja dus in principe de bij de middenkant 
B: 	bij mij zijn dat nummer D 
A: 	ja 
B: 	en aan de onderkant van het midden 
A: 	ja 
B: 	yes 
B: 	ik hebben een balk rechthoekig balk die voor de de basisvorm staan 
B: 	waarbij er aan de rechterkant een klein cilinder uit opsteken 
B: 	en aan de linkerkant een cilinder met een hoek erin en bovenop een bolle 
A: 	ja 
A: 	nummer vijftien 
B: 	bij mij staan die geheel rechtsonder aan de rand van het scherm 
B: 	kunnen geen object veel rechts naast 
A: 	nee 
A: 	dat zijn anders 
A: 	dit zijn de de koffiebeker of nou ja met het balle wat link bovenin drijven 
A: 	en aan de voorkant hebben je een rechthoekig pilaar en aan de zijkant twee ronde 
B: 	ik weten het 
B: 	ja 
B: 	dat zijn L bij mij 
A: 	oké 
A: 	en die staan in het vlak boven en dan eigenlijk in het midden tegen de verticaal lijn aan 
B: 	ja dus hij staan er net niet tegenaan maar hij zijn wel 
A: 	nee kloppen 
B: 	ja ja dat zijn hetzelfde ja 
A: 	wel dichtbij 
B: 	ik hebben degeen met een bolle bovenop 
B: 	een balk voor en dan 
A: 	ja 
A: 	nummer zes 
B: 	yes 
B: 	en bij mij staan die dan echt op de in het midden van de horizontaal lijn denken aan de rechterkant 
B: 	er zullen eventueel nog ook rechts iets naast kunnen en links staan ook iets 
A: 	link 
A: 	link ook 
B: 	ja 
A: 	ja 
A: 	ja dat zijn hetzelfde 
A: 	dit zijn de koffiemok waar Linksboven een balle in drijven 
A: 	en ervoor een rechthoekig blok naar beneden lopen en aan de linker en rechterkant armp 
B: 	ja 
B: 	J zijn dat 
B: 	bij mij 
A: 	en hij staan in het blok boven in het midden van de horizontaal lijn 
B: 	ja dus hij lopen zeggen maar door die lijn heen van 
A: 	ongeveer 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn wel hetzelfde denken 
B: 	ik hebben degeen met een balk voor een bolle boven veel aan de linkerkant en dan een lang uitsteeksel 
A: 	ja 
A: 	nummer drie 
B: 	yes en bij mij zitten die dan rechterkant van het scherm tegen de rand aan van het scherm 
A: 	ja 
B: 	wel iets van het midden dus zeggen maar de op de horizontaal lijn zullen die dan ertegenaan zitten 
A: 	ja ja 
A: 	dat zijn wel gelijk 
