B: 	mijn hebben een plaat ertegenaan en een soort ja champignon of zo erop 
A: 	ja ja een soort spijkerding of zo 
B: 	ja 
A: 	ja 
A: 	dat zijn bij mij twee 
B: 	en hij bekendstaan eigenlijk zo ver mogelijk links onderaan 
A: 	ja dat zijn dezelfde plek 
A: 	zitten die veel link of zitten die veel onderaan 
B: 	veel onderaan 
B: 	hij zitten zeggen maar zo ver mogelijk links onderaan zeggen maar 
B: 	als je bij de onderste rij kijken de veel links 
A: 	oké hij zitten bij mij niet op de onderste rij 
B: 	hij zitten daar één boven zeggen maar 
A: 	één er schuin erboven zeggen maar 
A: 	de veel links zijn het bij mij 
B: 	nee dat zijn hem dan niet 
A: 	oké 
A: 	weten we dat ook weer 
A: 	deze hebben een soort paddenstoeltje bovenop 
A: 	en die plaat zeggen maar aan de een vierkant aan de voorkant een plat 
B: 	ja 
B: 	dat zijn bij mij G 
A: 	en je hebben er vier die ongeveer in het midden zitten 
A: 	en daar zijn die linksonder van 
B: 	nee bij mij zitten die rechtsboven 
A: 	oké 
B: 	dus niet dezelfde 
B: 	deze zijn weer met dat plaat ertegenaan en die paddenstoel erop 
A: 	ja dat zijn bij mij negen 
B: 	je hebben onderaan één en die zijn iets link van het midden 
B: 	die daarboven 
A: 	ja als je op de onderste regel hebben je zeggen maar drie naast elkaar 
B: 	dan daar de veel rechts van 
A: 	van ja daarboven 
B: 	ja 
A: 	oké dan zijn het dezelfde plek 
A: 	deze hebben het paddenstoel bovenop en dan die plaat aan de voorkant 
A: 	dat vierkant 
B: 	dat zijn bij mij d 
A: 	je hebben er linksboven twee naast elkaar staan 
B: 	ja 
A: 	en dan een stuk niks en dan drie naast elkaar 
B: 	ja 
A: 	hij zitten onder dat stuk niks 
B: 	ja 
B: 	met die paddenstoel 
A: 	met de paddenstoel waar zitten die 
A: 	dat zijn nummer één 
B: 	je hebben beneden daar die drie op een rij 
A: 	ja 
B: 	ongeveer in het midden van de veel links twee en daarboven zeggen maar 
B: 	heel vag beschrijving 
A: 	je hebben dan zeggen maar best wel een stuk niks 
B: 	ja 
A: 	en daar zitten die dan 
B: 	ja 
A: 	wachten de veel links twee zeggen je 
B: 	ja je hebben zeggen maar drie op een rij dan hebben je er link twee daar ongeveer in het midden van en dan een stuk daarboven 
A: 	ja 
A: 	nee bij mij zitten die bij de rechts twee stuk omhoog 
B: 	nee 
B: 	nee 
A: 	die met de paddenstoel 
B: 	B 
A: 	deze zitten best wel onderaan 
A: 	of zeggen maar ongeveer op de onderste rij en dan iets rechts van het midden 
B: 	ja 
