B: 	oké ik hebben het rood scherm 
B: 	rood dinge 
B: 	ik vinden het een beetje op een steelpan lijken 
B: 	met zo'n plat rond aan de achterkant 
A: 	ja 
A: 	en dan en dan rechts bovenin nog zo'n zo'n punt toch 
B: 	ja soort van lepel 
A: 	ja ja alsof er een lepel in staat oké 
B: 	ja 
A: 	dat zijn nummer dertien 
B: 	oké het staan eigenlijk een beetje midden in het scherm net iets naar beneden 
A: 	ja daar staan die bij mij ook 
A: 	dus dan moeten ik op geel drukken als die 
B: 	ja op geel drukken inderdaad 
A: 	deze zijn die hebben zo'n aan de achterkant dat rond zitten 
A: 	je uitzien eigenlijk alleen maar de helft van dat rond zo'n staart en dan zo'n uitstulpsel die link eruit komen 
B: 	een rond aan de achterkant 
A: 	ja dus eigenlijk eigenlijk aan de achterkant van het kop zien je zien je nog de contour van een half rond 
B: 	daarboven 
A: 	ja 
B: 	en dan zo'n uitstulpsel 
A: 	ja zo'n staart 
B: 	aan de zijkant nog iets 
A: 	ja 
A: 	en aan de onderkant zo'n blok waar die op leunen 
B: 	ja 
B: 	dat zijn O 
A: 	ja 
A: 	gaan ik vanaf nu gewoon alleen dat blok noemen dat zijn veel makkelijk 
B: 	ja dat blok 
A: 	hij straat centrum centrum en dan iets daarboven dus centrum centrum rechts 
B: 	ja bij mij staan hij net iets naar onder dus dan nee 
A: 	rechts 
A: 	oké 
B: 	ik hebben dat met dat blok eronder 
A: 	ja met die steunpilaar 
A: 	nummer acht 
B: 	hij staan bij mij rechterhoek 
A: 	ja niet helemaal strak in de hoek maar wel recht bovenin 
B: 	rechterbovenhoek 
B: 	ja 
A: 	ja 
A: 	die met dat blok eronder 
B: 	ja dat zijn C 
A: 	en dan staan die ongeveer vijfenzeventig rechts 
A: 	en best wel hoog ook 
A: 	of tachtig 
B: 	ja bij mij staan die zestig procent rechts denken ik 
A: 	shit dadelijk doen ik het fout nee ik 
A: 	en dan vrij hoog maar niet helemaal hoog 
B: 	ja 
A: 	dan denken ik wel dat het dezelfde zijn misschien dat ik het 
B: 	met dat blok 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	bij mij staan die in de hoek links onderin 
B: 	echt helemaal in de hoek 
A: 	ja 
B: 	nee bij mij niet 
A: 	dat met dat blok onderin 
A: 	en 
B: 	C 
A: 	dan staan die echt wel helemaal bovenaan ongeveer op vijfenzeventig van rechts 
A: 	dus ja vijfentwintig van de rechter 
B: 	vijfentwintig en dan echt bijna bovenaan 
A: 	ja echt bijna bovenaan 
B: 	nee 
