A: 	ok deze hebben een soort dienblad tenminste daar moeten ik het heel erg aan denken en aan de ander kant van het glas zitten 
A: 	ja best wel nog een breed uitsteeksel en daar bovenop zitten weer iets wat uitlopen 
B: 	ja soort van spijker of zo maar dan 
A: 	ja 
B: 	ok dat zijn L 
A: 	hij zitten aan de linkerkant van het scherm helemaal beneden er kunnen nog wel een plaat link van onder zeker niet 
B: 	ok nee dan zijn het niet dezelfde 
B: 	ja dit zijn zo'n soort van kop met een dienblad en links en met zo'n spijker 
A: 	dat zijn zeven 
B: 	hij zitten wel redelijk tegen de rand aan nou niet helemaal maar er past geen plaat veel boven 
A: 	ok dat zijn niet dezelfde 
B: 	ok 
A: 	dit zijn weer met het dienblad 
A: 	met die spijker zo naar achter zeggen maar 
B: 	ja even kijken waar hij staan 
B: 	dat zijn C 
A: 	hij zitten net iets rechts van het midden en wel zeker boven het midden zeggen maar 
B: 	nee deze zijn onder het midden 
A: 	ok 
B: 	ja dit zijn met dat dienblad en die spijker 
A: 	ja dat zijn één 
B: 	hij zitten denken ik net iets onder het midden en aan de linkerkant en er past nou net geen plaat naast denken ik 
A: 	zijn wel dezelfde*click 
A: 	o dit zijn het dienblad 
B: 	ja met die spijker 
A: 	ja 
B: 	ok dat zijn A 
A: 	hij zitten horizontaal wel redelijk in het midden past nog zeker wel een plaat link van 
B: 	kunnen hij net iets aan de onderkant van het midden zitten 
A: 	ja zullen kunnen 
B: 	ok 
A: 	het zitten ja ja dat kunnen wel 
B: 	okan dan zijn het wel dezelfde plek 
B: 	ja dit zijn met dat dienblad en die schroef spijker 
A: 	ja dat zijn dertien 
B: 	hij zijn onder het midden en ook aan de linkerkant maar links past nog wel een plaat en eronder misschien 
A: 	nee 
