A: 	ja deze kop 
A: 	soort van dienblad wat eruit opsteken aan de rechterkant en dan een beetje onder het midden 
A: 	en dan links een soort ja raar vormp en daar steken een soort spijker uit zeggen maar 
B: 	ja ja 
B: 	dat zijn bij mij nummer L 
A: 	en hij staan bij mij eigenlijk volgens mij op de plek die je nee nou ja goed dat dat helemaal onderaan 
A: 	en dan ongeveer twee rij van links twee en een half zeggen maar 
B: 	nee 
B: 	bij mij staan die helemaal links en niet onderaan dus niet dezelfde 
A: 	oké dan zijn dat niet hetzelfde 
B: 	dit zijn die met dat dienblad van jou 
B: 	dat die aan de rechterkant van het kop en dan die met die spijker in die arm 
B: 	die zo met dat raar vorm van die arm 
A: 	spijker 
B: 	ja vooral dat dienblad rechts zijn kenmerken 
A: 	ja ja ja ja ja nee ik ik zijn ja ja 
A: 	dat zijn nummer zeven 
B: 	en hij staan een beetje links van de middellijn en dan bijna bovenaan 
B: 	maar zijn niet de allerhoog 
A: 	nee 
A: 	dat zijn niet niet hetzelfde 
B: 	oké 
A: 	dat kop met het dienblad 
A: 	en het stuk iets met een spijker erin 
B: 	ja 
B: 	dat zijn C 
A: 	en hij bekendstaan eigenlijk bijna helemaal op de middellijn 
A: 	en dan iets naar boven van het nou ja wel wat naar boven van het midden en een beetje naar rechts 
B: 	ja nee bij mij staan die naar beneden juist van het midden dus niet dezelfde plek 
A: 	oké 
B: 	dit zijn dat ding met dat dienblad aan de rechterkant 
B: 	met die spijker in zijn arm 
B: 	zullen ik maar zeggen 
A: 	ja 
A: 	dat zijn nummer één 
B: 	en hij staan links 
B: 	ongeveer in het midden 
A: 	ja 
B: 	ja niet helemaal links maar wel 
A: 	maar er staan niks veel link bij jou daar ook of wel 
B: 	nee 
B: 	nee 
A: 	dan oeh pardon staan die op dezelfde plek 
A: 	het beker met het dienblad en de spijker 
B: 	ja 
B: 	A 
A: 	en hij staan als je de middellijn hebben gewoon van links naar rechts daar staan die zeggen maar een soort van op en dan halverwege de linkerkant 
B: 	ja dan staan ze op dezelfde plek 
B: 	dienblad met de spijker in de arm 
A: 	dienblad met de 
B: 	de dat armp waar dan die spijker zo in zitten 
A: 	ja 
A: 	nummer dertien 
B: 	hij staan in de rij van vier de twee 
A: 	nee bij mij staan die helemaal helemaal aan de linkerkant en op de middellijn 
B: 	nee 
A: 	dus dat zijn niet hetzelfde 
