A: 	deze vinden ik wel raar er zitten een soort piramide bovenop 
B: 	een soort punt ja ik hebben deze geloven ik punthoofd en er zitten een soort vierkant neus 
A: 	de ander nee dat dat zijn 
A: 	dat zijn wel de enig 
A: 	ja nog zo'n piramide alleen zijn de bovenkant van af snijden die zitten er toch ja ja ja je hebben wel de goed in ieder geval en de aan de linkerkant zitten ook iets wat op kogel lijken 
B: 	zitten er inderdaad een soort kogel waar waar alleen de punt er van in zitten 
A: 	ja ja ja 
A: 	ja 
B: 	okan J 
A: 	en hij zitten bij mij rechts ja in rechts onderste vak en dan beneden in het midden 
B: 	ja rechts onder en dan beneden in het midden ja als enig echt er zitten ver niet echt iets omheen 
A: 	ja ja en dan dat kloppen 
B: 	ok 
B: 	met een soort puntmuts op ? kogel in zijn aan de zijkant 
A: 	o ik zullen even zoeken hoor 
B: 	en vierkant neus 
A: 	o ik zien hem al ja 
A: 	ja ja met de piramide op zijn hoofd 
B: 	ja ja piramide op zijn hoofd 
A: 	ok zes 
B: 	dan even kijken rechts onderin in het midden 
A: 	ja bij mij ook 
B: 	ah 
A: 	o die met die piramide op zijn hoofd weten je wel en met dat geblokken neus met die kogel 
B: 	ja met die vierkant neus en die kogel ja E 
A: 	ja 
A: 	rechts onderste vak en dan beetje Linksboven best wel links boven 
B: 	nee bij mij zitten hij helemaal ja zitten hij rechts onderste vak in het midden echt 
A: 	nee bij mij niet 
B: 	ok 
B: 	kogel met het piramide hoofd piramide op zijn hoofd 
A: 	ja ik zien hem al 
B: 	met vierkant neus 
A: 	ja 
A: 	tien 
B: 	link helemaal onderin 
A: 	nee bij mij zitten hij links onderin in het midden onderin dus 
B: 	ja dat zijn dat die die we als één hebben dus nee dat zijn niet dezelfde plek 
A: 	nee ok 
B: 	jij moeten weer rood 
A: 	die met die piramide op zijn hoofd en die kogel 
A: 	bij mij zitten hij helemaal linksboven 
B: 	o ja bij mij ook vierkant neus G 
A: 	en dan helemaal links bovenin gewoon ja 
B: 	helemaal links bovenin 
B: 	kogel en piramide hoofd 
A: 	ok tien 
B: 	recht rechts onderin boven in het midden 
A: 	ja bij mij ook 
