B: 	ik hebben nou een plaat met zo'n een bol aan de voorkant zeggen maar 
B: 	en dan hebben je een aan de bovenkant een recht staaf en een staaf dat een beetje lijken op een bowlingpin zeggen maar 
B: 	en dan opsteken er aan de linkerkant nog een een driehoek uit 
A: 	driehoekig ja 
B: 	dat 
A: 	dat zijn bij mij nummer veertien 
B: 	en bij mij staan die ja als je weer de middellijn nemen zeggen maar van het scherm dan staan die er weer net rechts van 
B: 	en ja qua hoogte zijn die ook ongeveer net de middellijn en dan net eronder zeggen maar 
A: 	staan even kijken gewoon net een beetje rechts ? net rechts van de middellijn 
B: 	dus er zullen nog wel een 
B: 	ja 
A: 	en bij mij staan er link naast ook nog een plaat net iets schuin eronder 
A: 	of ik weten niet of jij eigenlijk hetzelfde scherm hebben maar dat weten ik niet 
B: 	ja 
A: 	maar dus net rechts van de middellijn en beetje aan de onderkant ook zeggen je 
B: 	nee als je dan in het midden een ander lijn trekken dus gewoon horizontaal dan ook net daaronder zeggen maar 
A: 	ja 
A: 	oké 
A: 	ja bij mij staan die ook zoiets hij staan net rechts van de middellijn en net onder de de ander middellijn zeggen maar 
B: 	ja want er zullen nog wel een plaat onder kunnen zeggen maar 
A: 	de 
A: 	ja 
A: 	oké dan denken ik dan wel dat die op dezelfde plek staan 
B: 	dat denken ik ook dan 
A: 	ik hebben er nu één met zo'n bolle ervoor 
A: 	en even kijken jij noemen het het bowlingpin of zo daar aan de zijkant en één Erboven en zo'n driehoekig ding naar buiten 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij zijn dat N 
A: 	mij staan die helemaal aan de linkerkant er zullen geen plaat veel naast kunnen en net iets boven het midden 
B: 	nou dat zijn bij mij sowieso al niet dus 
A: 	oké 
B: 	nou hebben ik weer die een met dat bolle aan de voorkant zeggen maar en dan hebben je zo'n het één 
B: 	recht staaf zeggen maar en dan zo'n soort van bowlingpin weer aan de bovenkant die erin zitten en dan nog zo'n driehoek wat er uit opsteken 
A: 	ah ja 
A: 	ja 
A: 	dat zijn bij mij nummer negen 
B: 	en bij mij staan die helemaal ja niet helemaal links maar er kunnen nog een plaat tussen zeggen maar 
B: 	en qua hoogte zijn die ongeveer op de middellijn en dan zullen je hem daar erop kunnen leggen zeggen maar 
A: 	nee 
A: 	bij mij 
A: 	ja bij mij liggen die echt boven gewoon helemaal het bovenste plaat dus dat zijn niet dezelfde plek 
B: 	nee 
A: 	ik hebben die een met dat bollet zeggen maar aan de voorkant en bowlingpin zeggen maar en dat driehoek aan de zijkant of hij staan bij mij ongeveer in het midden 
B: 	ja 
B: 	ja bij mij zijn het G 
A: 	ja bij mij staan die net links van het midden en net onder het midden 
B: 	ja bij mij inderdaad ook 
A: 	als je gewoon dat vierkant zullen die net zeggen maar daaronder zitten 
B: 	ja ja daar staan die bij mij ook 
A: 	of ja bij jou aan de ander kant 
B: 	weer met dat rond aan de voorkant en dan zo'n in een rechthoek zo die Erboven uitsteken en ook in zo'n soort van bowlingpin 
A: 	ja 
A: 	nummer vijf zijn dat bij mij 
B: 	en bij mij staan die ongeveer op één drie qua hoogte zeggen maar 
B: 	en dan aan de rechterkant zijn het ongeveer ook twee drie denken ik 
A: 	ja bij mij staan die wel helemaal het veel rechts plaat zijn het bij mij 
B: 	nee dat zijn bij mij sowieso al niet 
A: 	zijn heel erg 
A: 	oké 
A: 	of ja er zullen er staan er één net iets schuin onder die nog veel rechts zijn maar 
B: 	nee dat bij mij zijn die niet helemaal rechts nee 
A: 	nee oké 
A: 	oké 
A: 	dan zijn het niet dezelfde plek 
A: 	kijken ik hebben nu die een met dat bolle ervoor 
A: 	en dat die bowling staaf zeggen maar 
B: 	ja 
B: 	oké 
A: 	en één ervoor en dat driehoekig ding aan de zijkant 
B: 	dat zijn bij mij J 
A: 	bij mij staan die ongeveer op aan de rechterkant of op drie vier van het scherm denken ik 
A: 	en er zullen heel krap een plaat boven kunnen 
B: 	nee bij mij zijn die ongeveer op het midden dus dan staan die niet op dezelfde plek 
A: 	nee oké 
