B: 	ik vinden het zelf iets op water lijken het zijn een komme hij staan op een plaat en er komen bollet uit de zijkant 
A: 	ja 
B: 	twee kant 
A: 	oké dan moeten ik het zeggen welk kunnen welk het zijn toch 
B: 	ja 
B: 	nummer en dan geel drukken 
A: 	dat zijn nummer vijf 
B: 	hij zitten aan de linkerkant van het scherm 
A: 	ja 
B: 	een klein beetje in het midden 
B: 	ja ongeveer in het midden van het linkerscherm 
A: 	in het midden 
B: 	linkerkant van het scherm 
A: 	mijn zitten veel naar links 
A: 	helemaal naar het einde van het linkerscherm 
A: 	ja zo 
B: 	hij zitten bij mij even kijken 
B: 	hij zitten bij mij echt in het midden 
A: 	nee bij mij niet 
B: 	dan druk op rood 
A: 	ik hebben beker aan de voorkant zitten een afgevlakt cirkel 
A: 	en hij zitten onderkant zitten een vierkant 
A: 	een soort van een soort van mok soort soort van hoe noemen je dat ? schotel 
A: 	vierkant schotel 
A: 	waar die op staat 
B: 	er komen punt uit de zijkant 
A: 	ja en daar hebben je er maar één van 
B: 	ja 
B: 	dan zijn het nummer J 
B: 	of letter J het zijn niet nummer J 
A: 	en dan hebben je hij staan helemaal rechterkant helemaal beneden 
A: 	rechts 
B: 	ja 
A: 	en er kunnen er 
B: 	helemaal beneden 
A: 	helemaal beneden in de hoek 
B: 	hij zitten helemaal in de hoek 
A: 	helemaal in de hoek 
B: 	bij mij zijn het niet helemaal in de hoek hij zitten wel helemaal beneden maar dan zitten er nog iets naast in de hoek 
A: 	oké 
B: 	zijn ze niet op dezelfde plek 
B: 	dit zijn het beker waar die stipjes uit komen 
A: 	ja 
B: 	en hij staan op een plaat 
A: 	oké 
A: 	dat zijn elf 
B: 	hij zitten aan de linkerkant van het scherm 
B: 	in het midden van de linkerkant van het scherm 
B: 	en maar dan iets laag dan het midden 
A: 	iets laag dan het midden 
B: 	dus als je precies het midden pakken ongeveer een half naar beneden 
A: 	ja 
A: 	oké ik denken dat mijn wel midden midden staan 
A: 	misschien zelfs een beetje hoog 
B: 	hoog dan het midden 
B: 	nou dan zijn het sowieso niet goed 
A: 	nee want kunnen Jouwne nog zijn naar het scherm toe best wel twee keer ? want mijne kunnen volgens mij nog wel drie keer erin zelfs vier keer misschien 
B: 	nee twee keer max 
A: 	oké nee dan zijn die niet goed 
A: 	dat zijn er zitten een mokje op een vierkant een soort van op het hoe noemen je dat 
B: 	ja 
B: 	en er komen bollet uit 
A: 	ja aan de achterkant 
B: 	dat zijn P 
A: 	drie bollet 
A: 	dus door vier 
A: 	en hij zitten dus rechts 
A: 	rechtsbof in het richting het midden 
B: 	ja 
B: 	ja 
A: 	dus 
B: 	ja dat denken ik ook wel 
B: 	ja in het midden van rechtsboven of veel richting 
A: 	ja in in hij zitten echt in hij zitten veel richting de middellijn 
A: 	aan de rechterkant 
A: 	en dan kunnen die nog één keer naar boven 
B: 	ja 
B: 	in de middellijn aan de rechterkant en hij kunnen nog één keer 
B: 	ja 
A: 	oké jij zijn 
B: 	het kop met die drie bollet aan de zijkant 
A: 	ja 
A: 	dat zijn negen 
B: 	die zitten precies in het midden 
A: 	ja 
B: 	en dan vrij hoog hij past er misschien een half keer boven 
A: 	een half keer 
A: 	zitten er ook iets boven 
B: 	nee 
A: 	nee bij mij zijn dat niet goed 
A: 	die met de de de vierhoekjes die aan de de mokje vastzitten met het tafel eronder het vierhoek eronder 
A: 	en een cirkel ervoor 
A: 	eigenlijk 
A: 	dus een mok 
B: 	ja 
A: 	en de plat cirkel ervoor 
B: 	ja en met die punt 
A: 	precies met die punt nou die liggen op een vierhoek 
B: 	ja 
B: 	ja 
B: 	dat zijn de L 
A: 	want hoe noemen je die ? noemen je dat een tafel of zo of een 
B: 	ja 
B: 	een plateau 
A: 	dat zijn een een kort woord 
B: 	vierkant 
A: 	ja het kunnen 
A: 	even kijken hij zitten link in het midden 
B: 	hij zitten link 
A: 	ja hij zitten links Linksboven 
B: 	bij mij zitten die rechts 
A: 	zitten die bij jou rechts 
B: 	ja aan de rechterkant ja 
A: 	nou dan zijn het meteen klaar 
