A: 	even kijken 
A: 	ja hoe beschrijven ik ja ik beschrijven het als een vijzel maar dat dan hebben je zo'n aan de bovenkant hebben je zo'n ovaal 
B: 	ja 
A: 	staaf zeggen maar aan de zijkant hebben je ook zo'n zelfde ovaal staaf het zijn dezelfde vorm 
B: 	ja 
B: 	en dan hebben je aan de voorkant nog een soort van vierkant verrekijker die je uitklapt die piraat gebruiken 
A: 	ja precies en aan de achterkant nog een gek slange 
B: 	ja 
A: 	ja 
B: 	E 
A: 	bij mij zitten die helemaal rechts 
A: 	en dan ja redelijk in het midden misschien een heel klein stuk naar boven 
B: 	nee zijn niet dezelfde plek 
B: 	oeh niet zo net doen 
B: 	dit zijn diegene met twee dezelfde één bovenin zijn hetzelfde als aan de linksvoor die eruit komen 
B: 	rechtsvoor hebben je die verrekijker en achter hebben je nog zo'n slurf 
A: 	even kijken rechtsvoor de verrekijker hoe hebben we hem net omschrijven 
B: 	weten ik niet veel 
B: 	oké bovenin hebben je dus rechtop ja een soort de uiteinde van een schroevendraaier 
B: 	en dan hetzelfde linksvoor 
B: 	en dan hebben het rechtsvoor zo'n vierkant die uitsteken 
B: 	als een soort verrekijker die piraat ook hebben 
B: 	en dan achter deze hebben jij beschrijven volgens mij 
A: 	hebben ik die niet als Pinokkio of zo noemen of 
B: 	nee nee dat zijn niet deze 
A: 	met aan de rechterkant twee van die blok of wat 
B: 	het hebben in totaal het theekop laten maar zeggen hebben in totaal vier uitsteeksel 
A: 	of 
B: 	boven linksvoor rechtsvoor en linksachter 
A: 	linksonder of 
A: 	met dat aan de bovenkant dat spitsere stuk wat plat lopen 
B: 	nee 
B: 	nee 
B: 	het zijn echt als je een schroevendraaier hebben 
B: 	het uiteinde daarvan waar je je hand het handvat laten maar zeggen zo zo zien het er ongeveer uit 
A: 	ja ja ja 
B: 	en daar hebben je er twee van 
B: 	boven en linksvoor hebben je die 
A: 	boven en linksvoor 
A: 	oké nu voelen ik me echt even heel dom 
A: 	en die hebben ik omschrijven 
B: 	ja weten je nog die vierkant de vierkant 
A: 	die 
B: 	het beginnen met bij een theekopje met een klein vierkant en dan zitten er een iets groot vierkant aan een nog iets groot vierkant aan en nog een groot vierkant aan 
B: 	en dat zitten aan rechtsvoor 
A: 	ja koekoek ik zien hem 
A: 	ja 
B: 	ja 
A: 	ja ik hebben hem 
B: 	oké 
A: 	oké laten we er ook een naam aan geven want ze komen allemaal zes keer voor dus dat zijn misschien ook handig 
B: 	oké 
B: 	ja 
B: 	Piet Piraat 
A: 	ja ik 
A: 	Piet Piraat oké ik noemen hem vijzel dan weten ik vijzel zijn Piet Piraat ja 
B: 	ja 
B: 	vijzel ja oké nee zijn goed vijzel ja kloppen 
A: 	nou oké vijzel zijn Piet Piraat 
A: 	oké dat zijn 
B: 	vijzel ja 
A: 	ja dat zijn elf 
B: 	dan staan die bij mij als je het midden pken van het scherm in de breedte iets naar links 
B: 	en ook in het midden in de hoogte iets omhoog 
A: 	ja maar echt maar een heel klein stuk echt 
B: 	ja 
A: 	ja daar staan die bij mij ook 
B: 	ja 
A: 	vijzel hebben we hem uiteindelijk noemen weten je nog welk 
B: 	ja 
B: 	J 
A: 	oké 
B: 	ja J 
A: 	ja bij mij staan die in het rechtsbovenkwadrant 
B: 	ja 
A: 	echt net een klein stuk boven de middellijn zeggen maar 
A: 	en in het midden van zeggen maar tussen links en rechts van het rechtsbovenkwadrant 
B: 	nee 
A: 	oké 
B: 	dan zijn ik ja 
A: 	ja 
B: 	de vijzel 
A: 	de vijzel waar staan die ? 
B: 	ik hebben hem rechts in het rechtsonderkwadrant staan en dan 
A: 	ah daar 
A: 	dat zijn negen voor mij 
A: 	ja 
A: 	rechtsonderkwadrant 
B: 	ja 
A: 	oké 
B: 	rechtsonder 
A: 	nee bij mij zitten die rechtsboven 
B: 	en dan 
B: 	nee 
A: 	de vijzel 
B: 	ja 
B: 	B 
A: 	bij mij staan die rechtsonder 
B: 	neeen we staan niet op dezelfde plek want bij jou staan de glijbaan daar 
A: 	nou hij staan naast de glijbaan van mij 
A: 	maar hij staan links 
B: 	nee bij hij zijn helemaal rechts helemaal rechts van het scherm het aller helemaal rechts 
A: 	nee 
B: 	nee 
B: 	dus de de vijzel 
A: 	de vijzel 
B: 	ja 
B: 	bij mij staan die helemaal linksboven 
A: 	ja bij mij ook of ja er zijn nog wel ruimte maar daar zitten niks ander veel 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	dan zijn het twee keer geel 
B: 	je hebben niet zeggen wat het zijn 
A: 	shit vier trouwens 
B: 	nou ja 
A: 	ik hopen dat het niet uitmaken 
B: 	ja 
A: 	nou het zijn in ieder geval vier de vijzel en die zitten ook Linksboven 
A: 	die zitten ook goed 
B: 	ja 
