B: 	ik vinden dit best wel op een mens lijken 
B: 	een kop en dan twee ja afkappink aan de zijkant naar buiten die als oor kunnen dienen een staaf rechtsvoor 
B: 	met een dubbel onderop en een ja vierkant langwerpig dinge bovenop 
B: 	kijken maar naar dat vierkant langwerpig dinge bovenop 
A: 	ja ah en dan aan de zijkant die die oor die zitten dan een beetje laag en aan de voorkant zo'n neus met een gek rond en zo'n 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	oké ja 
B: 	die ja 
A: 	oké acht 
B: 	dan staan die bij mij bijna in het midden 
B: 	over de zowel de lengte als in de breedte 
B: 	maar als je de breedte pakken dan iets naar links en als je de lengte pakken iets omhoog 
A: 	ja daar staan die bij mij ook 
A: 	even kijken 
A: 	hoe hebben we die noemen 
A: 	ja jij hebben die uitleggen maar ik weten 
A: 	ja ik hebben het als een soort raket uitleggen maar dat zijn heel dom maar echt je hebben aan de jij hebben het als de mens uitleggen met die oor die heel laag zitten en de neus en 
B: 	een raket 
B: 	ja ja ja ja ja met dat vierkant dinge bovenop 
A: 	Blok bovenop ja 
A: 	dus we noemen het menshanenkam of zo 
B: 	ja 
B: 	een hanenkam 
A: 	dat vierkant ding vinden ik wel een hanenkam 
B: 	hanenkam vinden ik een goed 
A: 	ja prima 
B: 	E 
A: 	en bij mij zitten die eigenlijk in het rechtsonderkwadrant en dan tegen het hoek van 
B: 	nee 
B: 	nee 
A: 	oké 
B: 	hanenkam 
A: 	hanenkam yes 
A: 	één 
B: 	nou mogen jij het doen 
B: 	helemaal bovenaan en dan iets naar links van de middellijn in de breedte 
A: 	ja 
A: 	de hanenkam 
B: 	oeh oeh 
B: 	met de met de neus en de oor 
A: 	ja 
B: 	ja E 
A: 	bij mij zitten die in het linksonderkwadrant 
B: 	ja 
A: 	en dan in het midden van het kwadrant qua breedte 
B: 	ja 
A: 	en qua hoogte net onder de normaal middellijn zeggen maar 
B: 	oké 
B: 	in de 
B: 	de hoogte zijn ik mee eens de breedte zullen je niet zeggen iets naar rechts van de middenkant van het kwadrant 
A: 	nee echt in het midden want ik hebben drie afbeelding bijvoorbeeld op rij staan en die staan echt in het midden daarvan 
B: 	ja hij zitten dus oké 
A: 	ja het nee wel redelijk in het midden 
B: 	oké willen je het nog een keer willen je het nog een keer beschrijven 
A: 	even kijken gewoon linksonderkwadrant 
B: 	ja 
A: 	hoogte net iets onder de middellijn 
B: 	net iets of een een klein stuk 
A: 	klein stuk 
B: 	een klein stuk oké 
A: 	klein stuk onder de middellijn 
B: 	ja 
A: 	daar daar beginnen het plaat dan lopen die wel nog ver door naar onder zeggen maar 
B: 	ja 
B: 	ja ja ja ja 
A: 	en ja qua breedte zitten die ja zitten die redelijk in het midden inderdaad van het kwadrant misschien een 
A: 	oké misschien een klein tikkelt naar rechts zeggen maar hij hij lopen door naar rechts laten ik het zo zeggen 
B: 	oké ja 
B: 	ja dan zijn ik het ermee eens 
A: 	het begin zijn in het midden 
B: 	ja 
A: 	ja oké 
B: 	de hanenkam 
A: 	de hanenkam zestien 
B: 	en dan staan die helemaal onderaan 
B: 	en dan in het midden van het rechterscherm 
A: 	ja misschien een klein tikkelt naar links 
B: 	misschien iets naar links 
A: 	ja 
B: 	ja 
A: 	ja shit 
A: 	de hanenkam 
B: 	ja 
A: 	bij mij helemaal linksonder 
B: 	linksonder O 
B: 	en dan zitten die ook goed 
A: 	ja 
