A: 	oké nu hebben ik het rood vierkant 
B: 	ja 
A: 	ik hebben even kijken bovenaan zijn het vrijwel leeg er staan alleen aan de aan de linkerkant staan een soort van 
A: 	klein cirkelt bovenop een soort van uitstekel uitsteeksel en aan de rechterkant 
A: 	ja beetje lastig uit te uitleggen maar een cirkel met een soort staaf erdoorheen en daar aan het einde ook weer een rond 
B: 	ja het zijn een soort ei waar dan zo'n ding doorheen opsteken 
A: 	ja 
A: 	kloppen 
B: 	ja 
B: 	oké dat zijn F 
A: 	oké 
A: 	als je het beeld een beetje in even kijken door het midden indeellen laten maar zeggen 
A: 	en dan aan de rechterkant als je die dan nog een keer doormidden delen 
B: 	ja 
A: 	dan staan die er precies in die lijn laten maar zeggen 
A: 	en dan helemaal in het midden 
A: 	dus als je het beeld hebben daar de helft van en daar precies in het midden staan die en dan de helft horizontaal 
B: 	ja hij staan bij mij ook precies in het midden als je zo kijken zeggen maar 
A: 	ja 
B: 	en dan ja ik weten niet of ik hem precies in het midden van het recht van de rechterhelft zullen plaatsen misschien veel iets naar rechts 
B: 	ik weten niet ik hebben ongeveer dezelfde ruimte rechts van het scherm nog over als dat die groot zijn 
B: 	als je snpen wat ik bedoelen 
A: 	even kijken 
A: 	dat hebben ik niet 
A: 	bij mij kunnen er kunnen er twee langs 
B: 	oké 
B: 	oké nee dan staan die denken ik niet op dezelfde plek 
A: 	nee denken het ook niet 
B: 	oké 
B: 	dit zijn die een met het ei met de stok erdoorheen 
A: 	ja zijn bij mij nummer vijf 
B: 	en hij staan aan de linkerkant 
B: 	in het midden van de linkerkant zeggen maar 
B: 	en net wat boven de middellijn 
A: 	staan die bij mij niet 
B: 	oké 
A: 	ik hebben die met dat ei en met de staaf erdoorheen 
B: 	waar zijn die 
B: 	daar 
B: 	dat zijn A 
A: 	bij mij staan die in het midden van de rechterkant van het scherm 
A: 	en er past er nog ruim één onder en er past er ook ruim één naast 
B: 	nee bij mij staan die echt in het midden midden 
A: 	oké 
B: 	dit zijn die met het ei met een stok erdoorheen 
A: 	nummer vijf 
B: 	en hij staan net boven de middellijn en ja iets rechts van de middellijn 
B: 	ja misschien 
A: 	staan die een beetje in het midden van de rechterkant of staan die echt net rechts van de van de echt middellijn 
B: 	nou er passen wel iets tussen de middellijn maar niet hij staan veel link van de rechterhelft dan dat die rechts 
A: 	nee staan die bij mij niet op de goed plek 
B: 	oké 
A: 	ik hebben die een met dat ei en met de staaf erdoorheen 
B: 	oké dat zijn H 
A: 	bij mij staan die net iets rechts van de middellijn 
A: 	redelijk onderaan er zullen er als je geen ruimte overhouden zullen er nog één onder passen 
B: 	ja 
B: 	ik hebben die een met het ei met het balk erdoor doorheen 
A: 	nummer vijftien 
B: 	hij staan aan in het midden van het rechtervlak 
B: 	dus rechts en dan in het midden 
A: 	ja bij mij staan die wel aan het rechtervlak staan die wel echt aan de rechterkant daarvan 
B: 	en dan 
B: 	nee er toepassen er echt makkelijk twee naast 
A: 	aan van de middellijn of van de rechterkant kijken 
B: 	van de rechterkant 
A: 	ja passen bij mij ook wel twee naast 
A: 	even kijken 
A: 	hoeveel passen er aan de bovenkant 
B: 	één 
A: 	nee dan denken ik niet dat die op dezelfde plek staan 
