B: 	oké 
A: 	jij hebben nu het vierkant ja 
B: 	hij hebben weer hij hebben een echt zeggen maar echt zo'n bol neus 
B: 	of ja het zitten veel aan de zijkant 
B: 	en bovenop zijn een een een rechthoek 
B: 	en één iets ander dat lijken een beetje op zo'n bowling kegel 
A: 	ja ja ja ja ja 
A: 	en dan aan de zijkant zo'n driehoek 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	veertien 
A: 	van mij zijn ja weten je nog waar waar we die één hebben 
A: 	ook in het midden zeggen maar die 
B: 	ja die die zitten recht boven het logo en deze zitten een klein beetje naar rechts daarvan 
A: 	ja 
A: 	ja 
B: 	ja dan hebben we nu hetzelfde 
A: 	oké 
A: 	ze hebben trouwens heel formaat veranderen 
A: 	ze hebben die formaat veranderen 
B: 	Hoezo 
A: 	van de 
A: 	want er zijn een paar foto die we al hetzelfde hebben zeggen 
B: 	ja 
A: 	dat zijn best makkelijk nu 
A: 	ja dat zijn met met dat balk en dan zo'n ik weten niet veel wat je net zeggen zo'n zo'n misvormd waterdruppel 
B: 	kegel 
B: 	ja en dan en dan zo'n bol weer 
A: 	ja 
A: 	zo'n bol ja 
B: 	ja 
B: 	N 
A: 	ja van mij zijn het gewoon naast dat naast dat rood koptelefoonding 
B: 	nee bij mij niet zitten er één nog naast 
A: 	nee ? oké 
B: 	weer die bol zeggen maar 
B: 	en dan bovenop een blok en een kegel 
A: 	ja 
A: 	en die die driehoek 
B: 	ja 
A: 	oké 
A: 	negen 
B: 	bij mij staan die bij dat microfoondingetje en dan een stuk door 
A: 	maar op de op dezelfde lijn 
B: 	ja op op dezelfde lijn 
A: 	oké nee 
A: 	ja dat dat dat neus dat bal zeggen maar en dan één balk en één kromen waterdruppel 
B: 	ja 
B: 	G 
B: 	bij mij staan die boven even kijken boven niet ja hij staan een beetje schuin boven het logo 
A: 	want je hebben ja ja 
A: 	want je hebben dan rechts één als eerst 
B: 	ja 
A: 	en dan links daarboven 
B: 	ja daar staan die 
A: 	oké ja ik ook 
B: 	weer die rond neus en dan met die met zo een waterdruppel en die balk 
A: 	ja 
B: 	bovenop 
A: 	vijf 
A: 	van mij zijn rechts zeggen maar het het veel rechtsboven 
A: 	tot in hoeverre het echt boven zijn 
A: 	dus dan hebben je dat dat rood ding dan trek je het door 
B: 	even 
B: 	ja 
A: 	en dan ja in feit boven 
B: 	hebben hebben jij zeggen maar ja wachten zo'n nee ook veel zo'n driehoek maar dan twee aan de bovenkant en één in het midden 
A: 	ja eigenlijk wel 
B: 	en dan zijn het bij mij de linker en bij jou zeker de rechter 
A: 	ja 
A: 	nee van mij zijn het de rechter ja 
B: 	ja 
A: 	ja neus en dan balk en misvormd waterdruppel 
A: 	en dan zo'n driehoek 
B: 	ja eventjes zoeken 
B: 	ik weten precies hoe die eruitziet maar ik kunnen hem hier staan die 
A: 	van mij zijn rechts 
B: 	J 
B: 	hij zijn nu hebben we weer ander 
A: 	je kunnen zeggen maar ook als je rechtsboven kunnen we ook zo'n driehoek maken 
B: 	ja kloppen 
B: 	maar bij mij staan die niet in die driehoek maar daar linksonder van 
A: 	nee dan niet 
B: 	zitten die bij jou wel in die driehoek 
A: 	ja 
B: 	oké 
