A: 	yes 
A: 	nou deze hebben een heel apart vorm aan de bovenkant zitten 
A: 	het zijn een soort van ja wachten aan de onderkant zitten in ieder geval een een soort een buigen 
A: 	een buigen vorm 
B: 	zijn het 
A: 	die zeggen maar naar naar ons toe buigen 
A: 	aan de linkerkant of er zitten aan de voorkant zitten een soort van ja een cilinder die uitsteken of een soort van neus of zo 
A: 	en aan de linkerkant ook een buigen arm 
A: 	en ja ik zullen het bijna omschrijven als een strik of zo wat achterop boven op het hoofd zitten 
A: 	of nou ja 
B: 	ja 
B: 	ja dat zijn die met de ruit 
A: 	ja ja het zijn inderdaad een ruit twee ruit eigenlijk die tegen mekaar aan zitten zo 
B: 	met met de ruitvorm 
B: 	zijn het M 
A: 	ja of ja 
B: 	ja het zijn M 
A: 	ja en qua locatie zitten die aan de linkerkant 
B: 	bij mij ook 
A: 	ongeveer in het midden 
A: 	en dan qua hoogte iets onder het midden 
B: 	iets onder het midden bij mij dan net niet 
B: 	dit zijn weer die een met de met die rui die strik aan de achterkant 
B: 	en dan met die twee armp 
B: 	die 
B: 	en die L en dat Lvormig uitsteeksel aan de onderkant 
A: 	even kijken twee twee armp zeggen je of 
B: 	hij doen een beetje dit 
B: 	zo interpreteren ik het een beetje 
B: 	maar de de strik om het zo te zeggen 
A: 	ja oké dit zijn de de strik ja dat zijn wel dus dat zijn negen voor mij 
B: 	de ruit 
B: 	oké 
B: 	en hij staan bij mij helemaal onderin in de laag rij 
B: 	beetje dicht bij het midden 
B: 	maar wel in de linkerhoek nog 
A: 	ja 
A: 	linkerkant ja 
B: 	ja 
A: 	oké dit zijn die een met de strik weer 
A: 	en de ja 
B: 	ja 
B: 	zijn H 
A: 	ja en hij staan ja ongeveer in het midden van de linkerkant van het scherm 
A: 	en ja inderdaad ongeveer in ieder geval aan de bovenkant 
A: 	ja ongeveer in het midden van de bovenkant 
B: 	staan die van Linksboven ook ergens in het midden als je dan de linksbovenhoek hebben 
A: 	sorry ik snapen niet wat je bedoelen 
B: 	als je dan linksboven hebben 
B: 	staan die daarvan in het midden 
A: 	als je zeggen maar het het stuk van het scherm linksboven hebben 
B: 	ja ja ja ja 
A: 	ja daar staan die ongeveer in het midden inderdaad ja 
B: 	ja bij mij ook 
A: 	yes 
A: 	ja ja 
B: 	het zijn de strik 
A: 	oké 
A: 	dat zijn elf 
B: 	en hij staan bij mij ja Linksboven 
B: 	in het wel in het midden van links dat wel 
A: 	ja oké 
A: 	ja dus van de linkerkant van het van de linkerbovenkant van het scherm ongeveer in het midden zeggen maar 
B: 	ja 
B: 	ja 
A: 	de dit zijn de strik weer 
B: 	de strik 
A: 	yes 
B: 	en die staan D 
A: 	yes 
A: 	en inderdaad ongeveer aan de in het midden van de linkerkant 
B: 	ja bij mij zitten die zitten die helemaal de linksonder dus dat worden hem niet 
A: 	oké 
B: 	het zijn een strik 
A: 	oké veertien 
B: 	hij staan in het midden en dan uiterst link 
A: 	oké 
A: 	nee bij mij staan die in het midden van de linkerkant van het scherm 
B: 	oké 
A: 	dus dat kloppen niet oké 
