B: 	het kop hebben onder een blauw vlak als enig met een blauw vlak eronder 
A: 	ja ja ja maar dan met zo'n van die van die Pippi Langkousdingen 
B: 	en van 
B: 	ja van die dinget 
B: 	ja 
A: 	ja oké 
A: 	dat zijn bij mij nummer vijf 
B: 	oké het staan in het midden van het midden aan de linkerkant 
A: 	oké in het midden van het midden aan de 
B: 	dus als je ja 
A: 	nou dan maar nee die zo staan die bij mij niet 
B: 	oké 
A: 	die met die twee paardenstaart en dat rond aan de voorkant 
B: 	ja dat zijn J 
A: 	en hij staan bij helemaal rechts onderin 
B: 	echt helemaal in de hoek 
A: 	ja 
B: 	nee 
B: 	ik hebben die met die Pippi Langkousstaartjes 
A: 	ja nummer elf 
B: 	ja 
B: 	centrum centrum en dan vijfentwintig procent naar links 
A: 	oké 
A: 	die met die twee staart 
B: 	dat zijn P 
A: 	en dan centrum centrum en dan iets klein beetje naar rechts klein beetje omhoog 
B: 	ik hebben het Pippi Langkousstaart 
A: 	nummer negen 
B: 	staan best wel midden midden en dan 
A: 	iets naar boven 
B: 	naar boven 
B: 	twintig procent naar boven ongeveer 
B: 	tien procent van de rand 
A: 	tien 
A: 	nee dan staan die bij mij toch laag 
A: 	die met die twee die twee ja die staart 
B: 	Trrr 
B: 	ja 
A: 	ja 
B: 	dat zijn L 
A: 	en dan staan die ongeveer tien of vijftien van boven af en iets linkser van het midden 
B: 	bij mij staan die midden midden iets naar schuin 
A: 	ja bij mij eigenlijk ook wel 
A: 	ja 
A: 	iets naar Linksboven toch 
B: 	ja 
A: 	ja oké dan 
