B: 	oké 
A: 	oké 
A: 	jij hebben het plaat 
B: 	ja 
A: 	ja 
B: 	ja ik hebben dus een rood vierkant 
B: 	het zijn het plaat zeggen maar dat ja het lijken eigenlijk een soort van op een beker en dan opsteken er een 
B: 	pollepel soort van uit zeggen maar 
B: 	en dan hebben je aan de linkerkant ook zo'n staaf uitsteken en ook nog een rond er aan de achterkant 
B: 	erbij zitten 
A: 	oké zijn het die een met dat soort rond aan de achterkant 
B: 	ja 
A: 	en dan aan die kant 
B: 	en dan aan de rechterkant inderdaad zo'n een ding wat uitsteken 
A: 	oké dan 
A: 	zo'n zo'n lepel en dan aan de linkerkant zo'n staaf 
B: 	ja een soort van 
B: 	ja 
A: 	oké dan zijn het nummer dertien 
A: 	drukken op het geel knopje als het goed zijn 
B: 	oké en bij mij staan die nou eigenlijk in het midden en dan 
B: 	ongeveer op drie vier van het scherm denken ik 
A: 	oké dus recht in het midden 
A: 	en dan onderaan ? drie vier zo zeggen maar onderaan 
B: 	ongeveer 
A: 	oké 
A: 	ja daar staan die bij mij ook ongeveer 
A: 	echt daarna bij mij staan er rechts naast nog zo'n ander ding maar ik weten niet of dat bij jou ook zijn maar 
B: 	ja bij mij rechts naast en dan eronder past ook nog één zo'n plaat zeggen maar 
A: 	oké 
A: 	ja daaronder zitten er linksonder zitten er bij mij ook nog zo'n ding oké dan denken ik dat ze op dezelfde plek staan 
B: 	ja 
B: 	ja 
A: 	druk ik op de geel knop 
A: 	ik hebben er nu één met zo'n rond erachter 
A: 	en zo'n staaf aan de linkerkant en zo'n soort roerstaafje of hoe je het ook willen noemen aan de rechterkant 
B: 	ja 
B: 	en dan daaronder ook nog een soort van 
A: 	ja zo'n soort plateauachtig iets 
B: 	ja 
B: 	oké dat zijn bij mij zijn dat O 
A: 	bij mij staan die zeggen maar echt van de middellijn heel net iets naar rechts 
A: 	en ongeveer op één drie qua hoogte denken ik of ja ja net iets boven het midden 
B: 	ja bij mij zitten die al sowieso onder het midden dus dan zijn het niet dezelfde plek 
A: 	oké 
A: 	oké 
A: 	ja nieuw 
B: 	nou hebben je weer die een met zeggen maar weer die aan de rechterkant weer zo'n pollepel zeggen maar die uitsteken 
B: 	aan de bovenkant 
B: 	en dan 
A: 	zo'n bolle ervoor 
B: 	een bolle erachter 
A: 	even kijken 
B: 	je hebben zo'n met zo'n half rond erachter zeggen maar en dan 
A: 	ja 
A: 	en dan aan de linkerkant nog zo'n staaf 
B: 	ja 
A: 	zo'n verhoginkje 
B: 	ja 
A: 	dat zijn bij mij nummer acht 
B: 	bij mij staan die helemaal rechts bovenin 
A: 	ja bij mij ook er zullen nog wel net een plaat naast kunnen denken ik 
B: 	ja ernaast zullen nog wel maar daarboven worden dan krap maar het zijn wel het veel rechtsboveninplaatje dus 
A: 	ja 
A: 	bij mij staan die ook een beetje afzonderen van de rest 
B: 	ja bij mij ook 
A: 	oké dan staan die op dezelfde plek 
A: 	ik hebben nu die een met dat die soort ronde schijf erachter 
B: 	nee 
A: 	een soort ja hij staan net iets op die half verhoging zeggen maar 
B: 	ja en die 
A: 	en zo'n staaf aan de rechterkant en zo'n ding aan de bovenkant 
B: 	ja 
B: 	dat zijn bij mij C 
A: 	bij mij staan die ongeveer op drie vier aan de rechterkant zeggen maar 
A: 	drie ja staan die zeggen 
B: 	ja bij mij zijn ongeveer echt als je de middellijn nemen dan staan die net rechts daarvan ongeveer 
A: 	nee bij mij staan er nog maar één plaat naast zeggen maar aan de rechterkant en er zullen ja als je het iets zullen schuiven zullen er misschien nog één kunnen maar 
B: 	nee dan staan die niet op dezelfde plek 
A: 	oké 
B: 	dan hebben we weer die een met dat met dat rond zeggen maar aan de achterkant en dan 
B: 	rechts bovenin die pollepel zeggen maar weer die uitsteken en 
A: 	ja die net iets hoog bekendstaan ook toch 
B: 	ja 
A: 	nummer zeven zijn dat bij mij 
B: 	en bij mij staan die aan de onderkant kunnen er nog wel een plaat eronder 
B: 	en aan de linkerkant kunnen nog wel twee plaat naast 
A: 	nee bij mij staan die helemaal links onderin 
B: 	nee bij mij niet dus 
A: 	oké 
A: 	ik hebben die een die op een heel raar verhoging staan dat rond erachter en 
A: 	hij staan bij mij een beetje rechtsboven helemaal rechtsboven eigenlijk 
B: 	ja 
B: 	ja 
B: 	bij mij zijn het C 
A: 	ja bij mij staan die helemaal rechtsboven er zullen nog een plaat naast kunnen eventueel maar 
B: 	nee bij mij staan er nog een plaat Erboven dus dat zijn dan niet dezelfde plek 
A: 	nee dat zijn net omgeruild denken ik 
