A: 	deze hebben twee keer dezelfde vorm waarvan één zo staan en één zo en dit zijn een beetje zo'n 
B: 	ah 
B: 	lijken op een deegroller 
A: 	ja dat ja precies en dan hebben je nog één zo'n Minecraftblokje eraan vasthangen en nog een uitlaat 
B: 	ja 
B: 	ja 
B: 	ja ja dat zijn E 
B: 	Minecraftblok oké 
A: 	ja daar lijken het op 
B: 	ja 
A: 	en dan staan die bij mij wel veel naar rechts toe 
A: 	maar ook wel weer echt best wel in het midden 
A: 	en er past ongeveer nog één ander blok langs van de rand af 
A: 	iets te weinig ruimte zeggen maar ongeveer 
B: 	hij staan bij mij rechts en boven 
A: 	helemaal bovenin 
B: 	niet helemaal bovenin maar zeggen maar drie vier van het scherm en naar rechts en drie vier van het scherm naar boven 
A: 	bij mij staan die wel echt dat vinden ik een lastig want hij staat wel op de helft maar net iets boven de helft maar echt niet heel veel 
B: 	oké dan zijn het anders denken ik 
A: 	ja 
B: 	ja 
B: 	dit zijn die een met deegrollerhandvat 
A: 	ja met dat een schuin dak zo 
A: 	bedoelen je 
B: 	nee niet niet het schuin dak 
A: 	wachten je bedoelen die een met die minecraft en die uitlaat 
B: 	ja 
B: 	ja 
B: 	minecraftuitlaat 
A: 	ja 
B: 	ja 
A: 	nummer elf 
B: 	hij staan dicht bij het midden 
B: 	maar veel naar links en veel naar boven 
A: 	dus als je hier het midden hebben staan die hier zeggen maar 
B: 	ja 
A: 	ja dat zijn hebben ik ook 
A: 	dit zijn die met die deegroller er 
B: 	ah J 
A: 	en die staan op het midden en dan naar het midden van rechts maar misschien dat die een heel klein beetje naar boven een klein tikkel 
B: 	bij mij staan die best wel ver naar boven 
A: 	nee bij mij staan die wel echt op het midden 
B: 	oké 
B: 	de deegroller 
A: 	even zoeken 
A: 	ja dat zijn negen 
B: 	fijn dat sommig zo snel gaan 
B: 	fijn dat sommig zo snel gaan 
A: 	ja als je gewoon weten welk welk je hebben 
B: 	hij staan naar rechts 
A: 	ja 
B: 	iets dichter bij rechts dan bij het midden 
B: 	en een beetje naar onder 
A: 	bij mij staan die iets veel omhoog en iets veel naar het midden dus dat zijn net tegenover 
B: 	oké 
A: 	die deegroller 
B: 	deegroller 
B: 	B 
A: 	en dan 
B: 	helemaal rechts past er geen veel tussen 
A: 	nee bij mij passen er nog wel tussen 
B: 	oké 
B: 	de deegroller 
A: 	ja nummer vier 
B: 	past er denken ik één nog links 
B: 	en geen veel boven maar krap geen veel boven ja 
A: 	krap ja precies 
A: 	link zeggen je 
B: 	ja 
